"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","decimalLongitude","decimalLatitude","imagecode","class","relatedCatalogItem","identifiedBy","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","sex"
"1","2020-09-23 10:40:18-03","E","E","259487","PreservedSpecimen","Plantae","Lauraceae","Persea","benthamiana","Persea benthamiana","unspecified kind of","Spruce, Richard","2766","E. Tropical South America","BR","Amazonas","Near Panure at Rio Uaupes","herbarium specimen of unspecif","BGBASE:270921","<a href=http://data.rbge.org.uk/herb/E00259487 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","355808","PreservedSpecimen","Plantae","Lauraceae","Persea","benthamiana","Persea benthamiana","isotype","R. Spruce","2766","South America","Brazil","Amazonas","Prope Panuré ad Rio Uaupés.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=404997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355808","Magnoliophyta","Laurales","Meisn.","1822","10","-68.5121369","0.2251762","NY00355808_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:36:48-03","NBC","NL-BOTANY","L.1066929","PreservedSpecimen","Plantae","Lauraceae","Persea","benthamiana","Persea benthamiana",NA,"Forest Department (Guyana)",NA,"Southern America","Guyana",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1066929 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1066929",NA,"Laurales","Meisn.",NA,NA,NA,NA,"NL-L1066929","Magnoliopsidae","FHOw14696",NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:36:48-03","NBC","NL-BOTANY","L 0574350","PreservedSpecimen","Plantae","Lauraceae","Persea","benthamiana","Persea benthamiana",NA,"Forest Department (Guyana)",NA,"Southern America","Guyana",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200574350 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0574350",NA,"Laurales","Meisn.",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:36:48-03","NBC","NL-BOTANY","L.1066928","PreservedSpecimen","Plantae","Lauraceae","Persea","benthamiana","Persea benthamiana",NA,"Forest Department British Guiana",NA,"Southern America","Guyana",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1066928 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1066928",NA,"Laurales","Meisn.",NA,NA,NA,NA,"NL-L1066928","Magnoliopsidae","U 0053135 | Uw 907",NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:36:48-03","NBC","NL-BOTANY","U 0053136","PreservedSpecimen","Plantae","Lauraceae","Persea","benthamiana","Persea benthamiana",NA,"Forest Department British Guiana",NA,"Southern America","Guyana",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200053136 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0053136",NA,"Laurales","Meisn.",NA,NA,NA,NA,NA,"Magnoliopsidae","Uw 907",NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:36:48-03","NBC","NL-BOTANY","U 0275653","PreservedSpecimen","Plantae","Lauraceae","Persea","benthamiana","Persea benthamiana",NA,"Forest Department British Guiana",NA,"Southern America","Guyana",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200275653 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0275653",NA,"Laurales","Meisn.",NA,NA,NA,NA,NA,"Magnoliopsidae","Uw907",NA,NA,NA,NA,NA,NA
"8","2015-09-30 08:40:54-03","MNHN","RECOLNAT_MNHN_P","P00128530","PreservedSpecimen",NA,"Lauraceae","Persea","benthamiana","Persea benthamiana","isotype","Spruce, R.",NA,NA,"Brésil",NA,"Rio Maupés","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128530' target='other'> <mi>dwc_moreinfo</mi></a>","P00128530",NA,NA,"Meisn.","1852","10",NA,NA,"P00128530_01",NA,NA,"Kopp","2766",NA,NA,NA,NA
"9","2015-09-16 19:12:32-03","MNHN","RECOLNAT_MNHN_P","P00128531","PreservedSpecimen",NA,"Lauraceae","Persea","benthamiana","Persea benthamiana","isotype","Spruce, R.",NA,NA,"Brésil",NA,"Rio Maupés","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128531' target='other'> <mi>dwc_moreinfo</mi></a>","P00128531",NA,NA,"Meisn.","1852","10",NA,NA,"P00128531_01",NA,NA,"Kopp","2766",NA,NA,NA,NA
"10","2011-03-24 08:54:00-03","MO","MOBOT","1559982","PreservedSpecimen","Plantae","Lauraceae","Persea","benthamiana","Persea benthamiana","Isotype","Richard Spruce","Spruce 2766","South America","Brazil","Amazonas","Prope Panuré ad Rio Vaupés.",NA,NA,NA,NA,NA,NA,"Meisn.","1852","10",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
