"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","month","day","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet","typeStatus","sex"
"1","2021-04-05 14:24:54-03","UNESC","CRI","8595","PreservedSpecimen","Plantae","Asteraceae","Baccharis","punctulata","Baccharis punctulata","DC.","Vanilde Citadini-Zanette","2006","Vanilde Citadini-Zanette; Alecsandro Shardosim Klein","2006","Brasil","Santa Catarina","Urussanga","Rio Carvão Alto","-49.3175","-28.522778","49º19'3''W","28º31'22''S","300","300","Trabalho realizado pelo mestrando Alecsandro Shardosim Klein - Mestrado de Ciências Ambientais (UNESC)","CRI012878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:54-03","UNESC","CRI","7441","PreservedSpecimen","Plantae","Asteraceae","Baccharis","punctulata","Baccharis punctulata","DC.",NA,NA,"Cristiane Krug","2006","Brasil","Santa Catarina","Porto União",NA,"-51.053889","-26.258333","51º3'14''W","26º15'30''S","750","750",NA,"CRI000991","03","07","CRI000991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:37:25-03","E","E","92112","PreservedSpecimen","Plantae","Compositae","Baccharis","punctulata","Baccharis punctulata",NA,NA,NA,"Hassler, E.","1905","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00092112 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00092112","03","27",NA,"11580","E. Tropical South America","herbarium specimen of unspecif","BGBASE:101007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:37:25-03","E","E","322935","PreservedSpecimen","Plantae","Compositae","Baccharis","punctulata","Baccharis punctulata",NA,NA,NA,"Ball, John",NA,"UY","Departamento de Paysand?",NA,"Ex apricis secus fl. Uruguay prope Paysand?",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00322935 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00322935",NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:345535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:37:25-03","E","E","92111","PreservedSpecimen","Plantae","Compositae","Baccharis","punctulata","Baccharis punctulata",NA,NA,NA,"Hassler, E.","1905","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00092111 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00092111","03","27",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:101008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:37:25-03","E","E","322936","PreservedSpecimen","Plantae","Compositae","Baccharis","punctulata","Baccharis punctulata",NA,NA,NA,"Christison, David (Dr.)",NA,"UY",NA,NA,"Margin of the Monte Guayabo Laguna. San Jorge",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00322936 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00322936",NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:345536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","788390","PreservedSpecimen","Plantae","Asteraceae","Baccharis","punctulata","Baccharis punctulata","DC.","G. Heiden",NA,"L. Riedel",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788390",NA,NA,"NY00788390_01","s.n.","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","788002","PreservedSpecimen","Plantae","Asteraceae","Baccharis","punctulata","Baccharis punctulata","DC.","G. M. Barroso",NA,"L. B. Smith","1957","Brazil","Santa Catarina","Campos Novos","19-20km south of Campos Novos on the road to Anita Garibaldi.","-51.2247","-27.4019",NA,NA,"800","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=422283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788002","03","01","NY00788002_01","11979","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02642188","PreservedSpecimen","Plantae","Asteraceae","Baccharis","punctulata","Baccharis punctulata","DC.",NA,NA,"G. Heiden","2010","Brazil","Rio Grande do Sul","Quaraí","Salamanca. Estrada da Salamanca. Campos de clima temperado (pampas). Solo arenoso no contato entre afloramentos rochosos balsáticos e areniticos.","-56.2178","-30.4661",NA,NA,"141",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964282' target='other'> <mi>dwc_moreinfo</mi></a>","NY02642188","02","27","NY02642188_01","1285","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","788012","PreservedSpecimen","Plantae","Asteraceae","Baccharis","punctulata","Baccharis punctulata","DC.","H. E. Robinson",NA,"R. A. Wasum","1992","Brazil","Rio Grande do Sul","Sao Vendelino","Beira RS 122.","-51.3767","-29.3692",NA,NA,"600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=422266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788012","02","18","NY00788012_01","8239","South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
