"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","day","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","relationshipType","individualCount","infraspecificEpithet","fieldNumber","sex"
"1","2021-04-05 14:25:16-03","UNESC","CRI","13517","PreservedSpecimen","Plantae","Fabaceae","Desmodium","barbatum","Desmodium barbatum","(L.) Benth.","Renato Colares","2018","05","29","Renato Colares; Thuany Machado","2018","03","Brasil","Santa Catarina","Treviso","Campo Morozini","-49.453889","-28.535278","49º27'14''W","28º32'7''S","139","139","Habito: Herbácea","CRI012124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:32-03","UNESC","CRI","3848","PreservedSpecimen","Plantae","Fabaceae","Desmodium","barbatum","Desmodium barbatum","(L.) Benth.","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1987","03","Brasil","Santa Catarina","Florianópolis",NA,"-48.513056","-27.613611","48º30'47''W","27º36'49''S",NA,NA,NA,"CRI002850","07","CRI002850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:16-03","UNESC","CRI","13553","PreservedSpecimen","Plantae","Fabaceae","Desmodium","barbatum","Desmodium barbatum","(L.) Benth.","Renato Colares","2018","05","28","Renato Colares; Thuany Machado","2018","03","Brasil","Santa Catarina","Treviso","Campo Morozini","-49.445556","-28.531389","49º26'44''W","28º31'53''S","161","161","Habitat: Terrestre Habito: Subarbustivo","CRI012160",NA,"CRI012160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:32-03","UNESC","CRI","7725","PreservedSpecimen","Plantae","Fabaceae","Desmodium","barbatum","Desmodium barbatum","(L.) Benth.","Tais B. Guimarães","2005","02","27","Daniel B. Falkenberg; Tais B. Guimarães","2004","02","Brasil","Santa Catarina","Florianópolis",NA,"-48.467222","-27.510833","48º28'2''W","27º30'39''S",NA,NA,NA,"CRI002849","27","CRI002849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:34-03","E","E","312809","PreservedSpecimen","Plantae","Leguminosae","Desmodium","barbatum","Desmodium barbatum",NA,NA,NA,NA,NA,"Pirani, J.R.; Campos, M.T.V.A.; Nunes, J.V.C.; Parra, L.R.","1992","01","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00312809 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312809","30",NA,"51350","E. Tropical South America","herbarium specimen of unspecif","BGBASE:314854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-10-28 15:36:00-02","NY","NYBG","00983885","PreservedSpecimen","Plantae","Fabaceae","Desmodium","barbatum","Desmodium barbatum",NA,"R. Callejas Posada",NA,NA,NA,"M. Duarte Macedo","1980","02","Brazil","Mato Grosso",NA,"Cuiabá-Cáceres highway, Km. 30, N. Sra do Livramento, Cuiabá",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983885","12","NY00983885_01","1479","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00983819","PreservedSpecimen","Plantae","Fabaceae","Desmodium","barbatum","Desmodium barbatum","(L.) Benth.","B. G. Schubert",NA,NA,NA,"H. S. Irwin","1966","03","Brazil","Goiás","Formosa","Serra Geral de Goiás, Rio Paraná, ca. 35 km N. of Formosa, on road to São Gabriel","-47.38","-15.3",NA,NA,"950","950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983819","29","NY00983819_01","14224","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-28 15:36:00-02","NY","NYBG","00983864","PreservedSpecimen","Plantae","Fabaceae","Desmodium","barbatum","Desmodium barbatum",NA,"A. K. Schindler",NA,NA,NA,"J. B. E. Pohl","1818","01","Brazil","Rio de Janeiro",NA,"Circa Rio de Janeiro & ad Rio Buccaina",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983864",NA,"NY00983864_01","349","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00983932","PreservedSpecimen","Plantae","Fabaceae","Desmodium","barbatum","Desmodium barbatum","(L.) Benth.","M. H. Nee",NA,NA,NA,"S. Tsugaru","1987","09","Brazil","Alagoas",NA,"Santa Rita, subshrubs of Maceió","-35.825909","-9.713977",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983932","04","NY00983932_01","B-1499","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-01 13:44:00-02","NY","NYBG","594215","PreservedSpecimen","Plantae","Fabaceae","Desmodium","barbatum","Desmodium barbatum",NA,"B. G. Schubert",NA,NA,NA,"D. O. Norris","1964","04","Brazil","São Paulo","Matao","Near city of Matâo","-48.36","-21.6003",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=319191' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594215","29","NY00594215_01","193","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
