"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","898947","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B.Sm. & Ayensu","L. B. Smith; E. S. Ayensu","G. G. Hatschbach","29009","1972","01","20","South America","Brazil","Minas Gerais","Couto de Magalhães de Minas","Mendanha. Cunha de Magalhaes","-43.4708","-18.0717","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898947","NY00898947_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","898945","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B.Sm. & Ayensu","R. de Mello-Silva","R. de Mello-Silva","CFCR8659","1985","11","23","South America","Brazil","Minas Gerais","Diamantina","Diamantina. Estrada para Sao Joao da Chapada.","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898945","NY00898945_01","1180","1180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","898946","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B.Sm. & Ayensu","R. de Mello-Silva","B. Maguire","49131","1960","08","09","South America","Brazil","Minas Gerais",NA,"ca. 3-5 km. east of Serra, along road to Diamantina.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00898946","NY00898946_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:09:44-03","NBC","NL-BOTANY","WAG0003464","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B.Sm. & Ayensu",NA,"Hatschbach GG",NA,"1972","01","20","Southern America","Brazil","Minas Gerais",NA,"Mendanha (mun. Cunha Magalhaes), Minas Gerais.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG0003464 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG0003464","NL-WAG0003464",NA,NA,"Magnoliopsidae","paratype",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:09:44-03","NBC","NL-BOTANY","WAG.1189178","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B.Sm. & Ayensu",NA,"Hatschbach GG",NA,"1978","01","25","Southern America","Brazil",NA,NA,"entre Soupa-S.Joao da Chapada, Diamantina. Minas Gerais.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1189178 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1189178","NL-WAG1189178",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:20:27-03","ESALQ","ESA","77817","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L. B. Sm. & Ayensu","Mello-Silva, R.","Souza, V.C.; Sampaio, D.; Araújo, A.O.; Romão, G.O.; Elias, S.I.","28319.0","2002","02","24",NA,"Brasil","Minas Gerais","Mendanha","Estrada para Diamantina, ca. 5 km de Mendanha. Campo rupestre com cerrado adjacente","-433.014","-180.838",NA,"Planta de ca. 1,4 m alt.; flores passadas alvas. Entre rochas.","ESA077817","ESA077817","800","800",NA,NA,"-433,014","-180,838",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:46:51-03","MBM","MBM","113500","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B. Sm. & Ayensu","Hatschbach, G.","Hatschbach, G.; et al.; et al.","51188",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Gouveia","Rod. BR-259, Córrego do Tigre","-43.7407989501953","-18.4543991088867",NA,NA,"MBM113500",NA,NA,NA,NA,NA,NA,NA,"37970","auto",NA,NA,NA,NA
"8","2020-12-21 16:46:51-03","MBM","MBM","201204","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B. Sm. & Ayensu","Mello-Silva, R.","Mello-Silva, R.; et al.; et al.","1051",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Diamantina","Estrada de terra para Couto Magalhães","-43.6002998352051","-18.2493991851807",NA,NA,"MBM201204","MBM201204",NA,NA,NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA
"9","2020-12-21 16:46:51-03","MBM","MBM","20120","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B. Sm. & Ayensu","Smith, L.B.; Ayensu","Hatschbach, G.","29009","1972","01","20","Southern America","Brazil","Minas Gerais","Cunha Magalhães","Mendanha",NA,NA,NA,"Planta 1,20m, flor alva, afloramentos rochosos.; Planta 1,20m, flor alva.; Afloramentos rochosos.","MBM020120","MBM020120",NA,NA,NA,"ISOTYPE",NA,NA,NA,NA,"1972",NA,NA,NA
"10","2020-12-21 16:46:51-03","MBM","MBM","409623","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B. Sm. & Ayensu","Smith, L.B.; Ayensu, E.","Hatschbach, G.","29009","1972","01","20","Southern America","Brazil","Minas Gerais","Cunha Magalhães","Mendanha",NA,NA,NA,"Planta, 1,20m, flor alva.; Afloramentos rochosos.","MBM409623","MBM409623",NA,NA,NA,"PARATYPE",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:46:51-03","MBM","MBM","416370","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B. Sm. & Ayensu","Brotto, M.L.","Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","5914","2018","11","16","Southern America","Brazil","Minas Gerais","Couto de Magalhães de Minas",NA,"-43.448611","-18.123611",NA,"Erva rupícola/arenícola; corola branca, estames amarelos.; Campo rupestre.","MBM416370",NA,"807","807",NA,NA,"-43.448611","-18.123611",NA,NA,"2018","12","19",NA
"12","2020-12-21 16:46:51-03","MBM","MBM","56501","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B. Sm. & Ayensu","Menezes, N.L.","Hatschbach, G.","40928",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Diamantina","Entre Soupa e São João da Chapada","-43.6002998352051","-18.2493991851807",NA,NA,"MBM056501",NA,NA,NA,NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA
"13","2020-12-11 11:45:30-03","UFMG","BHCB","201723","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B.Sm. & Ayensu",NA,"Souza, VC de; Sampaio, D; Araujo, AO de; Romão, GO; Elias, SI","28319","2002","02","24","Southern America","Brasil","Minas Gerais","Mendanha","Estrada para Diamantina, ca. 5Km de Mendanha","-43.504028","-18.143944",NA,"Planta de ca. 1,4m de altura. Flores passadas, alvas; Campo rupestre com cerrado adjacente, entre rochas","BHCB201723","BHCB201723","800","800",NA,NA,"-43.504028","-18.143944",NA,NA,"2003",NA,NA,NA
"14","2020-12-11 11:45:30-03","UFMG","BHCB","198167","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B.Sm. & Ayensu",NA,"Menezes, HL; Zappi, DC; Wagner, HL; Cordeiro, I","s.n.","1986","01","28","Southern America","Brasil","Minas Gerais","Diamantina","estrada Diamantina - Conselheiro Mata, Km 176","-43.6002998352051","-18.2493991851807",NA,"Planta de até 0,8m de altura, flores brancas. Estigma e estames amarelos, botões externamente rosados","BHCB198167",NA,NA,NA,NA,"Paratypus",NA,NA,"101169","auto",NA,NA,NA,NA
"15","2021-02-11 17:21:59-03","UFPR","UPCB","15654","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B.Smith & E.S.Ayensu","Hatschbach, G.","Hatschbach, G.","51188","1987","03","20",NA,"Brasil","Minas Gerais","Gouveia","BR 259, Córrego do Tigre","-43.7407989501953","-18.4543991088867",NA,"Caudice 20cm, flor alva, anteras amarelas. Campo rupestre, afloramentos rochosos..",NA,NA,NA,NA,NA,NA,NA,NA,"37970","auto","1987","04",NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","3030916","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B. Sm. & Ayensu","N.L. Menezes","Gert G. Hatschbach","Hatschbach 40928","1978","1","25","South America","Brazil","Minas Gerais",NA,"Entre Soupa-S. João da Chapada, Diamantina.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","3031026","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B. Sm. & Ayensu","Smith & Ayensu","Gert G. Hatschbach","Hatschbach 29009","1972","1","20","South America","Brazil","Minas Gerais",NA,"Mendanha (mun. Cunha Magalhães).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2009-08-22 06:35:00-03","MO","MOBOT","3031126","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","hatschbachii","Vellozia hatschbachii","L.B. Sm. & Ayensu",NA,"Jacques S. Blanchet","Blanchet 2544ba","1838",NA,NA,"South America","Brazil","Bahia",NA,"Jacobina.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
