"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","individualCount","county","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag"
"1","2019-01-24 11:13:00-02","MO","MOBOT","101092301","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","santensis","Habenaria santensis","Kraenzl.","Holotype","C.W.H. Mosen","Mosén 1083","South America","Brazil","São Paulo","Prés de Santos a São Paulo","1",NA,NA,NA,NA,NA,NA
"2","2017-09-11 17:11:55-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Habenaria","santensis","Habenaria santensis","Barb.Rodr.",NA,"Regnell, AF","ser III /1089*","Southern America","Brazil","São Paulo","Habitat in prov. S. Paulo prope Santos.",NA,"Santos","-46.33","-23.96","26836","P03P4N0018","auto"
"3","2017-09-11 17:11:55-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Habenaria","santensis","Habenaria santensis","Barb.Rodr.",NA,"Mosén, CWH","1083","Southern America","Brazil","São Paulo","Habitat in prov. S. Paulo prope Santos.",NA,NA,NA,NA,NA,"P03P4N0018",NA
