"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","448070","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","tenuivalvis","Cupania tenuivalvis","Radlk.","G. Guarim Neto","M. Kuhlmann","796","1943","05","14","South America","Brazil","São Paulo","Limeira","Beira do côrrego Iracema. Fazenda Morro Azul.","-47.4","-22.56","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467558' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448070","NY00448070_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","448072","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","tenuivalvis","Cupania tenuivalvis","Radlk.","T. D. Pennington","J. B. Baitello","SPSF5804","1979","07","24","South America","Brazil","São Paulo","Paraguaçú Paulista","Est. Exp. do Intituto Florestal.","-50.5697","-22.41","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448072","NY00448072_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","448069","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","tenuivalvis","Cupania tenuivalvis","Radlk.","W. Hoehne","W. Hoehne","SPF13801","1951","11","25","South America","Brazil","São Paulo","Limeira",NA,"-47.4","-22.56","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467562' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448069","NY00448069_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","448068","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","tenuivalvis","Cupania tenuivalvis","Radlk.","L. A. T. Radlkofer","Schott","5546",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","(D. no. 719) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467559' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448068","NY00448068_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","448071","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","tenuivalvis","Cupania tenuivalvis","Radlk.","M. Kuhlmann","M. Kuhlmann","1014","1943","08","29","South America","Brazil","São Paulo","Amparo","Monte Alegre. Margem do Rio pinhal.","-46.7597","-22.7003","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448071","NY00448071_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-24 17:11:04-03","UTFPR","DVPR","4342","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Cupania","tenuivalvis","Cupania tenuivalvis","Radlk.","Caxambu, MG","Caxambu, MG","475","2004","06","05",NA,"Brasil","Paraná","Tuneiras do Oeste","Fazenda Água do Índio.","-52.8760986328125","-23.8705997467041",NA,"arvoreta com cerca de 2,5m de altura. Flores em influorescências teminais.","DVPR004342",NA,"2004","07","02","24014","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-15 11:14:55-03","FUNED","FUNED-POL","4281","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","aff. tenuivalvis","Cupania aff. tenuivalvis",NA,NA,NA,NA,"1989","11","10",NA,"Brasil","MG",NA,"Funed-Alberto Flores",NA,NA,NA,NA,"POL004281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:25:50-03","PUCPR","HUCP","21409","S","Plantae","Eudicotiledonea",NA,"Sapindaceae","Cupania","tenuivalvis","Cupania tenuivalvis","Radlk.","Cordeiro, J; Barboza, E","Almeida, KC","171","2008","09","17",NA,"Brasil","Paraná","Querência do Norte","Fazenda da Mata, RPPN.","-53.4844017028809","-23.0835990905762",NA,NA,"HUCP00003880","HUCP00003880",NA,NA,NA,"31834","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:25:50-03","PUCPR","HUCP","21410","S","Plantae","Eudicotiledonea",NA,"Sapindaceae","Cupania","tenuivalvis","Cupania tenuivalvis","Radlk.","Cordeiro, J; Barboza, E","Almeida, KC","s.n.","2008","09","17",NA,"Brasil","Paraná","Querência do Norte","Fazenda da Mata, RPPN.","-53.4844017028809","-23.0835990905762",NA,NA,"HUCP00003718","HUCP00003718",NA,NA,NA,"31834","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:25:50-03","PUCPR","HUCP","22602","S","Plantae","Eudicotiledonea",NA,"Sapindaceae","Cupania","tenuivalvis","Cupania tenuivalvis","Radlk.","Lozano, E","Lozano, E; Petean, MP","726","2011","08","12",NA,"Brasil","São Paulo","Estrela do Norte",NA,"-51.6599998474121","-22.4799995422363",NA,NA,"HUCP00003977","HUCP00003977",NA,NA,NA,"13460","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
