"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","order","recordNumber","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","individualCount","fieldNumber","typeStatus","eventTime"
"1","2021-04-05 14:25:20-03","UNESC","CRI","10744","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","Robson dos Santos; Alecsandro S. Klein & Vanilde C. Zanete","2001","10","24","Brasil","Santa Catarina","Praia Grande","Aparados da Serra - Rio do Boi.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","CRI003285","CRI003285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:34-03","UNESC","CRI","11003","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","Caio Feltrim","2014","11","01","Brasil","Santa Catarina","Orleans","Caminho para as 3 barras.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","CRI003287","CRI003287","110","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:20-03","UNESC","CRI","13743","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","Renato Colares; Daniela Niero & Thuany Machado","2017","10","14","Brasil","Santa Catarina","Treviso","Pousada Santo Antônio","-49.523611","-28.489722","49º31'25''W","28º29'23''S","CRI012350",NA,"615","615","Renato Colares","2018","05","28","Habitat: Terrestre Habito: Herbácea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:20-03","UNESC","CRI","10276","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","Robson dos Santos; Isabel Alves dos Santos, Alecssandro S. Klein","2009","07","21","Brasil","Santa Catarina","Grão Pará","Serra do Corvo Branco.","-49.214722","-28.185","49º12'53''W","28º11'6''S","CRI003284","CRI003284","860","860","M. Sobral","2009","07","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","442075","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","J. C. Lindeman","1966","10","19","Brazil","Paraná","Tomazina","8 km N. of Tomazina","-49.9494","-23.7783",NA,NA,"NY00442075","NY00442075_01",NA,NA,"A. Chautems",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413270' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","3149","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02706130","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","Collector unspecified",NA,NA,NA,"Brazil","São Paulo",NA,"Cultivado no jard. particular de F.C.Hoehne, proc. dos encostas da Serra do Mar.",NA,NA,NA,NA,"NY02706130","NY02706130_01",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2996759' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","442070","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","L. B. Smith","1964","10","14","Brazil","Santa Catarina","Chapecó","Forest Seminário Diocesiano, west of Chapecó","-52.62","-27.1",NA,NA,"NY00442070","NY00442070_01","350","450","A. Chautems",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413267' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","12518","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","442072","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","P. E. Gibbs","1976","10","26","Brazil","São Paulo","Itapetininga","Ca. 50 km S da Itapetininga, estrada a Registro. Reserva Florestal de Carlos Botelho","-48.0497","-23.5903",NA,NA,"NY00442072","NY00442072_01",NA,NA,"A. Chautems",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413269' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","3251","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","442073","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","P. K. H. Dusén","1909","11","03","Brazil","Paraná","Ipiranga","Desvio Ypiranga","-50.5842","-25.0242",NA,NA,"NY00442073","NY00442073_01",NA,NA,"A. Chautems",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413268' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","8871","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","442069","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","douglasii","Sinningia douglasii","(Lindl.) Chautems","A. Dunaiski Jr.","1991","05","10","Brazil","Paraná","Curitiba","Capao do Jardim Botânico","-49.2731","-25.4281",NA,NA,"NY00442069","NY00442069_01",NA,NA,"A. C. Cervi",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413266' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Lamiales","95","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
