"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","typeStatus","class","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:25-03","UNESC","CRI","4757","PreservedSpecimen","Plantae","Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","Cambess.","Daniel B. Falkenberg","1996","02","17","Robson dos Santos","201","1996","02","17","Brasil","Santa Catarina","Governador Celso Ramos","Lot. Palmar, Praia das Palmas.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24","CRI006527","CRI006527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:25-03","UNESC","CRI","4770","PreservedSpecimen","Plantae","Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","Cambess.","Daniel B. Falkenberg","1996","02","17","Robson dos Santos","214","1996","02","17","Brasil","Santa Catarina","Governador Celso Ramos","Lot. Palmar, Praia das Palmas.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24","CRI006528","CRI006528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:25-03","UNESC","CRI","1250","PreservedSpecimen","Plantae","Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","Cambess.","Vanilde Citadini- Zanette",NA,NA,NA,"V. Citadini-Zanette; et al.","1494","1992","07","31","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI006524","CRI006524","Floresta Ombrófila Densa Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:25-03","UNESC","CRI","4727","PreservedSpecimen","Plantae","Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","Cambess.","Vanilde Citadini- Zanette",NA,NA,NA,"V. Citadini-Zanette; J. C. Caetano",NA,"1996","01","24","Brasil","Santa Catarina","Governador Celso Ramos","Lot. Palmar, Praia das Palmas.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24","CRI006526","CRI006526","Habitat: restinga Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:25-03","UNESC","CRI","1443","PreservedSpecimen","Plantae","Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","Cambess.","R. R. Negrelle",NA,NA,NA,"R. R. B. Negrelle; C. Fava","638","1993","01","20","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha. (estrada do Sambaqui).","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI006525","CRI006525","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:08-03","UNESC","CRI","12436","PreservedSpecimen","Plantae","Clusiaceae","Calophyllum","brasiliense","Calophyllum brasiliense","Cambess.","Aline Votri Guislon & Peterson T. Padilha","2017","07","18","Alexandre Medeiros",NA,"2017","04","20","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro.","-48.585","-27.023333","48º35'6''W","27º1'24''S",NA,NA,"CRI010643","CRI010643","Coleta 117.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:39:48-03","E","E","82960","PreservedSpecimen","Plantae","Guttiferae","Calophyllum","brasiliense","Calophyllum brasiliense",NA,NA,NA,NA,NA,"Silva, J.M.","558","1988","12","04","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00082960",NA,"<a href=http://data.rbge.org.uk/herb/E00082960 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:91412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:39:48-03","E","E","294445","PreservedSpecimen","Plantae","Guttiferae","Calophyllum","brasiliense","Calophyllum brasiliense",NA,NA,NA,NA,NA,"Ratter, J.A.; Rocha, M.P. & de Castro, R.A.",NA,"1980","09","10","BR","Goias",NA,"Iiha do Bananal, Parque Nacional do Araguaia (IBDF), nr HQ (c. 2 km from Macauba, approx.","-50.5","-10.5","-50.500000","-10.500000",NA,NA,"E00294445",NA,"<a href=http://data.rbge.org.uk/herb/E00294445 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:318767",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01022609","PreservedSpecimen","Plantae","Calophyllaceae","Calophyllum","brasiliense","Calophyllum brasiliense","Cambess.",NA,NA,NA,NA,"E. P. Heringer","1683","1979","07","02","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu","-47.9294","-15.7797",NA,NA,NA,NA,"NY01022609","NY01022609_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1144858' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1921196","PreservedSpecimen","Plantae","Calophyllaceae","Calophyllum","brasiliense","Calophyllum brasiliense","Cambess.","D. M. Vela Díaz",NA,NA,NA,"J. M. Pires","14162","1974","04","23","Brazil","Roraima",NA,"Rio Univini. IPEAN - PROJETO RADAM. Quadrícula NA - 20-Z-C. Ponto 04B. P. Univini",NA,NA,NA,NA,NA,NA,"NY01921196","NY01921196_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2188290' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
