"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","relatedCatalogItem","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","386670","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Aulomyrcia","insularis","punctata","Aulomyrcia insularis punctata","O.Berg","syntype","G. Gardner","III1016","1837","South America","Brazil","Pernambuco","Brasil trop","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=543845' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386670","NY00386670_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","386669","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Aulomyrcia","insularis","punctata","Aulomyrcia insularis punctata","O.Berg","syntype","G. Gardner","1016","1836","South America","Brazil",NA,"Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=543844' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386669","NY00386669_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","386670","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Aulomyrcia","insularis","punctata","Aulomyrcia insularis punctata","O.Berg","syntype","G. Gardner","III1016","1837","South America","Brazil","Pernambuco","Brasil trop","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=543845' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386670","NY00386670_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","386669","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Aulomyrcia","insularis","punctata","Aulomyrcia insularis punctata","O.Berg","syntype","G. Gardner","1016","1836","South America","Brazil",NA,"Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=543844' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386669","NY00386669_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","04073078","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","insularis",NA,"Myrcia insularis","Gardner",NA,"D. Piotto","2260","2010","South America","Brazil","Bahia","Parque Est. Serra do Conduru","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671220' target='other'> <mi>dwc_moreinfo</mi></a>","NY04073078",NA,"D. Piotto","06","10","Uruçuca","-39.08","-14.42","120","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","616188","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","insularis",NA,"Myrcia insularis","Gardner",NA,"J. G. Jardim","215","1993","South America","Brazil","Bahia","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616188","NY00616188_01","G. M. Barroso","07","15","Una","-39.08","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","616189","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","insularis",NA,"Myrcia insularis","Gardner",NA,"G. G. Hatschbach","45773","1982","South America","Brazil","Paraná","Ilha do Mel","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616189","NY00616189_01","G. G. Hatschbach","12","03","Paranaguá","-48.326804","-25.522889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","616190","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","insularis",NA,"Myrcia insularis","Gardner",NA,"G. G. Hatschbach","25824","1970","South America","Brazil","Paraná","Rio Murato","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616190","NY00616190_01","G. G. Hatschbach","12","11","Guaraqueçaba","-48.3289","-25.3069","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01090542","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","insularis",NA,"Myrcia insularis","Gardner",NA,"J. L. Paixão","292","2004","South America","Brazil","Bahia","Rod. BA. 650, Camamu/Travessao, Faz. Zumbi dos Palmares, Cachoeira de Crespe","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223213' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090542","NY01090542_01","M. Sobral","11","12","Camamu","-39.17","-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01092741","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","insularis",NA,"Myrcia insularis","Gardner",NA,"K. Almeida","17","2000","South America","Brazil","Pernambuco","Estação Ecológica do Tapacurá.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1232803' target='other'> <mi>dwc_moreinfo</mi></a>","NY01092741","NY01092741_01","B. S. Amorim","02","04","São Lourenço da Mata","-34.9503","-8.0128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
