"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","fieldNumber","sex"
"1","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","3567","S","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","vicosanum","Piper vicosanum","Yunck.","Carlos A. Ferreira Jr.","2014","01","Carlos Alberto Ferreira Júnior; Alisson Borges Rezende Ferreira","CAF1495","2015","01","24","Brasil","Minas Gerais","Nova Lima","Corrego do Cardoso, Fundo do Condomínio Ouro Velho.","-43.8466987609863","-19.9855995178223","29211","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","1783","S","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","vicosanum","Piper vicosanum","Yunck.","Leandro L. Giacomin; Cláudia Márcia S. do Carmo","2006","02","Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","Ordones960","2005","11","01","Brasil","Minas Gerais","Marliéria","Lagoa Preta","-42.7322006225586","-19.7122001647949","28215","254","auto","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","557374","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","vicosanum","Piper vicosanum","Yunck.","R. Callejas Posada",NA,NA,"R. Callejas Posada","1583","1983","10","28","Brazil","Bahia","Itabuna","Km. 9 da estrada Jucari Palmeira. Fazenda Sto. Antonio","-39.2803","-14.7858",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683424' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","300","300","sheet","NY00557374","NY00557374_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1018185","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","vicosanum","Piper vicosanum","Yunck.","E. F. Guimarães",NA,NA,"L. C. d. S. Giordano","2614","2002","10","24","Brazil","Rio de Janeiro","Nova Iguaçú","Rebio do Tinguá., Estrada do Ouro.","-43.4508","-22.7594",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250186' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet","NY01018185","NY01018185_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","557371","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","vicosanum","Piper vicosanum","Yunck.",NA,NA,NA,"W. C. Steward","P20368","1974","02","18","Brazil","Amazonas",NA,"Manaus-Caracarai Highway. Forest at Km. 147","-60.1518095","-1.7408827",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227738' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet","NY00557371","NY00557371_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01021410","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","vicosanum","Piper vicosanum","Yunck.",NA,NA,NA,"Y. E. J. Mexia","4685","1930","05","12","Brazil","Minas Gerais","Viçosa","Fazenda de Deserto. Burraca Frio.","-42.8817","-20.7542",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099323' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","700","700","sheet","NY01021410","NY01021410_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01021409","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","vicosanum","Piper vicosanum","Yunck.","T. G. Yuncker",NA,NA,"Y. E. J. Mexia","5015","1930","08","28","Brazil","Minas Gerais",NA,"Districto Casca. Fazenda de Coco de Ouro; near Lagoa.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099314' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","210","210","sheet","NY01021409","NY01021409_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01360419","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","vicosanum","Piper vicosanum","Yunck.",NA,NA,NA,"G. T. Prance","15838","1971","10","25","Brazil","Amazonas",NA,"Roadside near Tapuruquara.","-65.0192","-0.4142",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776008' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet","NY01360419","NY01360419_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01360420","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","vicosanum","Piper vicosanum","Yunck.",NA,NA,NA,"G. T. Prance","15368","1971","10","17","Brazil","Amazonas",NA,"Tapuruquara by road to airport","-65.0192","-0.4142",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776009' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet","NY01360420","NY01360420_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","557375","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","vicosanum","Piper vicosanum","Yunck.","R. Callejas Posada",NA,NA,"R. M. Harley","17872","1977","01","12","Brazil","Bahia","Porto Seguro","Coastal Zone. Parque Nacional de Monte Pascoal. On NW slopes of Monte Pascoal","-39.42","-16.88",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683421' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","200","586","sheet","NY00557375","NY00557375_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
