"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","phylum","class","order","fieldNumber","continentOcean","individualCount","typeStatus","relatedCatalogItem","sex","preparationType"
"1","2020-06-29 11:29:37-03","UFRJ","RFA","28178","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","depressa","Aechmea depressa","L.B.Sm.","T. Wendt","2003","04","04","T. Wendt; G.K. Brown; A.P.G. Faria; L.O.F. Souza; J.L. Paixão","479","2003","04","04","Brasil","Bahia","Porto Seguro","Estação Ecológica do Pau Brasil","-39.180278","-16.390833","39º10'49''W","16º23'27''S","Escapo curto com inflorescência inserida no centro da roseta. Brácteas florais carnosas com a base branca e o ápice castanho. Flores com sépalas verdes, ovário branco e pétalas esverdeadas. Material para DNA, fotos, flores em álcool e m","RFA52434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:25:27-03","MN","R","215796","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","depressa","Aechmea depressa","L.B. Sm.",NA,NA,NA,NA,"Coser, T.S. 508; Coser, L.M.",NA,"2011","03","12","Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,"R010003577,R010003578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:25:27-03","MN","R","215804","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","depressa","Aechmea depressa","L.B. Sm.",NA,NA,NA,NA,"Coser, T.S. 532; Coser, N.",NA,"2012","01","22","Brasil","Espírito Santo","Linhares",NA,"-39.715283","-19.235861","39°42'55.02W","19°14'09.1S",NA,"R010001137","R010001137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:25:27-03","MN","R","215799","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","depressa","Aechmea depressa","L.B. Sm.","Coser, T.S.","2012","01","19","Coser, T.S.","518","2012","01","19","Brasil","Espírito Santo","Presidente Kennedy","Praia das Neves, propriedade Ferrous","-41.0466995239258","-21.0988998413086","-40.97411W","-21.23509S",NA,"R010001136","R010001136","24088","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-22 17:44:52-03","UFPI","TEPB","21014","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","depressa","Aechmea depressa",NA,"G. Sousa",NA,NA,NA,"G. Sousa","491","2001","05","07","Brasil","Bahia","Santa Cruz da Vitória","Em direção a Itajú da colônia; fazenda Uruguaiana ca. 250m da entrada.","-39.794444","-15.030556","39°47'40W","15°01'50S","Planta terrestre ca. 1m alt. Folhas verdes; escapo ereto ca. 50cm; inflorescência strobiliforme com a presença de muita muscilágem; brácteas primárias vermelhas, brácteas florais verdes de ápice vermelho; sépalas verdes, pétalas verdes claras; inflorescên",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-04 23:42:31-03","UFPI","TEPB","20961","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","depressa","Aechmea depressa","L. B. Sm.","G. M. Sousa","2002","03","01","G. M. Sousa","491","2001","05","07","Brasil","Bahia","Sanra Cruz da Vitória","Em direção a Itajú da colônia, Faz. Uruguaiana","-39.794444","-15.030556","39°47'40W","15°01'50S","Terreste. Folhas verdes. Escapo ca. 50cm compr. Inflorescência 15cm de compri., com presença de muscilagem. Brácteas primárias vermelçhas. Brácteas florais verdes de ápice vermelho. Sépalas verdes; pétalas verde-claro Ambiente: Mata Seca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-12 12:03:22-03","UFPI","TEPB","20985","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","depressa","Aechmea depressa",NA,"G. M. Sousa",NA,NA,NA,"G. M. Sousa","308","2000","02","07","Brasil","Bahia","Una","Reserva ecológica de Uma; trilha do maribondo","-39.0752983093262","-15.2932996749878",NA,NA,"Planta terrestre e epífita ca. 80cm alt.; folhas verdes as mais internas com manchas escuras, face abaxial esbranquiçada devido a presença de grande quantidade de escamas, bainha arroxeada ca. 19cm larg.; escapo ca. 70cm, totalmente encoberto por brácteas",NA,NA,"36070","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-04-27 16:09:03-03","UFES","VIES","11364","S","Plantae","Bromeliaceae","Aechmea","depressa","Aechmea depressa","L.B.Sm.","Coser, T.S.","2011","03","18","Santos, R.; Assis, A.M.; Cribari, R.S. & Vago, A.M.","59","2011","02","18","Brasil","Espírito Santo","Serra","APA Mestre Álvaro, Vertente sudeste. Acesso pelo Bairro Jardim Tropical (FURNAS).","-40.519167","-20.320278","40º31'9''W","20º19'13''S",NA,"VIES011364","VIES011364",NA,NA,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-04-27 16:09:03-03","UFES","VIES","25543","S","Plantae","Bromeliaceae","Aechmea","depressa","Aechmea depressa","L.B.Sm.","Coser, T.S.","2012","06","12","Giaretta, A.O.; Pereira, O.J.; Menezes, L.F.T. & Martins, R.F.A.","25","2007","03","29","Brasil","Espírito Santo","São Mateus","Cedro.","-39.8588981628418","-18.716100692749",NA,NA,NA,"VIES025543","VIES025543","56510","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-15 09:04:25-03","UESC","UESC","2040","S","Plantae","Bromeliaceae","Aechmea","depressa","Aechmea depressa","L.B.Smith",NA,NA,NA,NA,"Fontoura, T.","407","1998","04","22","Brasil","Bahia","Una",NA,"-39.0752983093262","-15.2932996749878",NA,NA,"Mata Higrófila alterada.; Erva epífita sobre ramo de árvore caída.; Planta observada a dois meses atrás com inflorescência completamente verde.","UESC0002040",NA,"36070","auto",NA,NA,"Angiospermae","Monocotyledoneae","Florideophycidae",NA,NA,NA,NA,NA,NA,NA
