"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","259186","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","graciellae","Senecio graciellae","Cabrera","isotype","A. C. Brade","19779","1949","05","12","South America","Brazil","Espírito Santo","Munipípio de Castelo: Forn Grande","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668088' target='other'> <mi>dwc_moreinfo</mi></a>","NY00259186","NY00259186_01 NY00259186_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","259187","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Senecio","graciellae","Senecio graciellae","Cabrera","isotype","A. C. Brade","19779","1949","05","12","South America","Brazil","Espírito Santo","Munipípio de Castelo: Forn Grande","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668089' target='other'> <mi>dwc_moreinfo</mi></a>","NY00259187","NY00259187_01 NY00259187_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-04-27 16:08:53-03","UFES","VIES","25606","S","Plantae",NA,NA,"Asteraceae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"R.C. Forzza; J.A. Amaral; D. Monteiro & R.G.B. Silva","7652","2013","08","06",NA,"Brasil","Espírito Santo","Arredores da sede do Parque Estadual do Forno Grande. Inselbergue.","1129","1129",NA,NA,"VIES025606","VIES025606","A.M. Teles","2014","06","Castelo","-41.084444","-20.509167","41º5'4''W","20º30'33''S",NA,NA,NA,NA,NA
"4","2020-12-21 16:17:09-03","MBM","MBM","84213","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"Hatschbach, G.","46691","1983","08","05","Southern America","Brazil","Espírito Santo","Muniz Freire, arredores",NA,NA,NA,NA,"MBM084213","MBM084213","Cabrera, A.L.",NA,NA,"Muniz Freire","-41.4131011962891","-20.4641990661621",NA,NA,"30072","auto",NA,NA,NA
"5","2020-12-21 16:17:09-03","MBM","MBM","392629","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"Saavedra, M.M.; Fraga, C.N.; Goldenberg, R.; Mynssen, C.; Fraga, C.N.; Goldenberg, R.; Mynssen, C.","751","2008","05","02","Southern America","Brazil","Espírito Santo","Parque Estadual do Forno Grande, trilha das piscinas para o mirante","1100","1400",NA,"Planta ca. 1,5m alt., folha com nervura principal arroxeada, indumento alvo, brácteas involucrais verde claras, corolas e ramos do estilete amarelos, anteras acastanhadas.; Floresta Ombrófila Densa Altomontana com inselbergues.","MBM392629","MBM392629",NA,NA,NA,"Castelo","-41.083611","-20.516111","-41.083611","-20.516111",NA,NA,NA,NA,NA
"6","2020-12-21 16:17:09-03","MBM","MBM","392628","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"Fraga, C.N.; Forzza, R.C.; Fontana, A.P.; Goldenberg, R.; Kollmann, L.; Amorim,; Forzza, R.C.; Fontana, A.P.; Goldenberg, R.; Kollmann, L.; Amorim, A.M.A.","2451","2009","04","07","Southern America","Brazil","Espírito Santo","Parque Estadual do Forno Grande, trilha para o mirante","1100","1400",NA,"Subarbusto com inflorescências longas ca. 1m. Folhas verde com indumento branco na face abaxial, quando velhas secas na base. Inflorescência com brácteas verdes. Flores amarelas com estames castanhos, estigma amarelo.; Floresta Ombró","MBM392628","MBM392628",NA,NA,NA,"Castelo","-41.0875","-20.519444","-41.0875","-20.519444",NA,NA,NA,NA,NA
"7","2020-12-11 11:33:29-03","UFMG","BHCB","165172","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"Freitas, FS; Falcão, BF","37","2013","05","30","Southern America","Brasil","Espírito Santo","Parque Estadual do Forno Grande, Na subida da trilha do Mirante, entre o deque e o mirante, entre e vegetação do lado direito. Ponto 117",NA,NA,NA,"Subarbusto, ca. 1.5m. Flores passadas Poucos indiívuos",NA,NA,NA,NA,NA,"Castelo","-41.184700012207","-20.6035995483398",NA,NA,"23588","auto",NA,NA,NA
"8","2020-12-11 11:33:29-03","UFMG","BHCB","165173","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"Freitas, FS; Falcão, BF","38","2013","05","30","Southern America","Brasil","Espírito Santo","Parque Estadual do Forno Grande, No alto do Mirante, sobre pedras. Ponto 118",NA,NA,NA,"Subarbusto ca. 1.8m. Touceira com vários indi'viduos de idades diferentes. Flores amarelo-ouro, rajadas de marron. Estilete amarelo. Poucos indiívuos na população além dessa touceira.",NA,NA,NA,NA,NA,"Castelo","-41.184700012207","-20.6035995483398",NA,NA,"23588","auto",NA,NA,NA
"9","2021-02-11 17:18:09-03","UFPR","UPCB","66111","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"Fraga, C.N.","2451","2009","04","07",NA,"Brasil","Espírito Santo","BLOQUEADO","1100","1400",NA,"Subarbusto com inflorescências longas ca. 1m. Folhas verdes com indumento branco na face abaxial, quando velhas secas na base. Inflorescência com brácteas verdes. Flores amarelas com estames castanhos, estigma amarelo..",NA,NA,NA,NA,NA,"Castelo",NA,NA,"9999","9999",NA,NA,NA,NA,NA
"10","2021-02-11 17:18:09-03","UFPR","UPCB","70599","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Senecio","graciellae","Senecio graciellae","Cabrera",NA,"Fontana, A.P.","4790","2008","02","12",NA,"Brasil","Espírito Santo","BLOQUEADO","1100","1400",NA,"No sol, 1,8m, flores amarelas. Material prensado em alcool..",NA,NA,"Franco, I.M.","2013","09","Castelo",NA,NA,"9999","9999",NA,NA,"26",NA,NA
