"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","county","maximumElevationInMeters","decimalLongitude","decimalLatitude","individualCount","class","order","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","preparationType","geoFlag","phylum","verbatimLongitude","verbatimLatitude","dayIdentified","infraspecificEpithet"
"1","2013-08-23 04:12:00-03","MO","MOBOT","2938736","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","Gerrit Davidse, 2006 (MO)","W.G. Herter","Herter 333g","1948","11","15","South America","Uruguay","Rocha","Maravillas","5.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2010-01-29 20:50:00-02","MO","MOBOT","2974730","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","G. Davidse","W.G. Herter","Herter 333g","1948","11","15","South America","Uruguay","Rocha","Loc. Dict.: Maravillas. Assoc.: camp. gram. Edaph.: arg. Humid.: subhumi. Illum.: ill.","5.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2008-05-27 22:02:00-03","MO","MOBOT","2974927","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","E.E. Terrell","Fred G. Meyer","Meyer 9365","1965","11","28","South America","Chile",NA,"Talus slopes at foot of cliff above the sea between Quebrada Casas and Quebrada Vacas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-05-17 05:29:00-03","MO","MOBOT","2975199","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow",NA,"María E. Múlgura","Múlgura 68","1979",NA,NA,"South America","Argentina","Buenos Aires","General Alvear, Ea. San Miguel. Campo pastoreado, muy abundante.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2011-08-30 15:49:00-03","MO","MOBOT","2977084","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","G. Davidse","Pedro Steibel","Steibel 7101","1982",NA,NA,"South America","Argentina","La Pampa","Valle Daza, junto a lea lénque austia liéne.",NA,"Utracán",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","2977119","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","G. Davidse","* HICKMAN","HICKMAN 14730","1921",NA,NA,"South America","Chile",NA,"Istmo de Of qui; La Playa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","2977255","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","G. Davidse","* HICKMAN","HICKMAN 14725","1921",NA,NA,"South America","Chile",NA,"Istmo de of qui; Pto. Leopoldo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2009-10-19 23:44:00-02","MO","MOBOT","2977380","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow",NA,"Eduardo M. Grondona","Grondona 6474","1958",NA,NA,"South America","Argentina","Buenos Aires","Dolores Estancia La Decisión. Campo bajo.",NA,"Dolores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2009-10-19 23:48:00-02","MO","MOBOT","2977553","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","G. Davidse","Walter J. Eyerdam|Alan A. Beetle|Eduardo M. Grondona","Eyerdam 24361","1939","1","12","South America","Argentina","Santa Cruz","On shore of Lago Argentino, 1.5 km north of Calegate; in moist sand and gravel in small clumps among stones.","265.00000000","Lago Argentino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2013-08-23 04:12:00-03","MO","MOBOT","2978532","PreservedSpecimen","Plantae","Poaceae","Polypogon","imberbis","Polypogon imberbis","(Phil.) Johow","G. Davidse","W.G. Herter","Herter 1828","1933","11",NA,"South America","Uruguay","Treinta y Tres","In ripar. Assoc., Edaph.: Aren./argil. Humid., Illum.: subhum., ill. Loc. Dict.: Tacuarí.","50.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
