"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","class","typeStatus","fieldNumber","relatedCatalogItem","sex"
"1","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1374","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor & Stuppy","Nygel Taylor","Inês Ribeiro de Andrade;","Brasil","Minas Gerais","Itaobim","Estrada Itinga/Itaobim","-41.5032997131348","-16.5617008209229","19493","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1065987","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","inamoena","Opuntia inamoena","K.Schum.",NA,"J. N. Rose","Brazil","Bahia",NA,"Barrinha",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1258155' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"19790","1915","06","07","South America","photo","NY01065987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645424","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Opuntia","inamoena","Opuntia inamoena","K.Schum.",NA,"J. N. Rose","Brazil","Bahia",NA,"Barrinha",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14374' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"19790","1915","06","07","South America","sheet","NY00645424","NY00645424_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645419","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor & Stuppy",NA,"A. M. Amorim","Brazil","Bahia","Jacobina","Estrada Jacobina/Morro do Chapéu, ca. de 24 km a partir da sede do municipio. Serra do Tombador","-40.5181","-11.1808",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14376' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1820","1995","10","28","South America","sheet","NY00645419","NY00645419_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","645426","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor & Stuppy",NA,"J. N. Rose","Brazil","Bahia",NA,"Salgada",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14380' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"19717","1915","06","01","South America","sheet","NY00645426","NY00645426_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1309702","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor & Stuppy","N. P. Taylor","W. W. Thomas","Brazil","Minas Gerais","Itinga","4 km W of Itinga on BR 367 to Almenara","-41.8","-16.63",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1539735' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"5971","1988","02","15","South America","sheet","NY01309702","NY01309702_01","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","468120","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor & Stuppy",NA,"J. N. Rose","Brazil",NA,NA,"Near Joazeiro",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14377' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"19726","1915",NA,NA,"South America","fluid-preserved","NY00468120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","645421","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor & Stuppy",NA,"R. M. Harley","Brazil","Bahia",NA,"64 km North of Senhor do Bonfim on the BA 130 highway to Juazeiro","-40.25","-9.92",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14371' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"16355","1974","02","25","South America","sheet","NY00645421","NY00645421_01","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01081181","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor & Stuppy",NA,"E. Arruda","Brazil","Pernambuco","Alagoinha","Km 6, Fazenda Cajueiro Seco.","-36.7758","-8.46639",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221190' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"07","2003","08","03","South America","sheet","NY01081181","NY01081181_01","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01192906","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Tacinga","inamoena","Tacinga inamoena","(K.Schum.) N.P.Taylor & Stuppy","N. P. Taylor","J. G. Jardim","Brazil","Bahia","Carinhanha","Rod. para Cocos, 13 km W da cidade","-43.8669","-14.2292",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396356' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"3573","2001","04","16","South America","sheet","NY01192906","NY01192906_01","480","480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
