"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","individualCount","typeStatus","fieldNumber","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","483971","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","eichleriana","Passiflora eichleriana","Mast.","N. B. Deginani","R. Reitz","4174","1959","11","02","South America","Brazil","Santa Catarina","Luis Alves","Luis Alves.","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647175' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483971","NY00483971_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","483969","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","eichleriana","Passiflora eichleriana","Mast.","N. B. Deginani","R. Reitz","5348","1957","10","24","South America","Brazil","Santa Catarina",NA,"Tigipió, Tijucas.","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647176' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483969","NY00483969_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","483970","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","eichleriana","Passiflora eichleriana","Mast.","N. B. Deginani","R. Reitz","1166","1953","11","02","South America","Brazil","Santa Catarina","Ibirama","Horto Florestal I.N.P., Ibirama.","350","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647174' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483970","NY00483970_01","-49.5178","-27.0569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","26426","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","eichleriana","Passiflora eichleriana","Mast.","Cervi, A.C.","Kranz, W.M.","199","1988","03","29",NA,"Brasil","Paraná","Londrina",NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Maracujá de Veado","BOTU026426",NA,NA,NA,"1989","09","28","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:36-03","UFRJ","RFA","9277","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","eichleriana","Passiflora eichleriana","Mast.","A.C. Cervi","G.G. Hatschbach","22766","1969","10","31",NA,"Brasil","Paraná","Bocaiúva do Sul",NA,NA,NA,NA,"Escandente, flor alva","RFA47392",NA,"-49.1150016784668","-25.2061004638672","1989","10","21",NA,NA,"61623","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:36-03","UFRJ","RFA","23508","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","eichleriana","Passiflora eichleriana","Mast.","J.C. Sacco","F. Segadas-Vianna","801","1945","03","09",NA,"Brasil","Rio de Janeiro","Itatiaia","Maromba","1100","1100",NA,NA,"RFA47384",NA,"-44.5633010864258","-22.4960994720459","1965","07","06",NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:46:34-03","EAO","IAN","170042","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Passifloraceae","Passiflora","eichleriana","Passiflora eichleriana","Mast.","Nunes, TS","Cordeiro, MR","4812","1998","10",NA,"Southern America","Brasil","Pará","Belém","Reserva da Cosanpa, terra firme, solo argiloso; Material que foi coletado semente para Dra. Ima Vieira. MG.",NA,NA,NA,"Cipó sobre árvore; frutos amarelos.","IAN170042",NA,"-48.5043983459473","-1.4558299779892","2020","10",NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA
"8","2013-07-03 11:18:58-03","EBDA","BAH","10443","S","Plantae",NA,NA,"Passifloraceae","Passiflora","eichleriana","Passiflora eichleriana","Mast.","Neves, M.Fagundes","Neves, M.Fagundes","231","2002","03","03",NA,"Brasil","Bahia","Simões Filho","F.T.M. - Br 093",NA,NA,NA,NA,NA,NA,"-38.4039","-12.7844","2002","03",NA,NA,NA,"14004","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:25:38-03","PUCPR","HUCP","352","S","Plantae","Eudicotiledonea",NA,"Passifloraceae","Passiflora","eichleriana","Passiflora eichleriana","Wast.","Lervi, AC","Saito, EJ","017",NA,NA,NA,NA,"Brasil","Paraná","Morretes","Serra do Mar, Nativa escandente.",NA,NA,NA,NA,"HUCP00016633","HUCP00016633","-48.834400177002","-25.476900100708","1982","06","08",NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:56:20-03","NBC","NL-BOTANY","L.2454251","PreservedSpecimen","Plantae",NA,"Malpighiales","Passifloraceae","Passiflora","eichleriana","Passiflora eichleriana","Mast.",NA,"Hatschbach GG",NA,"1959","10","18","Southern America","Brazil",NA,NA,"Parana (Brasil). Campina Grande de Sul. Praia Grande.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2454251 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2454251","NL-L2454251",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
