"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","relatedCatalogItem","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","individualCount","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","469369","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo","J. B. Baitello","F. C. Hoehne","1215","1918","01","07","South America","Brazil","São Paulo","Ribeirao Pires","Alto da Serra. Matta da Estaçao Biologica","-46.4097","-23.71","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=356456' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469369","NY00469369_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","469370","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo","B. Coe-Teixeira","A. Gehrt","s.n.","1934","10","29","South America","Brazil","São Paulo","Santo André","Alto da Serra. Estaçao Biologica","-46.5297","-23.66","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=356455' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469370","NY00469370_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:36:12-03","NBC","NL-BOTANY","U 0002939","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo","Werff HH van der",NA,NA,"1915","01","01","Southern America","Brazil",NA,NA,"S. Paulo. Alto da Serra",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200002939 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0002939","NL-U0002939","Magnoliopsidae","isotype","58480 A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-30 05:22:19-03","MNHN","RECOLNAT_MNHN_P","P00756958","PreservedSpecimen",NA,NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo","Baitillo","Hoehne, F.C.",NA,"1918","7",NA,NA,"Brésil",NA,NA,"Estaçao Biologica, Alto da Serra. S. Paulo",NA,NA,"hb","Non typus! specimen in descriptione non citatum cf. J. Rohwer, 1984 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00756958' target='other'> <mi>dwc_moreinfo</mi></a>","P00756958","P00756958_01",NA,"isotype",NA,"1215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-03 18:55:19-03","MNHN","RECOLNAT_MNHN_P","P01959675","PreservedSpecimen",NA,NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo",NA,"Chevalier, A.",NA,"1928","8","6",NA,"Brasil","São Paulo",NA,"Alto da Serra",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01959675' target='other'> <mi>dwc_moreinfo</mi></a>","P01959675","P01959675_01",NA,NA,NA,NA,"1000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2009-11-10 18:23:00-02","MO","MOBOT","1412887","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil","H. van der Werff (MO)","Oswaldo Handro","Handro 409","1954","10","26","South America","Brazil","São Paulo",NA,"Campo Grande (via férrea São Paulo - Santos), Estação Biológica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","55272","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil","Henk van der Werff","Alwyn H. Gentry|Elsa M. Zardini","Gentry 49372","1985","1","9","South America","Brazil","São Paulo",NA,"Parque Estadual de Caraguatatuba, road NE from SP. Hwy. 99 at Km. 66, 0-2.4 km from main hwy., wet premontante forest.","-45.5","-23.46666",NA,NA,NA,NA,NA,NA,NA,"85-22","700.00000000","750.00000000","7",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-13 11:21:08-03","USP","SPF","161509","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil","Assis, LCS","Evangelista de Oliveira, J","356","1941","05","09",NA,"Brasil","Minas Gerais","Tombos","Fazenda das Antilhas.","-42.0228004455566","-20.9046993255615",NA,NA,"SPF00161509",NA,NA,NA,NA,NA,NA,NA,NA,"2004","06","16749","auto",NA,NA,NA
"9","2019-11-21 10:07:28-03","IBt","SP","415658","S","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil","Vattimo, I","Kuhlmann, JG","s.n.","1922","10","02",NA,"Brasil","São Paulo",NA,"Estação Biológica",NA,NA,NA,NA,"SP000873","SP000873",NA,"Paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 10:07:28-03","IBt","SP","1215","S","Plantae",NA,NA,"Lauraceae","Ocotea","basicordatifolia","Ocotea basicordatifolia","Vattimo-Gil","Baitello, JB","Hoehne, FC","s.n.","1918","01","07",NA,"Brasil","São Paulo","Santo André","Alto da Serra","-46.5299987792969","-23.6599998474121",NA,NA,"SP054640","SP054640",NA,NA,NA,NA,NA,NA,NA,"1999","07","27258","auto","30",NA,NA
