"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"18","2015-09-29 07:42:35-03","MNHN","RECOLNAT_MNHN_P","P00686962","PreservedSpecimen",NA,NA,NA,"Smilacaceae","Smilax","salutaris","Smilax salutaris","Kunth","Gaudichaud, C.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00686962' target='other'> <mi>dwc_moreinfo</mi></a>","P00686962","P00686962_01",NA,"type",NA,NA,NA,NA,NA,NA,NA,"310 bis",NA,NA,NA
"19","2015-09-03 20:03:58-03","MNHN","RECOLNAT_MNHN_P","P01771968","PreservedSpecimen",NA,NA,NA,"Smilacaceae","Smilax","salutaris","Smilax salutaris","Kunth","Mosén",NA,"1845","1","10",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01771968' target='other'> <mi>dwc_moreinfo</mi></a>","P01771968","P01771968_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-09-03 20:03:58-03","MNHN","RECOLNAT_MNHN_P","P01771970","PreservedSpecimen",NA,NA,NA,"Smilacaceae","Smilax","salutaris","Smilax salutaris","Kunth","Glaziou, A.",NA,"1890","11","7",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Brésil. R.J. Laranjeiras","-43.2075004577637","-22.9027996063232",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01771970' target='other'> <mi>dwc_moreinfo</mi></a>","P01771970","P01771970_01",NA,NA,NA,NA,NA,NA,NA,"57442","auto","18578",NA,NA,NA
"21","2015-09-03 20:03:59-03","MNHN","RECOLNAT_MNHN_P","P01771973","PreservedSpecimen",NA,NA,NA,"Smilacaceae","Smilax","salutaris","Smilax salutaris","Kunth","Glaziou, A.",NA,"1882","9","19",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Brésil. R.J.; Quinta","-43.2075004577637","-22.9027996063232",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01771973' target='other'> <mi>dwc_moreinfo</mi></a>","P01771973","P01771973_01",NA,NA,NA,NA,NA,NA,NA,"57442","auto","14352",NA,NA,NA
"22","2015-09-03 20:03:58-03","MNHN","RECOLNAT_MNHN_P","P01771971","PreservedSpecimen",NA,NA,NA,"Smilacaceae","Smilax","salutaris","Smilax salutaris","Kunth","Glaziou, A.",NA,"1890","12","7",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Larangeiras","-43.2075004577637","-22.9027996063232",NA,NA,"hb","donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01771971' target='other'> <mi>dwc_moreinfo</mi></a>","P01771971","P01771971_01",NA,NA,NA,NA,NA,NA,NA,"57442","auto","18578",NA,NA,NA
"23","2015-09-03 20:03:58-03","MNHN","RECOLNAT_MNHN_P","P01771969","PreservedSpecimen",NA,NA,NA,"Smilacaceae","Smilax","salutaris","Smilax salutaris","Kunth","Glaziou",NA,"1881","10","19",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Quinta","-43.2075004577637","-22.9027996063232",NA,NA,"hb","Donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01771969' target='other'> <mi>dwc_moreinfo</mi></a>","P01771969","P01771969_01",NA,NA,NA,NA,NA,NA,NA,"57442","auto","13275",NA,NA,NA
"24","2015-09-03 20:03:59-03","MNHN","RECOLNAT_MNHN_P","P01771974","PreservedSpecimen",NA,NA,NA,"Smilacaceae","Smilax","salutaris","Smilax salutaris","Kunth","Glaziou, A.",NA,"1882","9","19",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Quinta","-43.2075004577637","-22.9027996063232",NA,NA,"hb","donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01771974' target='other'> <mi>dwc_moreinfo</mi></a>","P01771974","P01771974_01",NA,NA,NA,NA,NA,NA,NA,"57442","auto","14352",NA,NA,NA
"25","2015-09-04 06:00:43-03","MNHN","RECOLNAT_MNHN_P","P00083425","PreservedSpecimen",NA,NA,NA,"Smilacaceae","Smilax","subsessiliflora","Smilax subsessiliflora","Duham.","Gaudichaud, C.",NA,"1831",NA,NA,NA,"Brésil",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00083425' target='other'> <mi>dwc_moreinfo</mi></a>","P00083425","P00083425_01",NA,NA,NA,"Andreata",NA,NA,NA,NA,NA,"310 ter",NA,NA,NA
"26","2016-02-23 12:50:55-03","MNHN","RECOLNAT_MNHN_P","P00665833","PreservedSpecimen",NA,NA,NA,"Smilacaceae","Smilax","subsessiliflora","Smilax subsessiliflora","Duham.","Dombey, J.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"s.l.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00665833' target='other'> <mi>dwc_moreinfo</mi></a>","P00665833","P00665833_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2013-01-10 15:06:10-02","MNHN","RECOLNAT_MNHN_P","P00686974","PreservedSpecimen",NA,NA,NA,"Smilacaceae","Smilax","subsessiliflora","Smilax subsessiliflora","Duham.","Gaudichaud, C.",NA,"1831",NA,NA,NA,"Brésil",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00686974' target='other'> <mi>dwc_moreinfo</mi></a>","P00686974","P00686974_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"310 ter",NA,NA,NA
