"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","order","typeStatus","individualCount","sex"
"1","2019-10-09 11:11:22-03","UFBA","ALCB","121578","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","Amorim, VO","2018","10","31","Guedes, ML; Casaes, M","23914","2015","08","20","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Caminho para o Córrego do Boiadeiro.","-41.366667","-13","-41.366667","-13","Folhas cartáceas, discolores, face abaxial tomentosa, pêlos glandulosos. Inflorescência capítulos, filárias com pêlos alvos, flores cremes.","ALCB004959","ALCB004959",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:11:22-03","UFBA","ALCB","122519","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","Amorim, VO","2018","10","31","Alves, M; Campos, L; Gandara, A","339","2014","08","12","Southern America","Brasil","Bahia","Mucugê","Próximo ao Platô do Gobira.","-41.376667","-13.078611","-41.376667","-13.078611","ca. 0,8 cm alt. Folhas discolores.",NA,NA,"1383","1383",NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:11:22-03","UFBA","ALCB","134777","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","Amorim, VO","2015","09",NA,"Amorim, VO","370","2015","09","14","Southern America","Brasil","Bahia","Mucugê","Morro da Cobira.","-41.378333","-13.094444","-41.378333","-13.094444","Alt.: 1,0 m. Folhas coriáceas, levemente discolor. Inflorescência em capítulo, brácteas involucrais verdes, flores e ramos do estilete alvo.; Solo pedregoso.","ALCB060612","ALCB060612","1230","1230",NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:11:22-03","UFBA","ALCB","134778","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","Amorim, VO","2015","09",NA,"Amorim, VO","372","2015","09","14","Southern America","Brasil","Bahia","Mucugê","Morro da Cobira.","-41.378333","-13.094444","-41.378333","-13.094444","Alt.: 0,70. Folhas coriáceas, levemente discolor. Inflorescência em capítulos involucrais verde, flores e ramos do estilete alvo. DNA: S. População: P.; Solo arenoso.","ALCB060613","ALCB060613","1230","1230",NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:11:22-03","UFBA","ALCB","134779","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","Amorim, VO","2015","09",NA,"Amorim, VO","397","2015","09","17","Southern America","Brasil","Bahia","Mucugê","Morro da Cobira.","-41.377778","-13.084444","-41.377778","-13.084444","Alt.: 1,60. Folha coriáceas, levemente discolores com resina. Inflorescência em capítulos involucrais verdes, flores e ramos do estilete alvas. DNA: S. População: G.; Solo pedregoso.","ALCB060614","ALCB060614","1348","1348",NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:11:22-03","UFBA","ALCB","76423","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","Ferreira, SC","2009","05",NA,"Conceição, AA; Carvalho, PD","1806","2006","09","05","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Serra do esbarrancado","-41.5","-12.716667","-41.5","-12.716667","ca. 60 cm alt. Brácteas verdes. Flores alvas. DNA",NA,NA,"1500","1500",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:11:22-03","UFBA","ALCB","96159","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","Amorim, VO","2018","10","31","Ogasawara, HA; Aguiar, LGPA; Santo, FSE","13","2010","08","18","Southern America","Brasil","Bahia","Guiné","Chapada Diamantina, Gerais do Rio Preto, Serra do Esbarrancado",NA,NA,NA,NA,"Cerca de 1,20m de altura; folhas discolores; corola e ramos do estilete alvos; brácteas involucrais verdes com ápice avermelhado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:11:22-03","UFBA","ALCB","134780","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","Amorim, VO","2015","09",NA,"Amorim, VO","409","2015","09","09","Southern America","Brasil","Bahia","Palmeiras",NA,"-12.743333","12.743333","-12.743333","12.743333","Alt.: 1,0. Folhas coriáceas, concolores. Inflorescência em capítulo, brácteas involucrais verdes, flores e ramos do estilete alvos.; Solo arenoso.","ALCB060615","ALCB060615","1537","1537",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:11:22-03","UFBA","ALCB","126045","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.","Amorim, VO","2018","10","31","Roque, N; Alunos de Sistemática Evolução de Espermatófitas","4844","2016","10","08","Southern America","Brasil","Bahia","Palmeiras","Vale do Capão. Trilha para a Cachoeira da Fumaça.","-41.5588989257812","-12.5289001464844",NA,NA,"ca. 60 cm alt. Folhas concolores. Brácteas involucrais verdes, corola alva.","032687",NA,NA,NA,"20767","auto",NA,NA,NA,NA,NA
"10","2020-12-11 11:33:34-03","UFMG","BHCB","159382","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.",NA,"2019","08",NA,"Hattori, EKO; Lau, BL","1457","2011","09","07","Southern America","Brasil","Bahia","Mucugê","Morro do Gobira","-41.362778","-13.099444","-41.362778","-13.099444","Arbusto, ca. 1,7m de altura, brácteas involucrais esverdeadas, corola e ramos do estilete brancos; Campo rupestre, solo arenoso","BHCB050857",NA,"1184","1184",NA,NA,NA,NA,NA,NA,NA
"11","2020-12-11 11:33:34-03","UFMG","BHCB","180235","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Stylotrichium","sucrei","Stylotrichium sucrei","R.M.King & H.Rob.",NA,"2019","08",NA,"Fernandes, AC; Viana, PL; Mota, NFO; Paula, LFA; Jorge, TB","171","2010","10","10","Southern America","Brasil","Bahia","Mucugê","Guiné, Gerais do Rio Preto","-41.512861","-12.758722","-41.512861","-12.758722","Subarbusto glutinoso, 1m alt. Flores róseas.; Campo rupestre.","BHCB032620",NA,"1121","1121",NA,NA,NA,NA,NA,NA,NA
