"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","infraspecificEpithet","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00954910","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Turnera","capitata","Turnera capitata","Cambess.","M. M. Arbo","5269","1991","02","18","South America","Brazil","Minas Gerais","Santa Barbara. Serra do Caraca: caminho a la Capelinha. SW de Catas Altas","-43.45","-20.08","1270","1350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018611' target='other'> <mi>dwc_moreinfo</mi></a>","NY00954910","NY00954910_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00954909","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Turnera","capitata","Turnera capitata","Cambess.","L. O. Williams","5536","1945","02","12","South America","Brazil","Minas Gerais","Morrao das Pedras, 3 km. south of Belo Horizonte.","-43.2485756","-19.9480039","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00954909","NY00954909_01 NY00954909_02","C. Moura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00954908","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Turnera","capitata","Turnera capitata","Cambess.","G. G. Hatschbach","45579","1982","10","10","South America","Brazil","Minas Gerais","Serra da Mantiqueira","-44.8697","-22.2842",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018607' target='other'> <mi>dwc_moreinfo</mi></a>","NY00954908","NY00954908_01 NY00954908_02","M. M. Arbo","Itamonte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1039873","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Turnera","capitata","Turnera capitata","Cambess.","R. Reitz","4002","1956","09","28","South America","Brazil","Santa Catarina","Piloes, Palhoça","-48.694057","-27.77489","350","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1499512' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039873","NY01039873_01","M. M. Arbo","Palhoça",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00954906","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Turnera","capitata","Turnera capitata","Cambess.","H. S. Irwin","28509a","1970","03","28","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 5 km N. of São João da Chapada, road to Inhaí","-43.7533","-18.0359","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018593' target='other'> <mi>dwc_moreinfo</mi></a>","NY00954906","NY00954906_01","M. M. Arbo","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02147419","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Turnera","capitata","Turnera capitata","Cambess.","L. Riedel","1402",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2320129' target='other'> <mi>dwc_moreinfo</mi></a>","NY02147419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1039874","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Turnera","capitata","Turnera capitata","Cambess.","R. Reitz","2845","1956","02","23","South America","Brazil","Santa Catarina","Pilões, Palhoça","-48.694057","-27.77489","350","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1499516' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039874","NY01039874_01","M. M. Arbo","Palhoça",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1039891","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Turnera","capitata","Turnera capitata","Cambess.","L. Riedel","1372",NA,"01",NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1500521' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039891","NY01039891_01","M. M. Arbo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","687423","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Turnera","capitata","Turnera capitata","Cambess.","T. Sendulsky","824","1968","08","06","South America","Brazil","São Paulo","Capital, Jardim Botânico e Parque do Estado","-46.621883","-23.654505",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=874981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687423","NY00687423_01","S. L. Jung-Mendaçolli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","687424","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Turnera","capitata","Turnera capitata","Cambess.","C. A. F. Moura","s.n.","1975","02","05","South America","Brazil","São Paulo","Capital, nativa do Jardim Botânico","-46.618358","-23.646109",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=874983' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687424","NY00687424_01","C. A. F. Moura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
