"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","class","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"1","2016-09-29 22:09:00-03","NY","NYBG","00941664","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","estrellensis","Tibouchina estrellensis","R. Romero","J. N. Nakajima","1070","1995","05","12","South America","Brazil","Minas Gerais","São Roque de Minas","Cachoeira da Casca D'Anta, trilha para a guarita de baixo, PARNA Serra da Canastra.","-46.5258","-20.3074","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941664","NY00941664_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","558165","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","estrellensis","Tibouchina estrellensis","J. J. Wurdack","G. G. Hatschbach","47697","1984","04","07","South America","Brazil","Espírito Santo","Domingos Martins","Rod. BR-262, Pedra Azul","-40.975816","-20.404052","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83038' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558165","NY00558165_01","(Raddi) Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-28 14:01:00-03","NY","NYBG","558163","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","estrellensis","Tibouchina estrellensis","A. C. Brade","O. C. Goés","115","1946",NA,NA,"South America","Brazil","Rio de Janeiro","Petrópolis","Petropolis","-43.1783","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83035' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558163","NY00558163_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 10:11:00-03","NY","NYBG","1801051","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","estrellensis","Tibouchina estrellensis","J. F. A. Baumgratz","S. J. da Silva Neto","731","1996","05","16","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Proximidades do Abrigo III.","-44.658","-22.358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2015708' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801051","NY01801051_01",NA,"1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 14:01:00-03","NY","NYBG","558461","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","estrellensis","Tibouchina estrellensis",NA,"A. L. Peixoto","6236","1991","04","08","South America","Brazil","Rio de Janeiro","Piraí","Represa de Ribeirao das Lages, Mata Atlantica","-43.8981","-22.6294","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558461","NY00558461_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","558166","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","estrellensis","Tibouchina estrellensis","J. J. Wurdack","K. B. Strier","906","1984","02","06","South America","Brazil","Minas Gerais",NA,"Estaçao Biologica de Caratinga","-41.83","-19.67","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558166","NY00558166_01","(Raddi) Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","558164","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","estrellensis","Tibouchina estrellensis","J. J. Wurdack","A. Castellanos","830","1965","03","01","South America","Brazil","Rio de Janeiro","Angra dos Reis","Angra dos Reis","-44.268377","-22.997076","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=83037' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558164","NY00558164_01","(Raddi) Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 08:39:00-03","NY","NYBG","1552802","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","estrellensis","Tibouchina estrellensis","R. Goldenberg","A. M. Amorim","7802","2009","04","09","South America","Brazil","Espírito Santo","Castelo","Parque Estadual do Forno Grande.","-41.075","-20.5194","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1899829' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552802","NY01552802_01",NA,"1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 22:37:00-03","NY","NYBG","2480412","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","estrellensis","Tibouchina estrellensis",NA,"R. C. Forzza","6053","2011","02","08","South America","Brazil","Minas Gerais","Marliéria","Afloramento a W de cidade. Mata na base de inselbergue.","-42.7028","-19.7053","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2706475' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480412","NY02480412_01",NA,"730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1017198","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","estrellensis","Tibouchina estrellensis","G. G. Hatschbach","G. G. Hatschbach","49418","1985","06","15","South America","Brazil","Espírito Santo","Domingos Martins","Pedra Azul","-41.008089","-20.436427","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1200295' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017198","NY01017198_01","(Raddi) Cogn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
