"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","recordNumber","continentOcean","class","order","locality","occurrenceRemarks","coordinatePrecision","geoFlag","individualCount","minimumElevationInMeters","maximumElevationInMeters","typeStatus","preparationType","fieldNumber","relatedCatalogItem"
"1","2021-04-05 14:33:37-03","UNESC","CRI","8910","PreservedSpecimen","Plantae","Leguminosae","Lupinus","linearis","Lupinus linearis","Desr.","Rafel Martins","2010","12","17","Rafel Martins","2010","11","12","Brasil","Santa Catarina","Araranguá","-49.486389","-28.935556","49º29'11''W","28º56'8''S","CRI002934","CRI002934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:41:48-03","EAO","IAN","99427","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lupinus","linearis","Lupinus linearis","Desv.",NA,NA,NA,NA,"Commerson",NA,NA,NA,"Uruguai","Montevideu",NA,NA,NA,NA,NA,"IAN099427",NA,"Dicotiledônea","s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:13:32-03","NBC","NL-BOTANY","AMD.63389","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"Herter WGF; Schulz AAH; Strahl","1925","10","01","Uruguay",NA,NA,NA,NA,NA,NA,"NL-AMD63389","NL-AMD63389",NA,NA,"Southern America","Magnoliopsidae","Fabales","Loc. Dict. Oerro, Departemento de Montevideo.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.63389 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:13:32-03","NBC","NL-BOTANY","L.2047360","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"Pedersen TM","1969","10","08","Argentina",NA,NA,NA,NA,NA,NA,"NL-L2047360","NL-L2047360",NA,NA,"Southern America","Magnoliopsidae","Fabales","Estancia,,Garruchos', Dep. Santo Tomé, Prov. Corrientes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2047360 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:13:32-03","NBC","NL-BOTANY","U.1315927","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lupinus","linearis","Lupinus linearis","Desr.",NA,NA,NA,NA,"Herter WG","1926","09","01","Uruguay",NA,NA,NA,NA,NA,NA,"NL-U1315927","NL-U1315927",NA,NA,"Southern America","Magnoliopsidae","Fabales","Camp Arenos, Cerro Casabo, departamento de Montevideo.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1315927 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:29:31-03","IAP","PACA-AGP","62675","PreservedSpecimen","Plantae","Fabaceae","Lupinus","aff. linearis","Lupinus aff. linearis","Desr.","Emrich-Rambo","1958","08","25","Camargo, O. R.","1957","11","01","Brasil","RS","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,NA,"PACA062675",NA,"Magnoliophyta","2442",NA,"Magnoliatae","Fagales","Petrópolis","conf. M. P. dos Santos em 03.2001 Habitat: in campestribus Fenofase: flor e fruto","29946","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:29:34-03","IAP","PACA-AGP","55875","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Emrich-Rambo","1955","04","10","Rambo, B.","1954","10","03","Brasil","RS","Osório","-50.2696990966797","-29.8866996765137",NA,NA,"PACA055875",NA,"Magnoliophyta",NA,NA,"Magnoliatae","Fagales","Faz. do Arroio","conf. M. P. dos Santos em 03.2001 Habitat: in arenosis dumetosis Fenofase: flor","27350","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:29:34-03","IAP","PACA-AGP","37880","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Emrich-Rambo","1954","08","16","Rambo, B.","1948","11","06","Brasil","RS","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,NA,"PACA037880",NA,"Magnoliophyta",NA,NA,"Magnoliatae","Fagales","Morro da Polícia","Habitat: in campestribus siccis graminosis Fenofase: flor","29946","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:29:34-03","IAP","PACA-AGP","174","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Emrich-Rambo","1954","08","16","Rambo, B.","1933","01","17","Brasil","RS","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,NA,"PACA000174",NA,"Magnoliophyta",NA,NA,"Magnoliatae","Fagales","Vila Manresa, Morro da Glória","Habitat: in campestribus siccis graminosis Fenofase: flor e fruto novissimo","29946","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:29:34-03","IAP","PACA-AGP","31907","PreservedSpecimen","Plantae","Fabaceae","Lupinus","linearis","Lupinus linearis","Desr.","Emrich-Rambo","1954","08","16","Reitz, R.","1945","10","10","Brasil","SC","Sombrio","-49.61669921875","-29.113899230957",NA,NA,"PACA031907",NA,"Magnoliophyta","1294",NA,"Magnoliatae","Fagales",NA,"conf. M. P. dos Santos em 03.2001 Habitat: in campestribus graminosis Fenofase: flor","16515","auto",NA,NA,NA,NA,NA,NA,NA
