"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","fieldNumber","infraspecificEpithet","individualCount","sex"
"1","2020-09-23 10:38:15-03","E","E","202944","PreservedSpecimen","Plantae","Compositae","Wunderlichia","mirabilis","Wunderlichia mirabilis","Oliveira, R.S. & Proença, C.","1580","1996","10","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217754","<a href=http://data.rbge.org.uk/herb/E00202944 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","856185","PreservedSpecimen","Plantae","Asteraceae","Wunderlichia","mirabilis","Wunderlichia mirabilis","T. B. Cavalcanti","CFCR10206","1986","09","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856185","Magnoliophyta","Asterales","Riedel ex Baker","J. R. Pirani","Minas Gerais","Rio Vermelho","Pedra Menina. Serra do Ambrósio. Espigão do Meio. Faz. Vargem do Anjo.","-43.0594","-18.1422","830","830","NY00856185_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","856197","PreservedSpecimen","Plantae","Asteraceae","Wunderlichia","mirabilis","Wunderlichia mirabilis","B. Maguire","49126","1960","08","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856197","Magnoliophyta","Asterales","Riedel ex Baker",NA,"Minas Gerais",NA,"ca. 3-5 km east of Serra, road from Concepçao to Diamantina.",NA,NA,NA,NA,"NY00856197_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","856186","PreservedSpecimen","Plantae","Asteraceae","Wunderlichia","mirabilis","Wunderlichia mirabilis","B. Maguire","44791","1959","12","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932458' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856186","Magnoliophyta","Asterales","Riedel ex Baker",NA,"Goiás","Cristalina","6 miles outside Cristalina, on road between Paracatu and Brasilia","-47.6133","-16.7686","1128","1128","NY00856186_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","856199","PreservedSpecimen","Plantae","Asteraceae","Wunderlichia","mirabilis","Wunderlichia mirabilis","H. S. Irwin","9913","1965","11","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932537' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856199","Magnoliophyta","Asterales","Riedel ex Baker","G. M. Barroso","Goiás","Cristalina","Serra dos Cristais, ca. 2 km N. of Cristalina","-47.6","-16.73193","1250","1250","NY00856199_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01080830","PreservedSpecimen","Plantae","Asteraceae","Wunderlichia","mirabilis","Wunderlichia mirabilis","J. G. Stutts","999","1980","10","15","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1210582' target='other'> <mi>dwc_moreinfo</mi></a>","NY01080830","Magnoliophyta","Asterales","Riedel ex Baker","N. C. Coile","Goiás","Alto Paraíso de Goiás","About 52 km W of Alto Paraíso by road and and about 2.5 km by foot towards Rio Preto Falls.","-47.5097","-14.1325",NA,NA,"NY01080830_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","856187","PreservedSpecimen","Plantae","Asteraceae","Wunderlichia","mirabilis","Wunderlichia mirabilis","A. F. M. Glaziou","21684","1985","10","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856187","Magnoliophyta","Asterales","Riedel ex Baker","B. Maguire","Goiás",NA,"(Goyaz) Serra Dourada",NA,NA,NA,NA,"NY00856187_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01080831","PreservedSpecimen","Plantae","Asteraceae","Wunderlichia","mirabilis","Wunderlichia mirabilis","T. B. Cavalcanti","CFCR10206","1986","09","08","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1210585' target='other'> <mi>dwc_moreinfo</mi></a>","NY01080831","Magnoliophyta","Asterales","Riedel ex Baker","J. R. Pirani","Minas Gerais","Rio Vermelho","Pedra Menina. Serra do Ambrósio. Espigão do Meio. Faz. Vargem do Anjo.","-43.0594","-18.1422","830","830","NY01080831_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","856196","PreservedSpecimen","Plantae","Asteraceae","Wunderlichia","mirabilis","Wunderlichia mirabilis","A. F. M. Glaziou","21683","1898","09","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932522' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856196","Magnoliophyta","Asterales","Riedel ex Baker","B. Maguire","Goiás",NA,"Serra dos Cristaes",NA,NA,NA,NA,"NY00856196_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1144374","PreservedSpecimen","Plantae","Asteraceae","Wunderlichia","mirabilis","Wunderlichia mirabilis","T. B. Cavalcanti","1724","1995","09","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1289627' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144374","Magnoliophyta","Asterales","Riedel ex Baker","K. Calago","Goiás","Corumbaíba","Margem esquerda do Rio Corumba. Proximo a Foz do Corrego Gameleira.","-48.5","-17.97","630","630","NY01144374_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","856189","PreservedSpecimen","Plantae","Asteraceae","Wunderlichia","mirabilis","Wunderlichia mirabilis","B. Maguire","49282","1960","07","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856189","Magnoliophyta","Asterales","Riedel ex Baker",NA,"Minas Gerais",NA,"(north) Grao Mogul.",NA,NA,NA,NA,"NY00856189_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","856194","PreservedSpecimen","Plantae","Asteraceae","Wunderlichia","mirabilis","Wunderlichia mirabilis","A. F. C. P. Saint-Hilaire","s.n.","1816",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=932514' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856194","Magnoliophyta","Asterales","Riedel ex Baker",NA,NA,NA,"Iterubi ?",NA,NA,NA,NA,"NY00856194_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00750395","PreservedSpecimen","Plantae","Asteraceae","Wunderlichia","mirabilis","Wunderlichia mirabilis","B. Maguire","44791","1959","12","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=879375' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750395","Magnoliophyta","Asterales","Riedel ex Baker",NA,"Goiás","Cristalina","6 miles outside of Cristalina, on road between Paracatu and Brasilia","-47.6133","-16.7686","1128","1128","NY00750395_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
