"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01318299","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","regnellii","Miconia regnellii","Cogn.","M. K. Caddah","M. K. Caddah","609","2009","07","09","South America","Brazil","Amazonas","Manaus","Reserva Florestal Adolpho Ducke","-59.9281883","-2.9548699","34","34","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305562' target='other'> <mi>dwc_moreinfo</mi></a>","NY01318299","NY01318299_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2423186","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","trianae","Miconia trianae","Cogn.",NA,"R. Goldenberg","2134","2015","04","29","South America","Brazil","Espírito Santo","Vargem Alta","Morro do Sal, estrada para Pedra Azul, 500 m a N de Vargem Alta.","-41.0069007873535","-20.6714000701904",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685469' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423186","NY02423186_01","27188","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1551326","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","trianae","Miconia trianae","Cogn.","R. Goldenberg","R. A. M. Tavares","69","2000","10","19","South America","Brazil","Minas Gerais","Ouro Preto","Serra Geral, estr. para a Mina Dacapanema. Antes da Cachoeira da Juda.","-43.5080986022949","-20.2875003814697",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1157307' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551326","NY01551326_01","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00925385","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","trianaei","Miconia trianaei","Cogn.","R. Goldenberg","G. G. Hatschbach","44704","1982","03","13","South America","Brazil","Minas Gerais",NA,"Pedro Less, Tijucal.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925385","NY00925385_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00925387","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","trianaei","Miconia trianaei","Cogn.","R. Goldenberg","E. Pereira","9191","1964","09","13","South America","Brazil","Minas Gerais",NA,"Serra da Moeda, BR-3.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925387","NY00925387_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00925389","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","trianaei","Miconia trianaei","Cogn.",NA,"L. O. Williams","8037","1945","08","11","South America","Brazil","Minas Gerais","Nova Lima","Serra do Curral, 5 miles south of Balo Horizonte.","-43.8467","-19.9858","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00925388","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","trianaei","Miconia trianaei","Cogn.","R. Goldenberg","E. Pereira","9191","1964","09","13","South America","Brazil","Minas Gerais",NA,"Serra da Moeda, BR-3.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925388","NY00925388_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00925392","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","trianaei","Miconia trianaei","Cogn.","R. Goldenberg","A. P. Duarte","671","1946","11","27","South America","Brazil","Minas Gerais","Carandaí","Quebra-Cambão.","-43.8064","-20.9536",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925392","NY00925392_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00925390","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","trianaei","Miconia trianaei","Cogn.","R. Goldenberg","L. Emygdio de Mello Filho","3237","1972","07","11","South America","Brazil","Minas Gerais","Itabirito","Pico do Itabirito.","-43.8014","-20.2533","1500",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997694' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925390","NY00925390_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","229421","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","trianaei","Miconia trianaei","Cogn.",NA,"Martii Herbar. Florae Brasil.","943","1841",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=107370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229421","NY00229421_01",NA,NA,"isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
