"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","geoFlag","day","verbatimLongitude","verbatimLatitude","imagecode","dayIdentified"
"1","2019-11-21 14:40:53-03","UFJF","CESJ","60877","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Hadrolaelia","virens","Hadrolaelia virens","(Lindl.) Chiron & V.P.Castro","L. Menini Neto","2012","09","L. Menini Neto; S.G. Furtado; D.R. Gonzaga","1105","2012","09","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra da Negra, Ninho da Égua, em floresta ombrófila densa, ca. 1400m.s.m.","-43.8278007507324","-22.0891990661621","20815","1400","1400","Epífita, a ca. 4m alt., no interior de floresta ombrófila densa, próximo ao curso d'água. Frutos imaturos verdes.","CESJ060877","auto",NA,NA,NA,NA,NA
"2","2021-03-01 16:20:06-03","UNICAMP","UEC","206525","S","Plantae","Liliopsida","Orchidaceae","Cattleya","virens","Cattleya virens","(Lindl.) Van den Berg","Nunes, CEP","2018","06","Nunes, CEP","2013/15","2013","06",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Trilha da Pirapitinga, Núcleo Santa Virgínia, Parque Estadual da Serra do Mar","-45.133333","-23.316667",NA,"80","1200","Erva epífita.; Floresta Ombrófila Densa Sub-Montana.","UEC097433",NA,"20","-45.133333","-23.316667","UEC097433",NA
"3","2020-12-11 11:44:24-03","UFMG","BHCB","73716","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Cattleya","virens","Cattleya virens","(Lindl.) Van den Berg",NA,NA,NA,"Viana, PL","684","2002","06","Southern America","Brasil","Minas Gerais","Nova Lima","Miguelão","-43.8466987609863","-19.9855995178223","29211","950","950","Erva epífita em mata ciliar. Planta coletada por morador da região que cultivou e cedeu este material. Flores amarelas e provavelmente cleistógamas.",NA,"auto","20",NA,NA,NA,NA
"4","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","19522",NA,"Plantae",NA,"Orchidaceae","Hadrolaelia","virens","Hadrolaelia virens","(Pabst) Chiron & V.P.Castro","M. V. S. Berger/08-08-2005",NA,NA,"M. V. S. Berger; et al","48","2003","01",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Pedra do Garrafão","-40.924167","-20.176944",NA,NA,NA,"Mata de topo, lado esquerdo, epífita, com fruto.","MBML019522",NA,"26","40W55'27","20S10'37",NA,NA
"5","2014-11-06 16:18:29-02","UFPB","EAN","3803","S","Plantae",NA,"Orchidaceae","Laelia","virens","Laelia virens","Lindl.","L. P. Felix & G. V. Dornelas","1987","10","L. P. Felix ; G. V. Dornelas","770","1987","09",NA,"Brasil","São Paulo",NA,"Serra da Cantareira",NA,NA,NA,NA,NA,"Herbácea; flores amarelas. Cedida por Vitorino - São Bernardo.Habitat: Epífita",NA,NA,"12",NA,NA,NA,"02"
"6","2019-11-21 10:13:29-03","IBt","SP","25336","S","Plantae",NA,"Orchidaceae","Hadrolaelia","virens","Hadrolaelia virens","(Lindl.) Chiron & V.P.Castro","Mamede, MCH","2011","03","Zimmermann, E","s.n.","1930","06",NA,"Desconhecido",NA,NA,"Sem notas de localidade",NA,NA,NA,NA,NA,NA,NA,NA,"28",NA,NA,NA,"15"
"7","2019-11-21 10:13:29-03","IBt","SP","27965","S","Plantae",NA,"Orchidaceae","Hadrolaelia","virens","Hadrolaelia virens","(Lindl.) Chiron & V.P.Castro","Mamede, MCH","2011","03","Holmes, CM","s.n.","1931","07",NA,"Desconhecido",NA,NA,"Sem indicação de procedência",NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,"15"
"8","2019-11-21 10:13:29-03","IBt","SP","45814","S","Plantae",NA,"Orchidaceae","Hadrolaelia","virens","Hadrolaelia virens","(Lindl.) Chiron & V.P.Castro","Mamede, MCH","2011","03","Badine, J","s.n.","1941","05",NA,"Brasil","Minas Gerais","Ouro Branco","Serra do Ouro Branco","-43.6918983459473","-20.5207996368408","13809",NA,NA,NA,NA,"auto",NA,NA,NA,NA,"15"
