"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","recordNumber","year","month","day","locality","barcode","imagecode","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","class","order","continentOcean","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"1","2016-07-05 11:14:14-03","FFCLRP","LBMBP","305","S","Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","E.R. Pansarin","E.R. Pansarin","Brasil","Espírito Santo","Santa Teresa","-40.6","-19.933333","40°36'W","19°56'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-07-05 11:14:14-03","FFCLRP","LBMBP","901","S","Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","E.R. Pansarin",NA,"Brasil","Espírito Santo","Serra","-40.3","-20.116667","40°18'W","20°07'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-04-27 16:10:56-03","UFES","VIES","24750","S","Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","Wandekoken, D.T.","Wandekoken, D.T.; Ruschi, G.G.; Oliveira Filho, N.E.; Ferreira, J.A.","Brasil","Espírito Santo","Aracruz","-40.140556","-19.970556","40º8'26''W","19º58'14''S","2018","04","23","269","2018","04","01","Santa Cruz. Estação Biológica Marinha Augusto Ruschi","VIES024750","VIES024750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-11 17:20:54-03","UFPR","UPCB","90086","PreservedSpecimen","Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","Petini-Benelli, A.","Alves, W.M.","Brasil","Espírito Santo","Município de Serra","-40.2833","-20.0833","-40.2833","-20.0833","2017","01","28","201","2017","01","28",NA,"UPCB0028494","UPCB0028494","Hábito: Erva epífita; Habitat: Floresta Ombrófila. Flores não ressupinadas. Flores masculinas em solução (SPIRIT 201). Tépalas verdes; labelo verde-oliva com margens marrom-escuro..",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","33393",NA,"Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","G.B. Bortolan/Jan.-2020","R.R. Vervloet","Brasil","Espírito Santo","Santa Leopoldina","-40.5297012329102","-20.1005992889404",NA,NA,NA,NA,NA,"2986","2007","07","19","Fazenda Caioaba","MBML033393","MBML033393","Epífita, flores com sépalas vináceas esverdeadas, pétalas amareladas com máculas vinho, labelo amarelo com mácula vinho. Em cultivo Casa das Epífitas no MBML. Herborizada em 26/02/2008.","23799","auto",NA,NA,NA,NA,NA,NA,NA
"6","2014-11-06 16:18:18-02","UFPB","EAN","5063","S","Plantae","Orchidaceae","Catasetum","matosianum","Catasetum matosianum","Bicalho","L. P. Felix","L. P. Felix ; G. V. Dornelas","Brasil","Bahia","Cruz das Almas","-39.1019","-12.67",NA,NA,"1989","04","10","1912","1989","04","10",NA,NA,NA,"Herbácea; flores verde-claro-amarelada. Doada por orquidófilo na 3ª exposição Campinense de orquideas..Habitat: Epífita","14660","auto",NA,NA,NA,NA,NA,NA,NA
"7","2021-02-25 10:11:24-03","CVRD","CVRD","6047","PreservedSpecimen","Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","Claudio Nicoletti Fraga","Folli, D.A.","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"2006","05","18","3292","1998","11","24",NA,"CVRD006047","CVRD006047","<ll>dwc_commonname:</ll> Orquídea boca preta","48094","auto","Magnoliophyta","Liliopsida","Asparagales","América do Sul",NA,NA,NA
"8","2021-02-25 10:11:24-03","CVRD","CVRD","3726","PreservedSpecimen","Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","Claudio Nicoletti Fraga","Folli, D.A.","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"2006","05","18","1577","1992","01","29",NA,"CVRD003726",NA,"<ll>dwc_commonname:</ll> Orquídea boca preta","48094","auto","Magnoliophyta","Liliopsida","Asparagales","América do Sul",NA,NA,NA
"9","2021-02-25 10:11:24-03","CVRD","CVRD","5644","PreservedSpecimen","Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","Claudio Nicoletti Fraga","Folli, D.A.","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"2006","05","18","2947","1997","03","04",NA,"CVRD005644",NA,"<ll>dwc_commonname:</ll> Orquídea boca preta","48094","auto","Magnoliophyta","Liliopsida","Asparagales","América do Sul",NA,NA,NA
"10","2021-02-25 10:11:24-03","CVRD","CVRD","4233","PreservedSpecimen","Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","Claudio Nicoletti Fraga","Folli, D.A.","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"2006","05","18","1797","1993","01","26","Erva epífita.","CVRD004233",NA,"<ll>dwc_commonname:</ll> Orquídea boca preta","48094","auto","Magnoliophyta","Liliopsida","Asparagales","América do Sul",NA,NA,NA
"11","2018-02-26 18:32:29-03","UFMT","UFMT","41408","S","Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","Petini-Benelli, A.","Petini-Benelli, A.","Brasil","Espírito Santo",NA,"-40.325278","-20.158333","-40.325278","-20.158333","2014","06","06","ADA195","2014","04","06","Município da Serra. Ex hort. Wender Motta Alves. Sob cultivo desde 10-08-2013.","UFMT00041408",NA,"Erva epífita. Flores em solução: SPIRIT ADA 0195; Flores não-ressupinadas. Tépalas verdes. Labelo elmiforme verde com grandes manchas marrom-escuro na porção ventral.; Restinga; região serrana.",NA,NA,NA,NA,NA,NA,"317","317",NA
"12","2015-05-18 16:48:23-03","UFMT","UFMT","42494","S","Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","Petini-Benelli, A.","Alves, W.M.","Brasil","Espírito Santo","Serra","-40.3078002929688","-20.1285991668701",NA,NA,"2015","01","31","ADA204","2015","01","31","Ex. hort. Wender Motta Alves.",NA,NA,"Flores não-ressupinadas. Flores em solução (SPIRIT 204), tépalas verdes internamente pintalgadas de marrons-avermelhado, labelo elmiforme verde internamente marrom.; Restinga.","16451","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-05-15 16:45:15-03","UFMT","CNMT","6815","S","Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","Petini-Benelli, A.","Lopes, R.S.","Brasil","Espírito Santo","Jaguaré","-40.076099395752","-18.9055995941162",NA,NA,"2015","04","04","17","2015","04","04","Caximbal","CNMT006815",NA,"Flores não ressupinadas.Flores (masculinas )em solução(SPIRIT017).Tepalas verdes maculadas de marrom; labelo elmiforme verde com espesas máculas acobreadas.Projeto: Filogenia de Catasetum L.C.Rich. Ex Kunth (Orchidaceae) e monografia","43085","auto","Angiosperma",NA,NA,NA,NA,NA,NA
"14","2019-11-21 10:12:59-03","IBt","SP","100023","S","Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","Bicalho, HD","Bicalho, HD","Brasil","Espírito Santo","Conceição da Barra","-39.7322006225586","-18.5932998657227",NA,NA,"1973","04","02","50","1965","03","18","Entre Morro D'Anta e Santa Ana",NA,NA,NA,"41644","auto",NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 10:12:59-03","IBt","SP","118614","S","Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","Bicalho, HD","Bicalho, HD","Brasil","Espírito Santo","Conceição da Barra","-39.7322006225586","-18.5932998657227",NA,NA,"1973","07","26","95","1966","01","11","Entre Morro D'Anta e Santa Ana",NA,NA,NA,"41644","auto",NA,NA,NA,NA,NA,NA,NA
"16","2019-11-21 10:12:59-03","IBt","SP","100024","S","Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","Bicalho, HD","Bicalho, HD","Brasil","Espírito Santo","Conceição da Barra","-39.7322006225586","-18.5932998657227",NA,NA,"1973","04","02","51","1965","03","19","Entre Morro D'Anta e Santa Ana",NA,NA,NA,"41644","auto",NA,NA,NA,NA,NA,NA,NA
"17","2019-11-21 10:12:59-03","IBt","SP","100030","S","Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","Bicalho, HD","Bicalho, HD","Brasil","Espírito Santo","Conceição da Barra","-39.7322006225586","-18.5932998657227",NA,NA,"1973","04","24","55","1965","03","19","Entre Morro D'Anta e Santa Ana",NA,NA,NA,"41644","auto",NA,NA,NA,NA,NA,NA,NA
"18","2019-11-21 10:12:59-03","IBt","SP","100032","S","Plantae","Orchidaceae","Catasetum","mattosianum","Catasetum mattosianum","Bicalho","Bicalho, HD","Bicalho, HD","Brasil","Espírito Santo","Conceição da Barra","-39.7322006225586","-18.5932998657227",NA,NA,"1973","04","02","57","1965","03","23","Entre Morro D'Anta e Santa Ana",NA,NA,NA,"41644","auto",NA,NA,NA,NA,NA,NA,NA
