"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","663564","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Pisonia","aculeata","Pisonia aculeata","L.","A. Dugand","R. Romero-Castañeda","9679","1963","04","20","South America","Colombia","Antioquia","Bolívar","Alrededores de Sincé","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478207' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00859266","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Pisonia","aculeata","Pisonia aculeata","L.","S. F. Smith","R. D. Macedo","51","2002","05","12","South America","Brazil","Minas Gerais","Campina Verde","Mata do Bom Jardim. Campina Verde.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859266","-49.4864","-19.5358","NY00859266_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","663566","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Pisonia","aculeata","Pisonia aculeata","L.","G. A. Aymard Corredor","A. Fernandez","6547","1990","01",NA,"South America","Venezuela","Amazonas","Mun. Atabapo","Río Ocamo, alrededor del raudal Arata","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663566","-67.48","3.05",NA,"270","270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 13:47:00-03","NY","NYBG","663567","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Pisonia","aculeata","Pisonia aculeata",NA,NA,"F. O. Zuloaga","5698","1996","04","21","South America","Argentina","Misiones","San Ignacio","Parque Provincial Teyucuaré","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663567","-55.55","-27.27",NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1016820","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Pisonia","aculeata","Pisonia aculeata","L.","A. Furlan","J. M. Silva","2965","1999","06","15","South America","Brazil","Paraná","Capitão Leônidas Marques","Fazenda Deni Schwartz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193482' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016820","-53.6142","-25.4794","NY01016820_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","663560","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Pisonia","aculeata","Pisonia aculeata","L.","J. G. Kuhlmann","J. G. Kuhlmann",NA,NA,NA,NA,"South America","Brazil",NA,NA,"Distrito Federal, Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","342111","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Pisonia","aculeata","Pisonia aculeata inermis","Kuntze",NA,"C. E. O. Kuntze","s.n.","1892","05",NA,"South America","Bolivia","Santa Cruz",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=618276' target='other'> <mi>dwc_moreinfo</mi></a>","NY00342111",NA,NA,"NY00342111_01",NA,NA,"inermis","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","342112","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Pisonia","aculeata","Pisonia aculeata pedicellaris","Griseb.",NA,"E. Hassler","772","1885",NA,NA,"South America","Paraguay",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=44126' target='other'> <mi>dwc_moreinfo</mi></a>","NY00342112",NA,NA,"NY00342112_01",NA,NA,"pedicellaris","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","663561","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Pisonia","aculeata","Pisonia aculeata","L.","L. B. Smith","L. B. Smith","12990","1964","11","07","South America","Brazil","Santa Catarina","Catanduvas","East of Catanduvas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478208' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663561","-51.75","-27.05","NY00663561_01","700","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","663559","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Pisonia","aculeata","Pisonia aculeata","L.","C. Farney","J. C. Gomes","290","1962","07","20","South America","Brazil","Paraná","Lobato","Lobato, Fazenda Remanso, Irmaos Ferraz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478205' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663559","-51.9506","-23.0083","NY00663559_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-27 15:21:00-03","NY","NYBG","342110","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Pisonia","aculeata","Pisonia aculeata guaranitica","Chodat",NA,"E. Hassler","8615","1905","01",NA,"South America","Paraguay",NA,NA,"In regione collium: Cordillera de Villa-Rica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=593448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00342110",NA,NA,"NY00342110_01",NA,NA,"guaranitica","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","663563","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Pisonia","aculeata","Pisonia aculeata","L.","A. E. Burkart","A. L. Woolston","694","1956","06","27","South America","Paraguay","Alto Paraguay","San Pedro","Primavera","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","663562","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Pisonia","aculeata","Pisonia aculeata","L.","C. Farney","A. P. Duarte","1766","1949","05","12","South America","Brazil","Paraná",NA,"Parque Nacional de Iguassú, Estrada do Salto","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=478206' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663562",NA,NA,"NY00663562_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
