"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","class","infraspecificEpithet","typeStatus","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1552478","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","sphenophylla","Eugenia sphenophylla","O.Berg","M. L. Kawasaki","W. W. Thomas","4869","1985","11","23","South America","Brazil","Minas Gerais","Diamantina","Along road to Sao Joao da Chapada, 17 km NW of junction with road from Curvelo to Diamantina","-43.75","-18.13","1180","1180","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1947602' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552478","NY01552478_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2423028","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","sphenophylla","Eugenia sphenophylla","O.Berg","J. E. Q. de Faria","R. Marquete","4122","2007","10","17","South America","Brazil","Rio de Janeiro","Rio das Ostras","Arie de Itapebussus, trilha proximo à praia, área após o brejo seco, na orla da mata","-41.8758","-22.4825",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2679968' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423028","NY02423028_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:45:53-03","EAO","IAN","26462","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","sphenophylla","Eugenia sphenophylla","Berg",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN026462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:21:17-03","UFBA","ALCB","129007","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","sphenophylla","Eugenia sphenophylla","O.Berg","Faria, JEQ","Faria, JEQ","6322","2016","07","17","Southern America","Brasil","Minas Gerais","Itamonte","Margem da estrada de terra de após o bairro rural de Colina.","-44.765278","-22.292222","1776","1776",NA,"Cerca de 2,6 m de altura, frutos imaturos verdes; Floresta ombrófila antropizada","ALCB046612","ALCB046612","2016","07","-44.765278","-22.292222",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:21:17-03","UFBA","ALCB","129033","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","sphenophylla","Eugenia sphenophylla","O.Berg","Faria, JEG","Faria, JEQ","6360","2016","07","19","Southern America","Brasil","Minas Gerais","Caeté","Estrada de terra saindo do distrito de Roças Novas chegando no hotel Tauá.","-43.633889","-19.7675","1106","1106",NA,"ca 8 m de altura, frutos imaturos verdes; Floresta estacional semidecidual","ALCB046543","ALCB046543","2016","07","-43.633889","-19.7675",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:14:41-03","ESALQ","ESA","36392","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","sphenophylla","Eugenia sphenophylla","O.Berg",NA,"Romero, R. et al.","443.0","1991","12","03",NA,"Brasil","São Paulo","Capão Bonito",NA,"-48.3400001525879","-24",NA,NA,NA,NA,"ESA036392","ESA036392",NA,NA,NA,NA,"39505","auto",NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:14:41-03","ESALQ","ESA","31898","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","sphenophylla","Eugenia sphenophylla","O.Berg","Mazine, F.F.","Souza, V.C.; Rodrigues, R.R.; Souza, J.P.; Sanches, I.D.; Astorino, A.; Magossi, R.; Petrini, M.; Tavares Jr., J.E.","11253.0","1996","06","01",NA,"Brasil","São Paulo","Nazaré Paulista",NA,"-46.3899993896484","-23.1800003051758",NA,NA,NA,NA,"ESA031898","ESA031898",NA,NA,NA,NA,"18850","auto",NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:14:41-03","ESALQ","ESA","14875","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","sphenophylla","Eugenia sphenophylla","O.Berg","Mazine, F.F.","Barreto, K.D. et al.","719.0","1993","06","15",NA,"Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,"ESA014875",NA,NA,NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:14:41-03","ESALQ","ESA","36418","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","sphenophylla","Eugenia sphenophylla","O.Berg","Mazine, F.F.","Zipparro, V.B.","1490.0","1996","04","05",NA,"Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,NA,NA,"ESA036418","ESA036418",NA,NA,NA,NA,"34059","auto",NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:14:41-03","ESALQ","ESA","82803","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","sphenophylla","Eugenia sphenophylla","O.Berg","Sobral, M.","Assis, L.C. ; Magalhães, M.S.","405.0","2001","12","15",NA,"Brasil","Minas Gerais","Barroso",NA,"-43.9757995605469","-21.1868991851807",NA,NA,NA,NA,"ESA082803","ESA082803",NA,NA,NA,NA,"7934","auto",NA,NA,NA,NA,NA,NA
