"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","fieldNumber","preparationType","individualCount","minimumElevationInMeters","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters"
"1","2020-02-08 10:16:03-03","NBC","NL-BOTANY","L.1212418","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Parodi","Fiebrig K","1903","12","01","Southern America","Bolivia","Toldos bei Bermejo. [!].","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1212418 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1212418","NL-L1212418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:16:03-03","NBC","NL-BOTANY","L.1212419","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Parodi","Fiebrig K","1903","12","01","Southern America","Bolivia","Toldos bei Bermejo. [!].","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1212419 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1212419","NL-L1212419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:16:03-03","NBC","NL-BOTANY","L.1212420","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Parodi","Balansa B","1874","09","22","Southern America","Paraguay","Prairies humides de Capistindu, á l'Est de la cardillere de Villa - Rico. [!].","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1212420 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1212420","NL-L1212420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:16:03-03","NBC","NL-BOTANY","L.1212421","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Parodi","Balansa B","1874","09","24","Southern America","Paraguay","Pastoréo- mi, á l'Est de la cardillere de Villa - Rico. ! les Prairies marécageuses.[!].","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1212421 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1212421","NL-L1212421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:16:03-03","NBC","NL-BOTANY","U.1485707","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Gramineae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Parodi","Fiebrig K","1903","12","01","Southern America","Bolivia","Toldos bei Bermejo. [!].","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1485707 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1485707","NL-U1485707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:01:06-03","UNICAMP","UEC","29856","S","Plantae",NA,NA,"Poaceae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Mez","Leitão Filho, HF; Shepherd, GJ; Yamamoto, K; Joly, CA","1982","11","30",NA,"Brazil","Campo do Saco","Erva cespitosa 0,70m, em locais mais úmidos.","UEC048661","UEC048661","Liliopsida","Pereira, SC","1983","1735","Minas Gerais","Poços de Caldas","-46.5614013671875","-21.7877998352051","23696","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:01:06-03","UNICAMP","UEC","42881","S","Plantae",NA,NA,"Poaceae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Mez","Filgueiras, TS","1982","11","29",NA,"Brazil","Campo do Saco, Brejo.","Planta de folhas glabras, macias ao tato. Inflorescências roxa. Ocasional","UEC048662","UEC048662","Liliopsida","Pereira, SC","1983","1052","Minas Gerais","Poços de Caldas","-46.5614013671875","-21.7877998352051","23696","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-10-28 10:17:25-02","MNHN","RECOLNAT_MNHN_P","P00753076","PreservedSpecimen",NA,NA,NA,"Poaceae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Mez","Balansa, B.","1874","9","22",NA,"Paraguay","Prairies humides de Capitindu, à l'Est de la Cordillère de Villa-Rico","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753076' target='other'> <mi>dwc_moreinfo</mi></a>","P00753076","P00753076_01",NA,"Chase",NA,NA,NA,NA,NA,NA,NA,NA,"type","36","hb",NA,NA,NA,NA,NA,NA,NA
"9","2013-04-03 13:42:00-03","MO","MOBOT","1920055","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Parodi","J.R.I. Wood","1994","9","11","South America","Bolivia","Samaipata",NA,NA,NA,NA,NA,NA,"Wood 8629","Santa Cruz","Florida","-63.86666","-18.15",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","1956458","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Parodi","Karl Fiebrig","1903","12",NA,"South America","Bolivia","Toldos bei Bermejo",NA,NA,NA,NA,NA,NA,"Fiebrig 2381","Tarija",NA,"-64.7","-22.166667",NA,NA,"Holotype",NA,NA,NA,"2200.00000000",NA,NA,NA,NA,NA
"11","2008-05-27 22:02:00-03","MO","MOBOT","226104","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Parodi","Howard S. Irwin|et al.","1965","9","26","South America","Brazil","Corrego do Gama.",NA,NA,NA,NA,NA,NA,"Irwin 8697","Distrito Federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2011-02-26 17:14:00-03","MO","MOBOT","226138","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Parodi","Tarciso S. Filgueiras","1982","11","29","South America","Brazil","Mpio. Pocos de Caldas, Campo do Saco.",NA,NA,NA,NA,NA,NA,"Filgueiras 1052","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","226147","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Parodi","LEITAO","1982","11","30","South America","Brazil","Mpio. Pocos de Caldas, Campo do Saco.",NA,NA,NA,NA,NA,NA,"LEITAO 1735","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","226159","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Parodi","Margarete Emmerich|A. Andrade","1960","9","18","South America","Brazil","Mpio. Pocos de Caldas, Morro do Ferro.",NA,NA,NA,NA,NA,NA,"Emmerich 2160","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-07-06 16:08:00-03","MO","MOBOT","2290690","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Parodi","Angel L. Cabrera|Silvia M. Botta|Norma B. Deginani|Fernando O. Zuloaga","1981","5",NA,"South America","Argentina","Sierra de Zapla. mina 9 de Octubre, subida a la antena",NA,NA,NA,NA,"Zuloaga, F. O.",NA,"Cabrera 32666","Jujuy","Capital",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"16","2009-08-21 07:03:00-03","MO","MOBOT","2518176","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Parodi","Émile Hassler",NA,NA,NA,"South America","Paraguay","In regione calcarea cursus superioris fluminis Apa",NA,NA,NA,NA,"Morrone, O.",NA,"Hassler 11925","Amambay",NA,"-56.48333","-22.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","3375096","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Parodi","Ariel Lliully","2005","12","26","South America","Bolivia","Pastizales abiertos bajando de la laguna. Pastizal bajo con escasos árboles de Prosopis sp., Anadenanthera colubrina, Pterogyne nitens y Acacia tucumanensis. Borde de camino con área muy impactada por chqueos antiguos.",NA,NA,NA,NA,"A. Lliully (HSB)",NA,"Lliully 553","Chuquisaca","Hernando Siles","-64.04194","-20.32916",NA,NA,NA,NA,NA,NA,"1854.00000000",NA,NA,NA,NA,NA
"18","2021-03-04 11:06:08-03","UFRB","HURB","1992","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Parodi","Leitão Filho, H.F.; et al.","1982","11","30",NA,"Brasil","Campo do Saco;","em locais mais úmidos.","HURB000001992","HURB000001992",NA,"C.Silva","2017","1735","Minas Gerais","Poços de Caldas","-46.564722","-21.838889",NA,NA,NA,NA,NA,NA,NA,"04","12","46°33'53W","21°50'20S",NA
"19","2017-11-24 14:11:59-02","UFLA","ESAL","2376","S","Plantae",NA,NA,"Poaceae","Anthaenantiopsis","fiebrigii","Anthaenantiopsis fiebrigii","Parodi","T. S. Filgueiras",NA,NA,NA,NA,"Brasil","Campo do Saco","; ; ;",NA,NA,NA,"T. S. Filgueiras",NA,"1.052","Minas Gerais","Poços de Caldas","-46.5614013671875","-21.7877998352051","23696","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
