"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","stateProvince","relatedCatalogItem","month","day","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","626480","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Salacia","arborea","Salacia arborea","(Leandro) Peyr.","J. P. Hedin","G. Gardner","745","1838","South America","Brazil","Ad montes Serra dos Orgaos.","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=169835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","626483","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Salacia","arborea","Salacia arborea","(Leandro) Peyr.","J. P. Hedin","L. Riedel","1086",NA,"South America","Brazil","Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=169837' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","626481","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Salacia","arborea","Salacia arborea","(Leandro) Peyr.","J. P. Hedin","G. Gardner","745","1838","South America","Brazil","Ad montes Serra dos Orgaos.","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=169836' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","626482","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Salacia","arborea","Salacia arborea","(Leandro) Peyr.","J. P. Hedin","Wilkes Expedition","s.n.","1838","South America","Brazil","Near Rio de Janeiro.","-43.448386","-22.913514","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=169838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626482","NY00626482_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:37:48-03","EAO","IAN","21382","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Celastraceae","Salacia","arborea","Salacia arborea","Peyr.",NA,"Sellow, F","s.n.",NA,"Southern America","Brasil",NA,NA,NA,NA,NA,"IAN021382","IAN021382_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:57:59-03","NBC","NL-BOTANY","L 0329750","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi JA","Martius CFP von",NA,NA,"Southern America","Brazil","Brasilia, Rio d. Janeiro: dr Martius",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200329750 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0329750","NL-L0329750","Magnoliopsidae","1998","11","01","isotype","Rio de Janeiro","899175298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:57:59-03","NBC","NL-BOTANY","L.2276581","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi JA","Riedel L",NA,NA,"Southern America","Brazil","Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2276581 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2276581","NL-L2276581","Magnoliopsidae","1998","08","01",NA,NA,"L 0826044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:57:59-03","NBC","NL-BOTANY","L.2276582","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.","Lombardi JA","Vincent; Herb Alleizette AC d'",NA,"1910","Southern America","Brazil","Brésil, Minas Gerais, Rio Pardo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2276582 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2276582","NL-L2276582","Magnoliopsidae","1998","10","01",NA,"Minas Gerais","L 0826043","11","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:57:59-03","NBC","NL-BOTANY","U.1196714","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Salacia","arborea","Salacia arborea","(Schrank) Peyr.",NA,"Gardner M",NA,"1838","Southern America","Brazil","Pernambouc et Serra das Orgas.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1196714 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1196714","NL-U1196714","Magnoliopsidae",NA,NA,NA,NA,NA,NA,"01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:04:44-03","ESALQ","ESA","52734","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Celastraceae","Salacia","arborea","Salacia arborea",NA,"Lombardi, J.A.","Souza, V.C. ; Caliari, C.P.","32486.0","2006",NA,"Brasil","Estrada entre Marataízes e Piúma. Floresta de restinga ao lado da área da marinha.","-40.7219009399414","-20.8377990722656",NA,"Liana lenhosa; flores verde-amareladas.","ESA052734","ESA052734",NA,NA,NA,NA,NA,"Espírito Santo",NA,"11","29","Piúma","11958","auto",NA,NA,NA,NA,NA,NA,NA
