"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class","individualCount","relatedCatalogItem","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","400427","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","regnellii","Vriesea regnellii","Mez","R. L. de Moura","M. Kuhlmann","409","1943","03","27","South America","Brazil","São Paulo","Amparo","Amparo, Monte Alegre. Imediaçoes da cachoeira","-46.7597","-22.7003","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=288145' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400427","NY00400427_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","400427","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","regnellii","Vriesea regnellii","Mez","R. L. de Moura","M. Kuhlmann","409","1943","03","27","South America","Brazil","São Paulo","Amparo","Amparo, Monte Alegre. Imediaçoes da cachoeira","-46.7597","-22.7003","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=288145' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400427","NY00400427_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-07 08:35:27-03","MN","R","218699","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","regnellii","Vriesea regnellii","Mez","Moura, R.","Moura, R.","972","2010","09","25",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande",NA,"-23.154747",NA,NA,NA,NA,"2012","11","12","44°11'46.62O","23°9'17.09S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-07 08:35:27-03","MN","R","218911","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","regnellii","Vriesea regnellii","Mez","Moura, R.","Kuhlmann, M.","409","1943","03","27",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,"R010016846",NA,"2010","10","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-07 08:35:27-03","MN","R","214817","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","regnellii","Vriesea regnellii","Mez",NA,"Rosa, A.M.","189","2009","12","17",NA,"Brasil","Minas Gerais","Caldas",NA,"-46.386100769043","-21.9235992431641",NA,NA,"R010018828",NA,NA,NA,NA,NA,NA,"25710","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-07 08:35:27-03","MN","R","214711","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","regnellii","Vriesea regnellii","Mez",NA,"Moura, R.","931","2009","05","12",NA,"Brasil","Minas Gerais","Juiz de Fora",NA,"-43.3502998352051","-21.7642002105713",NA,NA,"R010018831",NA,NA,NA,NA,NA,NA,"36144","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-07 08:35:27-03","MN","R","218908","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","regnellii","Vriesea regnellii","Mez","Moura, R.","Moura, R.","780","2009","07","29",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande","-44.3180999755859","-23.0067005157471",NA,NA,"R010046306",NA,"2012","12","06",NA,NA,"32988","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-07 08:35:27-03","MN","R","218700","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","regnellii","Vriesea regnellii","Mez","Moura, R.","Moura, R.","781","2009","07","29",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande","-44.3180999755859","-23.0067005157471",NA,NA,NA,NA,"2012","06","12",NA,NA,"32988","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-07 08:35:27-03","MN","R","218698","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","regnellii","Vriesea regnellii","Mez","Moura, R.","Moura, R.","782","2009","07","29",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande","-44.3180999755859","-23.0067005157471",NA,NA,NA,NA,"2012","12","06",NA,NA,"32988","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-07 08:35:27-03","MN","R","218699","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","regnellii","Vriesea regnellii","Mez","Moura, R.","Moura, R.","972","2010","09","25",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande",NA,"-23.154747",NA,NA,NA,NA,"2012","11","12","44°11'46.62O","23°9'17.09S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
