"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","relatedCatalogItem","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00932405","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","schinifolia","Inga schinifolia","Benth.","R. C. Barneby; J. W. Grimes","A. F. M. Glaziou","s.n.","1884","02","14","South America","Brazil","Minas Gerais","Ouro Preto","Itacolumí","-43.5081","-20.2878","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005622' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932405","NY00932405_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:40:00-03","EAO","IAN","157711","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Inga","schinifolia","Inga schinifolia","Benth.","Rodrigues, WA","sc","9865",NA,NA,NA,"Southern America","Brasil",NA,NA,"Procedência Herbário Damasio",NA,NA,NA,NA,"IAN157711",NA,"1979","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:40:00-03","EAO","IAN","69189","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Inga","schinifolia","Inga schinifolia","Benth.","Rodrigues, IA","Black, GA","5111356","1951","02","10","Southern America","Brasil","Goiás","Brasília","Distrito Federal, Serra do Pao de Acucar.",NA,NA,NA,"Arbusto.","IAN069189",NA,"1980","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:40:00-03","EAO","IAN","93806","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Inga","schinifolia","Inga schinifolia","Benth.",NA,"Glaziou, AFM","s.n.",NA,NA,NA,"Southern America","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"IAN093806",NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:17:28-03","UFV","VIC","20963","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","schinifolia","Inga schinifolia","Benth.",NA,"Lima, L.C.P.; Garcia, F.C.P.","391","2005","06","15",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi (PEI), Área de mata.","-43.5080986022949","-20.2875003814697",NA,"Arvoreta, c.a. de 3,0 metros de altura. Material estéril.","VIC020963","VIC020963",NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:17:28-03","UFV","VIC","32458","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","schinifolia","Inga schinifolia","Benth.","Messias, M.C.T.B.","Messias, M.C.T.B.","272","1999","10","18",NA,"Brasil","Minas Gerais","Ouro Preto","Serra da Brígida, Cachoeira das Andorinhas.","-43.5080986022949","-20.2875003814697",NA,"Vagens amarelas. Sementes com sarcotista.","VIC032458","VIC032458","1999","10","44599","auto","25",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:17:28-03","UFV","VIC","19297","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","schinifolia","Inga schinifolia","Benth.","Fernandes, J.M.","Silva, A.F. da","2473","2006","02","15",NA,"Brasil","Minas Gerais","Araponga","Parque Estadual Serra do Brigadeiro (PESB), Fazenda da Neblina, na Mata da Trilha do Moinho.","-42.5208015441895","-20.6667003631592",NA,"Arvoreta perfilhada, c.a. de 3,5 metros de altura; botões florais verdes; frutos maduros secos.","VIC019297","VIC019297","2011","05","16385","auto","17",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:17:28-03","UFV","VIC","34854","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","schinifolia","Inga schinifolia","Benth.","Fernandes, J.M.","Fernandes, J.M.","922","2009","01","15",NA,"Brasil","Minas Gerais","Araponga","Parque Estadual Serra do Brigadeiro (PESB), Floresta Estacional Semidecidual.","-42.5208015441895","-20.6667003631592",NA,"Árvore, c.a. de 4,0 metros de altura; inflorescência apenas com botões.","VIC034854","VIC034854","2009","01","16385","auto","15",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:17:28-03","UFV","VIC","37601","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","schinifolia","Inga schinifolia","Benth.","Siqueira, L.C. de","Siqueira, L.C. de; Tinti, B.V.; Bessa, J.","607","2011","07","26",NA,"Brasil","Minas Gerais","Araponga","Parque Estadual Serra do Brigadeiro (PESB), Pedra do Pato.","-42.5208015441895","-20.6667003631592",NA,"Coleta realizada na segunda parcela fitossociológica do trabalho de dissertação do Tinti. Mata de encosta. Floresta Montana. Presença de frutos verdes.","VIC037601",NA,"2012","05","16385","auto","18",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:17:28-03","UFV","VIC","30500","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","schinifolia","Inga schinifolia","Benth.","Valente, G.E.","Valente, G.E.","1775","2005","10","19",NA,"Brasil","Minas Gerais","Araponga","Parque Estadual Serra do Brigadeiro (PESB), Serra das Cabeças; Totem Deitado.","-42.5208015441895","-20.6667003631592",NA,"Planta com cerca de 5,0 metros de altura, em escrube no platô do Totem Deitado. Folha de raque canaliculada na face adaxial. Com frutos verdes bem desenvolvidos e amarelos quando maduros, variando o tamanho de 8 a 19 cm.","VIC030500","VIC030500 VIC030500_1","2005","10","16385","auto","19",NA,NA,NA,NA,NA,NA,NA
