"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","408491","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.","T. D. Pennington","S. A. Mori","10713","1978","09","19","South America","Brazil","Bahia","Itamarajú","Fazenda Pau-brasil, ca. 5 km a NW de Itamarajú. Folha SE - 24 (17-40d)","-39.5676631","-16.9808834","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=184743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408491","NY00408491_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 10:56:11-03","ESALQ","ESA","137012","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","Penn.","T.B. Flores","V. Demuner","4161.0","2007","05","31",NA,"Brasil","Espírito Santo","Santa Leopoldina","Bruna","-40.5297012329102","-20.1005992889404",NA,NA,"ESA137012",NA,"2014","23799","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-15 09:04:03-03","UESC","UESC","23993","S","Plantae","Angiospermae","Florideophycidae","Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.",NA,"João Ricardo,","4","2018","07","24",NA,"Brasil","Bahia","Ilhéus",NA,"-39.025556","-14.847778",NA,"Árvore 5m.","UESC0023993",NA,NA,NA,NA,"Dicotyledoneae","39W1'32''","14S50'52''",NA,NA,NA,NA,NA
"4","2020-12-11 11:38:48-03","UFMG","BHCB","28845","PreservedSpecimen","Plantae","Dicotyledon",NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.",NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce","-42.7322006225586","-19.7122001647949",NA,NA,NA,NA,NA,"28215","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2018-10-30 15:23:00-03","MO","MOBOT","101079032","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D. Penn.",NA,"Talmon S. dos Santos","Santos 912",NA,NA,NA,"South America","Brazil","Bahia",NA,"Ennepolis, Itabela.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","1",NA,NA,NA
"6","2020-08-31 09:09:41-03","INPA","INPA","98628","S","Plantae","Dicotyledon Com-Clade","Sapindales","Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.","Pennington, TD","Mori, SA","10713","1978","09","19","Southern America","Brasil","Bahia","Itamarajú","Fazenda Pau-brasil ca. 5 Km a NW de Itamaraju","-39.5311012268066","-17.0391998291016",NA,NA,"INPA0098628","INPA0098628 INPA0098628_e INPA0098628_e1","1997","55932","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:47:40-03","MBML","MBML-HERBARIO","15013",NA,"Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.","T.B. Flores/2016","L. Kollmann; et al","4393","2001","08","29",NA,"Brasil","Espírito Santo","Santa Teresa","Rio Saltinho","-40.506944","-19.936111",NA,"Arvoreto 5m. Frutos marrons, interior vermelhos.","MBML015013","MBML015013",NA,NA,NA,NA,"40W30'25","19S56'10",NA,NA,NA,NA,NA
"8","2020-09-14 16:46:06-03","MBML","MBML-HERBARIO","21927",NA,"Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.","T.B. Flores/Dez.2016","A. M. Assis; et al","962","2003","07","16",NA,"Brasil","Espírito Santo","Santa Teresa","Margens do Rio Sta. Maria, Rio Doce","-40.732167","-19.93975",NA,"Arbusto, 3m alt. Flores brancas. Mata em bom estado de conservação (dossel de 10-15 m alt.) em uma grota próxima à cachoeira. Expedição Científica Comitê Bacia do Rio Sta Mª Rio Doce.","MBML021927","MBML021927",NA,NA,NA,NA,"40W43'55,8","19S56'23,1",NA,NA,NA,NA,NA
"9","2020-07-10 09:47:40-03","MBML","MBML-HERBARIO","27084",NA,"Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.","T.B. Flores/2016","V. Demuner; L.F.S Magnago, T. Cruz e Elias Bausen","2478","2006","06","08",NA,"Brasil","Espírito Santo","Águia Branca","Águas Claras, prop.: Zequinha","-40.812778","-18.871389",NA,"Arvoreta 5m, botões florais, flores brancas, frutos verdes. Fundo de vale.","MBML027084","MBML027084",NA,NA,NA,NA,"40W48'46","18S52'17",NA,NA,"400","400",NA
"10","2020-07-10 09:47:40-03","MBML","MBML-HERBARIO","28216",NA,"Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.","T.B. Flores/2016","R. C. Britto","83","2006","06","15",NA,"Brasil","Espírito Santo","Santa Teresa","Rio Saltinho","-40.506944","-19.936111",NA,"Arvoreto com 4m, flores amarelas com estames marrons.","MBML028216","MBML028216 MBML028216_1",NA,NA,NA,NA,"40W30'25","19S56'10",NA,NA,NA,NA,NA
"11","2020-07-10 09:47:40-03","MBML","MBML-HERBARIO","28480",NA,"Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.","T.B. Flores/Dez.2016","L. F. S. Magnago; V. Demuner, M. Belizário, E. Bausen","685","2006","02","21",NA,"Brasil","Espírito Santo","Governador Lindenberg","Alto Moacir, propr.: Vitório Salomão.","-40.541944","-19.311667",NA,"Arvoreta 6m de alt. Flores brancas. Mata em estágio de regeneração.","MBML028480",NA,NA,NA,NA,NA,"40W32'31","19S18'42",NA,NA,"350","350",NA
"12","2020-07-10 09:47:40-03","MBML","MBML-HERBARIO","28664",NA,"Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.","T.B. Flores/Dez.2016","L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen","788","2006","04","17",NA,"Brasil","Espírito Santo","Colatina","Alto Moacir, Pedra do Cruzeiro, propr.: Landislau.","-40.558611","-19.348056",NA,"Arbusto de 3m de alt. Botões florais brancos e folhas jovens vináceas. Solo raso, interior da mata.","MBML028664","MBML028664",NA,NA,NA,NA,"40W33'31","19S20'53",NA,NA,"150","150",NA
"13","2020-07-10 09:47:40-03","MBML","MBML-HERBARIO","30262",NA,"Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.","T.B. Flores/Dez.2016","V. Demuner; R. R. Vervloet, M. Belisario e Elias Bausen.","4161","2007","05","31",NA,"Brasil","Espírito Santo","Santa Leopoldina","Colina Verde (Morro do Agudo), propr.: Israel Elias Ramos (paredão das bananeiras, Pedra Aguda).","-40.436944","-20.0975",NA,"Arvoreta 7m botões florais flores brancas. Interior de mata.","MBML030262","MBML030262",NA,NA,NA,NA,"40W26'13","20S5'51",NA,NA,"250","250",NA
"14","2020-07-10 09:47:40-03","MBML","MBML-HERBARIO","30344",NA,"Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.","T.B. Flores/Dez.2016","V. Demuner; R. R. Vervloet, T. Cruz e Elias Bausen.","4270","2007","06","14",NA,"Brasil","Espírito Santo","Marilândia","Liberdade, propr.: Sônia (Reinaldo Bautz)","-40.535556","-19.335556",NA,"Arvoreta 7m, botões florais, flores amarelas. Subida da cachoeira.","MBML030344","MBML030344",NA,NA,NA,NA,"40W32'8","19S20'8",NA,NA,"400","400",NA
"15","2020-07-10 09:47:40-03","MBML","MBML-HERBARIO","30386",NA,"Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.","T.B. Flores/Dez.2016","A. M. Assis; K. F. O. Faria","1048","2004","04","24",NA,"Brasil","Espírito Santo","Águia Branca","Mata do Sr. Voiter, próximo ao centro da cidade","-40.740278","-18.983056",NA,"Arbusto de 2m, frutos esverdeados. Sub-bosque de mata ciliar preservada.","MBML030386","MBML030386",NA,NA,NA,NA,"40W44'25","18S58'59",NA,NA,"140","140",NA
"16","2020-07-10 09:47:40-03","MBML","MBML-HERBARIO","31008",NA,"Plantae",NA,NA,"Meliaceae","Trichilia","magnifoliola","Trichilia magnifoliola","T.D.Penn.","T.B. Flores/2016","R.R. Vervloet; V. Demuner, E. Bausen","3150","2007","08","02",NA,"Brasil","Espírito Santo","Governador Lindenberg","Santa Luzia. Firmino","-40.463333","-19.275833",NA,"Árvore 6m, flores de cor amarela.","MBML031008","MBML031008",NA,NA,NA,NA,"40W27'48","19S16'33",NA,NA,"350","350",NA
