"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","2283028","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Sagittaria","lancifolia","lancifolia","Sagittaria lancifolia lancifolia","L.","J. M. Pires","52461","1962","08","10","South America","Brazil","Amapá","Coastal Region. Lago Cujubim.","-50.97","1.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2458693' target='other'> <mi>dwc_moreinfo</mi></a>","NY02283028","NY02283028_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02283026","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Sagittaria","lancifolia","lancifolia","Sagittaria lancifolia lancifolia","L.","E. P. Killip","30629","1929","10","27","South America","Brazil","Pará",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2458691' target='other'> <mi>dwc_moreinfo</mi></a>","NY02283026","NY02283026_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","393816","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Sagittaria","lancifolia","lancifolia","Sagittaria lancifolia lancifolia","L.","C. Feddema","1991","1962","03","24","South America","Colombia","Antioquia","Swampy area on peninsula approx. 1 km. west of Turbo. elevation sea level","-76.72","8.08","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=279980' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393816",NA,"R. R. Haynes; L. B. Holm-Nielsen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","684488","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Sagittaria","lancifolia","lancifolia","Sagittaria lancifolia lancifolia","L.","A. M. V. de Carvalho","7216","2002","08","24","South America","Brazil","Bahia","Ca. 3 km na estrada Cuaibim/Valença (BA 887)","-38.9766667","-13.3658333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=826043' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684488","NY00684488_01",NA,"Valença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","393817","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Sagittaria","lancifolia","lancifolia","Sagittaria lancifolia lancifolia","L.","R. M. Harley","17998","1977","01","16","South America","Brazil","Bahia","On the coast road between Alcobaça and Prado 12 km. N. of Alcobaça. Alt ca. sea level","-39.22","-17.48","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=279981' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393817","NY00393817_01","R. R. Haynes; L. B. Holm-Nielsen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","393818","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Sagittaria","lancifolia","lancifolia","Sagittaria lancifolia lancifolia","L.","J. C. de Moraes Vasconcelos","2274","1959","10","18","South America","Brazil","Paraíba","Baía da Traiçao","-34.940962","-6.695913","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=279982' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393818","NY00393818_01","R. R. Haynes; L. B. Holm-Nielsen","Baía da Traiçao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2283027","PreservedSpecimen","Plantae","Magnoliophyta","Cornales","Alismataceae","Sagittaria","lancifolia","lancifolia","Sagittaria lancifolia lancifolia","L.","J. M. Pires","52461","1962","08","10","South America","Brazil","Amapá","Coastal Region. Lago Cujubim.","-50.97","1.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2458692' target='other'> <mi>dwc_moreinfo</mi></a>","NY02283027","NY02283027_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:28:42-03","UFRJ","RFA","36905","PreservedSpecimen","Plantae",NA,NA,"Alismataceae","Sagittaria","lancifolia",NA,"Sagittaria lancifolia","L.","V. Carnevale; Turma 2010/2 de vegetais superiores, Dept. Botânica, IB, UFRJ","1","2010","10","23",NA,"Brasil","Rio de Janeiro","Restinga de Jurubatiba, lagoa de Cabiúnas. Coletada a margem de uma lagoa","-41.7868995666504","-22.3708000183105",NA,"Erva, 1,80m de altura, aquática, parcialmente submersa e presa ao solo. Folha verde, herbácea. Flores vistosas, sem aroma, dióicas, actinomorfas, cálice verde, seco, trímero, corola branca, trimera, anteras amarelas, numerosas. fruto ve","RFA23613",NA,"O.Brancante e V. Carnevale","Macaé","2010","11","10","47209","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:28:42-03","UFRJ","RFA","21987","PreservedSpecimen","Plantae",NA,NA,"Alismataceae","Sagittaria","lancifolia","lancifolia","Sagittaria lancifolia lancifolia",NA,"A.A.M. Barros; K. Tanizaki; M.D. Senna 45","236","1987","11","30",NA,"Brasil","Rio de Janeiro","Barra de Maricá","-42.8185997009277","-22.9193992614746",NA,"Erva ca. 50 cm de altura. Flores brancas. frutos verdes. Frequente","RFA35273",NA,"A.A.M. Barros","Maricá",NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:28:42-03","UFRJ","RFA","34601","PreservedSpecimen","Plantae",NA,NA,"Alismataceae","Sagittaria","lancifolia",NA,"Sagittaria lancifolia","L.","A.C.M. Vieira","18","2008","10","14",NA,"Brasil","Rio de Janeiro","Itaipuaçu","-42.8185997009277","-22.9193992614746",NA,"Material com flores brancas e frutos. Erva rizomatosa","RFA35266",NA,NA,"Maricá",NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA,NA,NA,NA
