"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","occurrenceRemarks","barcode","imagecode","phylum","class","order","monthIdentified","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag"
"1","2020-12-21 16:32:55-03","MBM","MBM","85012","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","hatschbachii","Stigmaphyllon hatschbachii","C.E. Anderson","Anderson, C.","1993","HOLOTYPE","Hatschbach, G.; Guimarães, O.; Guimarães, O.","46863","1983","10","15","Southern America","Brazil","Minas Gerais","Realeza","Arredores.","Volúvel, flor amarela, orla da mata; Volúvel, flor amarela.; Orla de mata.","MBM085012","MBM085012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-07 09:32:11-03","UEFS","HUEFS","46944","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","hatschbachii","Stigmaphyllon hatschbachii","C.E.Anderson","R.F.Almeida","2014",NA,"Carvalho-Sobrinho, J.G.de","10","2000","07","27",NA,"Brasil","Bahia","Santa Terezinha","Serra da Jibóia, cerca de 4km W de Pedra Branca.","Mata Higrófila.","HUEFS0046944","HUEFS0046944","Angiospermae","Rosanae","Malpighiales","03","-39.475278","-12.253056","39W28'31''","12S15'11''","630","630",NA,NA
"3","2019-10-07 09:32:11-03","UEFS","HUEFS","163314","PreservedSpecimen","Plantae","Malpighiaceae","Stigmaphyllon","hatschbachii","Stigmaphyllon hatschbachii","C.E.Anderson","R.F.Almeida","2013",NA,"Moraes, P.L.R.de","2777","2009","08","16",NA,"Brasil","Bahia","Uruçuca","Serra do Conduru",NA,"HUEFS0163314","HUEFS0163314","Angiospermae","Rosanae","Malpighiales","11","-39.2844009399414","-14.5930995941162",NA,NA,NA,NA,"33791","auto"
