"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","class","order","relatedCatalogItem","infraspecificEpithet","coordinatePrecision","geoFlag","preparationType","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-10-09 11:22:45-03","UFBA","ALCB","134430","PreservedSpecimen","Plantae","Dicotyledon","Plantaginaceae","Callitriche","terrestris","Callitriche terrestris","Raf.","Guedes, ML","2019","06","Guedes, ML; Alunos de Botânica BIOC05","31110","2018","11","11","Southern America","Brasil","Bahia","Tucano","Torre do Quererá.","-39.318611","-11.608611","-39.318611","-11.608611","estoloníferas. Folhas crassas. Flores axilares.","ALCB059207","ALCB059207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:31:10-03","NBC","NL-BOTANY","L.2248899","PreservedSpecimen","Plantae",NA,"Callitrichaceae","Callitriche","terrestris","Callitriche terrestris","Raf.",NA,NA,NA,"Bacigalupo NM",NA,"1986","03","03","Southern America","Argentina","Neuquén",NA,"Argentina, RA-40, by the bridge on the R. Collón Curá, Dep. Collón Curá, Prov. Neuquén.",NA,NA,NA,NA,"Wet sand, evidently flooded when river in spate.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2248899 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2248899","NL-L2248899","Magnoliopsidae","Lamiales","L 0689098",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:31:10-03","NBC","NL-BOTANY","U.1479039","PreservedSpecimen","Plantae",NA,"Callitrichaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fassett) Bacigalupo","Bacigalupo NM",NA,NA,"Pedersen TM",NA,"1980","10","07","Southern America","Argentina","Corrientes",NA,"Ea. 'La Yela'. Dep. Empedrado. Prov. Corrientes.",NA,NA,NA,NA,"Damp, clayey soil in dense shade.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1479039 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1479039","NL-U1479039","Magnoliopsidae","Lamiales","U 0122153","subsessilis",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:15:42-03","ESALQ","ESA","134324","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris","Raf.",NA,NA,NA,"C.P. Caliari et al.","2334.0","2009","04","20",NA,"Brasil","Paraná","Telêmaco Borba","Parque Ecológico da Klabin. Floresta Estacional Semidecidua. Área perturbada. Trilha do Palmito, na Guarda da Jaguatirica em direção ao Rio Tibagi.","-50.6156005859375","-24.3239002227783",NA,NA,"Erva, flores verdes e frutos amarelos","ESA134324","ESA134324",NA,NA,NA,NA,"35037","auto",NA,NA,NA,NA,NA
"5","2020-12-21 16:19:50-03","MBM","MBM","324485","PreservedSpecimen","Plantae",NA,"Callitrichaceae","Callitriche","terrestris","Callitriche terrestris","Rafinesque","Larocca, J.",NA,NA,"Gonçalves, V.","93","1996","09","28","Southern America","Brazil","Rio Grande do Sul","Quintão",NA,NA,NA,NA,NA,"Baixada úmida entre dunas peóximo a Lagoa Porteira, solo úmido","MBM324485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:19:50-03","MBM","MBM","82801","PreservedSpecimen","Plantae",NA,"Callitrichaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fasset) Bacig.","Bacigalupo, N.M.",NA,NA,"Pedersen, T.M.","12938","1980","10","07","Southern America","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,"MBM082801","MBM082801",NA,NA,NA,"subsessilis",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:19:50-03","MBM","MBM","144406","PreservedSpecimen","Plantae",NA,"Callitrichaceae","Callitriche","terrestris","Callitriche terrestris turfosa","(Bert. emend. Hegelm.) Bacig.","Bacigalupo, N.M.",NA,NA,"Hunziker, A.T.","10313","1994","10","24","Southern America","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,"MBM144406","MBM144406",NA,NA,NA,"turfosa",NA,NA,NA,NA,NA,NA,NA
"8","2020-07-17 13:59:54-03","MNHN","RECOLNAT_MNHN_P","P04214847","PreservedSpecimen",NA,NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fassett) Bacig.","Hassemer",NA,NA,"Balansa|Benjamin",NA,"1874","6","7",NA,"Paraguay","Central",NA,"N°2352a Luque, sur la terre humide","-57.48722","-25.27",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04214847' target='other'> <mi>dwc_moreinfo</mi></a>","P04214847","P04214847_01",NA,NA,NA,"subsessilis",NA,NA,"hb",NA,NA,NA,NA
"9","2020-07-17 13:59:55-03","MNHN","RECOLNAT_MNHN_P","P04214851","PreservedSpecimen",NA,NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fassett) Bacig.","Hassemer",NA,NA,"Ulle, E.",NA,"1889","9","1",NA,"Brasil","Santa Catarina",NA,"No Terreno humido de conconhar perto do porto de Tubarão.",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04214851' target='other'> <mi>dwc_moreinfo</mi></a>","P04214851","P04214851_01",NA,NA,NA,"subsessilis",NA,NA,"hb","1257",NA,NA,NA
"10","2015-09-04 13:44:41-03","MNHN","RECOLNAT_MNHN_P","P04214852","PreservedSpecimen",NA,NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fassett) Bacig.","Hassemer",NA,NA,"Regnell, A.F.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"s.l.",NA,NA,NA,NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04214852' target='other'> <mi>dwc_moreinfo</mi></a>","P04214852","P04214852_01 P04214852_02",NA,NA,NA,"subsessilis",NA,NA,"hb","III 1762",NA,NA,NA
"11","2015-12-11 17:21:54-02","MNHN","RECOLNAT_MNHN_P","P04214893","PreservedSpecimen",NA,NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fassett) Bacig.","Lansdown",NA,NA,"Weddell, H.A.",NA,"1844","1","1",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04214893' target='other'> <mi>dwc_moreinfo</mi></a>","P04214893","P04214893_01",NA,NA,NA,"subsessilis",NA,NA,"hb","1007",NA,NA,NA
"12","2015-12-04 11:19:17-02","MNHN","RECOLNAT_MNHN_P","P04214894","PreservedSpecimen",NA,NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fassett) Bacig.","Lansdown",NA,NA,"Glaziou, A.",NA,"1875","9","24",NA,"Brésil",NA,NA,"Rio Jan. : Sto. Antonio (Petropolis)",NA,NA,NA,NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04214894' target='other'> <mi>dwc_moreinfo</mi></a>","P04214894","P04214894_01 P04214894_02",NA,NA,NA,"subsessilis",NA,NA,"hb","8077",NA,NA,NA
"13","2017-04-04 16:07:07-03","MNHN","RECOLNAT_MNHN_P","P04214916","PreservedSpecimen",NA,NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fassett) Bacig.","Hassemer",NA,NA,"Saint-Hilaire",NA,"1816","1","1",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04214916' target='other'> <mi>dwc_moreinfo</mi></a>","P04214916","P04214916_01",NA,NA,NA,"subsessilis",NA,NA,"hb","486",NA,NA,NA
"14","2020-07-17 13:59:54-03","MNHN","RECOLNAT_MNHN_P","P04214846","PreservedSpecimen",NA,NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris subsessilis","(Fassett) Bacig.","Hassemer",NA,NA,"Balansa|Benjamin",NA,"1875","9","1",NA,"Paraguay","Asunción - Distrito Capital",NA,"L'Assomption, sur le bord des mares.","-57.6316","-25.28006",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04214846' target='other'> <mi>dwc_moreinfo</mi></a>","P04214846","P04214846_01",NA,NA,NA,"subsessilis",NA,NA,"hb",NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","1212707","PreservedSpecimen","Plantae",NA,"Plantaginaceae","Callitriche","terrestris","Callitriche terrestris","Raf.",NA,NA,NA,"Richard Spruce","Spruce 5063","1857",NA,NA,"South America","Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
