"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","132223","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Mapouria","mahuriensis","Mapouria mahuriensis","Bremek.","C. E. B. Bremekamp","holotype","R. S. Cowan","38853","1954","12","17","South America","French Guiana","Montagne de Mahury.","130","170","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00132223","NY00132223_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01091778","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","cupularis","Psychotria cupularis","(Müll.Arg.) Standl.","C. M. Taylor",NA,"A. M. Amorim","4169A","2005","07","27","South America","Brazil","Camacã. RPPN Serra Bonita, Acesso pela Rod. Jacareci, ca. 10.6 km de Camacã.","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1218420' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091778","NY01091778_01","Bahia","-39.5697","-15.3811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01107715","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","cupularis","Psychotria cupularis","(Müll.Arg.) Standl.",NA,NA,"H. S. Irwin","47333",NA,NA,NA,"South America","Brazil",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1270559' target='other'> <mi>dwc_moreinfo</mi></a>","NY01107715","NY01107715_01","Amapá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02103710","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","cupularis","Psychotria cupularis","(Müll.Arg.) Standl.","C. M. Taylor",NA,"R. A. X. Borges","364","2006","12","09","South America","Brazil","RPPN Serra Bonita. 9,7 km de Camacã na estrada para Jacarecí. Daí 6 km SW na estrada para a RPPN e Torre da Embratel.","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150002' target='other'> <mi>dwc_moreinfo</mi></a>","NY02103710","NY02103710_01","Bahia","-39.5653","-15.3917","Camacan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01107727","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","cupularis","Psychotria cupularis","(Müll.Arg.) Standl.","C. M. Taylor",NA,"I. L. do Amaral","1321","1983","05","19","South America","Brazil","Estrada Santarém-Cuiabá, BR 163, Km 1227, com penetração de ± 5 Km dentro da mata, margeando o igarapé Lauro. Mata alta de terra firme, solo argiloso.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1267914' target='other'> <mi>dwc_moreinfo</mi></a>","NY01107727","NY01107727_01","Pará","-55.6666669","-5.9166669","Itaituba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","887151","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","cupularis","Psychotria cupularis","(Müll.Arg.) Standl.","C. M. Taylor",NA,"P. Fiaschi","2660","2004","11","27","South America","Brazil","Rodovia Ilhéus-Itacaré (BA 001), na altura do km 20, estrada à esquerda. Acesso ao Retiro. Ramal vicinal ca. 5.5 km à direita, para a Lagoa Encantada.","170","170","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887151","NY00887151_01","Bahia","-39.1172","-14.5861","Ilhéus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01107717","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","cupularis","Psychotria cupularis","(Müll.Arg.) Standl.",NA,NA,"E. P. Killip","30336",NA,NA,NA,"South America","Brazil",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1270717' target='other'> <mi>dwc_moreinfo</mi></a>","NY01107717","NY01107717_01","Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1579477","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","cupularis","Psychotria cupularis","(Müll.Arg.) Standl.","C. M. Taylor",NA,"J. R. Pirani","3475","1994","12","08","South America","Brazil","ES-060, mata de restinga a W da rodovia, ca. 1 km N da Praia da Sereias",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1764286' target='other'> <mi>dwc_moreinfo</mi></a>","NY01579477","NY01579477_01","Espírito Santo","-40.286823","-20.328351","Vila Velha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00982477","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","cupularis","Psychotria cupularis","(Müll.Arg.) Standl.","C. M. Taylor",NA,"W. W. Thomas","13678","2004","01","30","South America","Brazil","Fazenda Boi Rajado, 5.9 km E of Macarani-Bandeiras road on farm road ca. 12 km N of Bandeiras (at Fazenda Canada)","830","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796792' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982477","NY00982477_01","Minas Gerais","-40.51791667","-15.8064167","Bandeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02103709","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","cupularis","Psychotria cupularis","(Müll.Arg.) Standl.","C. M. Taylor",NA,"R. A. X. Borges","366","2006","12","09","South America","Brazil","RPPN Serra Bonita. 9,7 km de Camacã na estrada para Jacarecí. Daí 6 km SW na estrada para a RPPN e Torre da Embratel.","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2150003' target='other'> <mi>dwc_moreinfo</mi></a>","NY02103709","NY02103709_01","Bahia","-39.5653","-15.3917","Camacan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
