"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","fieldNumber","yearIdentified","monthIdentified","verbatimLatitude","maximumElevationInMeters","typeStatus","individualCount","class","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1654153","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","ackermannii","Tibouchina ackermannii","Cogn.","F. S. Meyer","F. A. Michelangeli","1566","2011","02","02","South America","Brazil","Minas Gerais","Ouro Branco","Serrania de Ouro Branco, road to antennas.","-43.64621666666","-20.50415","1320","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568235' target='other'> <mi>dwc_moreinfo</mi></a>","NY01654153","NY01654153_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-04 21:03:35-03","MNHN","RECOLNAT_MNHN_P","P05315963","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Tibouchina","serrana","Tibouchina serrana","P.J.F.Guim. & A.B.Martins",NA,"Loefgren",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05315963' target='other'> <mi>dwc_moreinfo</mi></a>","P05315963","P05315963_01","311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-11 17:20:19-03","UFPR","UPCB","71719","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","ackermannii","Tibouchina ackermannii","Cogn.","Meyer, F.S.","Michelangeli, F.A.","1566","2011","02","02",NA,"Brasil","Minas Gerais","Ouro Branco","Serrania de Ouro Branco, road to antennas.",NA,"-20.845","1320",NA,"Shrub up to 1.5 m tall. Petals, stamens, and style purple. Growing within rocks..",NA,NA,NA,"2016","06","-20.845","1320",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-07-01 08:23:00-03","MO","MOBOT","101201278","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Pleroma","ackermannii","Pleroma ackermannii","(Cogn.) P.J.F. Guim. & Michelang.","fide Guimarães et al.","Jacob F. Ackermann","Ackermann 159","1852",NA,NA,"South America","Brazil","Minas Gerais",NA,"without locality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","1",NA,NA,NA,NA,NA,NA
"5","2020-06-22 14:18:51-03","UNESP-IBILCE","SJRP","27399","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Melastomataceae","Tibouchina","serrana","Tibouchina serrana","P.J.F.Guim. & A.B.Martins",NA,"Guimarães, P.",NA,NA,NA,NA,"América do Sul","Brasil","São Paulo","Brotas","fazenda rochedo","-48.1199989318848","-22.2800006866455",NA,NA,"Arbusto 70 cm, flor roxa, subida do morro;",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","26585","auto",NA,NA,NA
"6","2020-06-22 14:18:52-03","UNESP-IBILCE","SJRP","31659","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Melastomataceae","Tibouchina","serrana","Tibouchina serrana","P.J.F.Guim. & A.B.Martins",NA,"Guimarães, P.",NA,NA,NA,NA,"América do Sul","Brasil","São Paulo","Brotas","fazenda rochedo","-48.1199989318848","-22.2800006866455",NA,NA,"Arbusto 60cm, beira do barraco flor roxa.;",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","26585","auto",NA,NA,NA
"7","2021-01-26 14:12:42-03","CPACT","ECT","1533","PreservedSpecimen","Plantae","Embryophyta",NA,"Melastomataceae","Pleroma","ackermannii","Pleroma ackermannii","(Cogn.) P.J.F.Guim. & Michelang.","L.L.Nunes","M.Couto",NA,"2002","11",NA,NA,"Brasil","Rio Grande do Sul","Pelotas","Embrapa Clima Temperado. Horta Medicinal. HCT 130. Nome comum: pixirica-cabeluda.","-52.342222","-31.771944","17",NA,NA,"ECT0001533","ECT0001533",NA,"2020","11","31º46'19''S","17",NA,NA,NA,NA,NA,"06","52º20'32''W",NA
"8","2020-09-12 05:00:02-03","US","US","2368119","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","serrana","Tibouchina serrana","Guimaraes & A.B. Martins",NA,"E. Vainio","18-28 III","1905","1","8","South America - Neotropics","Brazil","Minas Gerais","Conselheiro Lafaiete","Lafayette","-43.7860984802246","-20.6602993011475",NA,NA,NA,"US01906098","US01906098_01 US01906098_02",NA,NA,NA,NA,NA,NA,"1","Dicotyledonae","15602","auto",NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","3463175","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","serrana","Tibouchina serrana","Guimaraes & A.B. Martins",NA,"P. Guimaraes","114","1992","5","6","South America - Neotropics","Brazil","São Paulo",NA,"Estado de São Paulo, municipio de Brotas, fazenda Rochedo.",NA,NA,NA,NA,NA,"US00731238","US00731238_01",NA,NA,NA,NA,NA,"Isotype","1","Dicotyledonae",NA,NA,NA,NA,NA
"10","2019-01-23 11:08:46-02","F","FMNH-SEEDPLANTS","V0044370F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Tibouchina","serrana","Tibouchina serrana",NA,NA,"P. J. F. Guimarães","114","1992","5","6","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0044370F","V0044370F_01",NA,NA,NA,NA,NA,"Isotype",NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"11","2015-03-07 08:56:12-03","F","FMNH-SEEDPLANTS","V0138639F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Tibouchina","serrana","Tibouchina serrana",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0138639F","V0138639F_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"12","2016-08-23 10:59:52-03","NHMLondon","NHM-LONDON-BOT","BM000799540","S","Plantae",NA,NA,"Melastomataceae","Tibouchina","serrana","Tibouchina serrana","P.Guim. & A.B.Martins",NA,"P. Guimaraes","114","1992","05","06",NA,"Brasil","São Paulo",NA,NA,"-48.476133","-22.204289",NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/2ac676317e2115a16879bb658db30652e830ab56/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"-22.204289",NA,"Isotype",NA,NA,NA,NA,NA,"-48.476133","NHMUK:ecatalogue:4991634"
