"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","319152","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Davilla","macrocarpa","Davilla macrocarpa","Eichler","G. A. Aymard Corredor","W. W. Thomas","10724","1994","09","28","South America","Brazil","Bahia","Ilhéus","2.0 km. NNE of Banco da Vitoria on road leading to W edge of Mata da Esperança.","-39.0911","-14.7772","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319152","NY00319152_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","495478","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Davilla","macrocarpa","Davilla macrocarpa","Eichler","W. W. Thomas","W. W. Thomas","7503","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605162' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495478","NY00495478_01 NY00495478_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","823263","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Davilla","macrocarpa","Davilla macrocarpa","Eichler","G. A. Aymard Corredor","W. W. Thomas","12765","2001","11","04","South America","Brazil","Bahia","Itacaré","Fazenda Capitao. 7.9 km W of junction BA 001 on road from Itacaréto Ubaitaba","-39.0884","-14.344317","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938260' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823263",NA,"40","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03082055","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Davilla","macrocarpa","Davilla macrocarpa","Eichler",NA,"M. M. Saavedra","509","2007","09","07","South America","Brazil","Espírito Santo","Conceição da Barra","APA de Conceição da Barra, Restinga de Guriri. Formação arbustiva fechada, não inundável, de restinga.","-39.735","-18.6158333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3309221' target='other'> <mi>dwc_moreinfo</mi></a>","NY03082055","NY03082055_01","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","495472","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Davilla","macrocarpa","Davilla macrocarpa","Eichler","G. A. Aymard Corredor","S. C. de Sant'Ana","574","1995","08","29","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Coletas próxima a portaria da Reserva","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495472","NY00495472_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02730489","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Davilla","macrocarpa","Davilla macrocarpa","Eichler",NA,"C. N. Fraga","3259","2011","05","06","South America","Brazil","Bahia",NA,"3.5 km apos um povoado a esquerda da BR-418 em direcao a Caravelas. Floresta de Tabuleiro","-39.5031","-17.7133","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3045052' target='other'> <mi>dwc_moreinfo</mi></a>","NY02730489","NY02730489_01","39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","495473","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Davilla","macrocarpa","Davilla macrocarpa","Eichler","G. A. Aymard Corredor","S. C. de Sant'Ana","559","1994","09","06","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605168' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495473","NY00495473_01 NY00495473_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","495471","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Davilla","macrocarpa","Davilla macrocarpa","Eichler","G. A. Aymard Corredor","A. M. Amorim","1450","1993","11","10","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Coletas efetuadas na Picada da Bandeira","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495471","NY00495471_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","319151","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Davilla","macrocarpa","Davilla macrocarpa","Eichler","G. A. Aymard Corredor","W. W. Thomas","10724","1994","09","28","South America","Brazil","Bahia","Ilhéus","2.0 km. NNE of Banco da Vitoria on road leading to W edge of Mata da Esperança.","-39.0911","-14.7772","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","517201","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Davilla","macrocarpa","Davilla macrocarpa","Eichler","G. A. Aymard Corredor","A. M. V. de Carvalho","4940","1994","09","22","South America","Brazil","Bahia","Ilhéus","Mata da Esperança. Entrada a 2 km a partir da antiga ponte do Rio Fundao","-39.06916667","-14.7819444","sheet","Site: ME <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605169' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517201","NY00517201_01 NY00517201_02 NY00517201_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
