"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","typeStatus","fieldNumber","maximumElevationInMeters","yearIdentified","monthIdentified","minimumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","470520","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","O. A. Guimarães","A. C. Cervi","2323","1985","10","04","South America","Brazil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-49.97","-25.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472218' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470520","NY00470520_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","470522","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","J. Y. V. Norlind","P. K. H. Dusén","15694","1915","10","21","South America","Brazil","Paraná","Ponta Grossa","Villa Velha","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470522","NY00470522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","470521","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","A. Lourteig","G. G. Hatschbach","11769","1964","10","31","South America","Brazil","Paraná","Palmeira","Rio Tibagi","-50.0064","-25.4294","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472220' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470521","NY00470521_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:09:32-03","NBC","NL-BOTANY","L.2120181","PreservedSpecimen","Plantae",NA,"Oxalidales","Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel",NA,"Hatschbach GG",NA,"1967","10","11","Southern America","Brazil",NA,NA,"Est. Paraná (Brasil), Mun. Ponta Grossa. Passo do Pupo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2120181 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2120181","NL-L2120181","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"5","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0033855","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","G. Hatschbach","J. Cordeirp; G. Hatschbach","666","1989","11","16",NA,"Brazil","Parana",NA,"Caminho para o Buraco do Padre (Mun. Ponta Grossa).","-50.15","-25.0833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:39:04-03","MBM","MBM","236141","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Dombrowski, L.T.","Dombrowski, L.T.","14649",NA,NA,NA,"Southern America","Brazil","Paraná","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"MBM236141",NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:39:04-03","MBM","MBM","236144","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Dombrowski, L.T.","Dombrowski, L.T.","6616",NA,NA,NA,"Southern America","Brazil","Paraná","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"MBM236144",NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:39:04-03","MBM","MBM","27676","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Hatschbach, G.","Dombrowski, L.T.","806",NA,NA,NA,"Southern America","Brazil","Paraná","Palmeira","Rio Tibagi","-50.0064010620117","-25.4293994903564",NA,NA,"MBM027676","MBM027676",NA,"35166","auto",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:39:04-03","MBM","MBM","39678","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Lourteig, A.","Hatschbach, G.","11769",NA,NA,NA,"Southern America","Brazil","Paraná","Palmeira","Rodovia do Café, Rio Tibagi","-50.0064010620117","-25.4293994903564",NA,NA,"MBM039678","MBM039678",NA,"35166","auto",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:39:04-03","MBM","MBM","232980","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Guimarães, O.","Cervi, A.C.; et al.; et al.","2323",NA,NA,NA,"Southern America","Brazil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,"MBM232980","MBM232980",NA,"46557","auto",NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:39:04-03","MBM","MBM","77904","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Hatschbach, G.","Hatschbach, G.","45486",NA,NA,NA,"Southern America","Brazil","Paraná","Ponta Grossa","Parque Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,"MBM077904","MBM077904",NA,"46557","auto",NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:39:04-03","MBM","MBM","236143","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Lourteig, A.","Hatschbach, G.","17414",NA,NA,NA,"Southern America","Brazil","Paraná","Ponta Grossa","Passo do Pupo","-50.1618995666504","-25.0949993133545",NA,NA,"MBM236143",NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:39:04-03","MBM","MBM","236145","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Dombrowski, L.T.","Dombrowski, L.T.","6314",NA,NA,NA,"Southern America","Brazil","Paraná","Ponta Grossa","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,"MBM236145",NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:39:04-03","MBM","MBM","236140","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Dombrowski, L.T.","Dombrowski, L.T.","13970",NA,NA,NA,"Southern America","Brazil","Paraná","Palmeira","Recanto dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"MBM236140",NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:39:04-03","MBM","MBM","236142","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Dombrowski, L.T.","Dombrowski, L.T.","9938",NA,NA,NA,"Southern America","Brazil","Paraná","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"MBM236142",NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:39:04-03","MBM","MBM","204","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Lourteig, A.","Hatschbach, G.","11769",NA,NA,NA,"Southern America","Brazil","Paraná","Palmeira","Rio Tibagi","-50.0064010620117","-25.4293994903564",NA,NA,"MBM000204","MBM000204",NA,"35166","auto",NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:39:04-03","MBM","MBM","134141","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Hatschbach, G.","Cordeiro, J.; Hatschbach, G.; Hatschbach, G.","666",NA,NA,NA,"Southern America","Brazil","Paraná","Ponta Grossa","Caminho para o Buraco do Padre","-50.1618995666504","-25.0949993133545",NA,NA,"MBM134141","MBM134141",NA,"46557","auto",NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:39:04-03","MBM","MBM","8565","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Lourteig, A.","Hatschbach, G.","17414",NA,NA,NA,"Southern America","Brazil","Paraná","Ponta Grossa","Passo do Pupo","-50.1618995666504","-25.0949993133545",NA,NA,"MBM008565","MBM008565",NA,"46557","auto",NA,NA,NA,NA,NA,NA
"19","2015-11-07 05:55:20-02","MNHN","RECOLNAT_MNHN_P","P02440304","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Lourteig","[Sello], F.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"s.l.",NA,NA,"hb","D. Gaudichaud <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02440304' target='other'> <mi>dwc_moreinfo</mi></a>","P02440304","P02440304_01",NA,NA,NA,"lectotype",NA,NA,NA,NA,NA
"20","2015-09-05 11:02:14-03","MNHN","RECOLNAT_MNHN_P","P05550455","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel",NA,"Hatschbach, G.",NA,"1967","10","11",NA,"Brasil","Paraná","Ponta Grossa","Passo do Pupo","-50.1618995666504","-25.0949993133545","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05550455' target='other'> <mi>dwc_moreinfo</mi></a>","P05550455","P05550455_01",NA,"46557","auto",NA,"17414",NA,NA,NA,NA
"21","2015-09-05 11:02:14-03","MNHN","RECOLNAT_MNHN_P","P05550453","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel",NA,"Hatschbach, G.",NA,"1964","10","31",NA,"Brasil","Paraná","Palmeira","Rio Tibagi","-50.0064010620117","-25.4293994903564","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05550453' target='other'> <mi>dwc_moreinfo</mi></a>","P05550453","P05550453_01",NA,"35166","auto",NA,"11769",NA,NA,NA,NA
"22","2015-09-05 11:02:14-03","MNHN","RECOLNAT_MNHN_P","P05550454","PreservedSpecimen",NA,NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel",NA,"Hatschbach, G.",NA,"1964","10","31",NA,"Brasil","Paraná","Palmeira","Rod. do Café, Rio Tibagi","-50.0064010620117","-25.4293994903564","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05550454' target='other'> <mi>dwc_moreinfo</mi></a>","P05550454","P05550454_01",NA,"35166","auto",NA,"11769","780",NA,NA,NA
"23","2021-02-11 17:21:03-03","UFPR","UPCB","33994","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Guimarães, O.A.","Cervi, A.C.","2323","1985","10","04",NA,"Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-50.1618995666504","-25.0949993133545",NA,"Erva com flores vermelhas. Campo..",NA,NA,NA,"46557","auto",NA,NA,NA,"1998","10",NA
"24","2021-02-11 17:21:03-03","UFPR","UPCB","11133","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Camargo, M.L.de","Camargo, M.L.de",NA,NA,NA,NA,NA,"Brasil","Paraná","Ponta Grossa","Vila Velha","-50.1618995666504","-25.0949993133545",NA,"Erva, campo arenoso..",NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA
"25","2009-07-09 17:05:00-03","MO","MOBOT","2476809","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","praetexta","Oxalis praetexta","Progel","Lourteig, A.","Gert G. Hatschbach","Hatschbach 11769","1964","10","31","South America","Brazil","Paraná",NA,"Rodovia do Café, Tibagi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"780.00000000"
