"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","individualCount","typeStatus","yearIdentified","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1182470","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Thymelaeaceae","Funifera","ericiflora","Funifera ericiflora","(Gilg & Markgr.) Domke","L. Rossi","J. M. Pires","6274","1956","12","15","South America","Brazil","Pará","Serra do Cachimbo","-55.972862","-8.308925","425","425","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402702' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182470","NY01182470_01",NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1146788","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Thymelaeaceae","Funifera","ericiflora","Funifera ericiflora","(Gilg & Markgr.) Domke","Z. S. Rogers","W. W. Thomas","12024","1999","02","06","South America","Brazil","Bahia","Parque Nacional Monte Pascoal, 3 km S of entrance along road on N side of park.","-39.4133","-16.8633333","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395567' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146788","NY01146788_01","Porto Seguro",NA,NA,NA,NA,NA
"3","2012-08-18 05:19:00-03","MO","MOBOT","100270358","PreservedSpecimen","Plantae",NA,NA,"Thymelaeaceae","Funifera","ericiflora","Funifera ericiflora","(Gilg & Markgr.) Domke","L. Rossi","João Murça Pires","Pires 6274","1956","12","15","South America","Brazil","Pará","Serra do Cachimbo","-55.5","-8.5",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"4","2010-04-29 13:41:00-03","MO","MOBOT","3583231","PreservedSpecimen","Plantae",NA,NA,"Thymelaeaceae","Funifera","ericiflora","Funifera ericiflora","(Gilg & Markgr.) Domke","Nevling","F.C. Hoehne","Hoehne 5504","1911","11",NA,"South America","Brazil","Mato Grosso","Juruena","-58.9333333","-12.85",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"5","2010-10-28 10:20:00-02","MO","MOBOT","3622466","PreservedSpecimen","Plantae",NA,NA,"Thymelaeaceae","Funifera","ericiflora","Funifera ericiflora","(Gilg & Markgr.) Domke","L. Nevling","F.C. Hoehne","Hoehne 2112","1909","6",NA,"South America","Brazil","Mato Grosso","Margena do Rio Sacre. M. Grosso","-58.1666667","-12.95",NA,NA,NA,NA,NA,NA,NA,"1","Holotype",NA,NA,NA
"6","2021-02-23 13:23:11-03","MN","R-TIPOS","27302","PreservedSpecimen","Plantae",NA,NA,"Thymelaeaceae","Daphnopsis","ericiflora","Daphnopsis ericiflora","Gilg & Markgr.","Nevling, Jr., L.I.","Hoehne, F.C.","2112","1909","06",NA,NA,"Brasil","Mato Grosso","margens do Rio Sacre",NA,NA,NA,NA,NA,NA,"R000027302","R000027302_001",NA,NA,"Lectotypus","1959",NA,NA
"7","2010-08-16 16:38:32-03","GH","HU-HERB","GH 00286007","PreservedSpecimen","Plantae",NA,NA,"Thymelaeaceae","Funifera","ericiflora","Funifera ericiflora","(Gilg & Markgr.) Domke",NA,"F. C. Hoehne","5504","1911","6",NA,"South America","Brazil","Mato Grosso","Juruena",NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,"5504","undetermined"
