"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","recordNumber","occurrenceRemarks","phylum","order","coordinatePrecision","geoFlag","continentOcean","preparationType","class","typeStatus","eventTime","infraspecificEpithet","individualCount","sex"
"1","2021-04-05 14:33:22-03","UNESC","CRI","7883","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gigantea","Vriesea gigantea","Gaudich.","Vanilde Citadini- Zanette","2008","04","29","Marciel Bonfi Fernandes","2008","04","28","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","30","30","CRI001871","CRI001871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:05-03","UNESC","CRI","7554","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gigantea","Vriesea gigantea","Gaudich.","Telma Elyta V. Azeredo","2008","02","06","T. E. V. Azeredo","2008","02","06","Brasil","Santa Catarina","Nova Veneza","-49.498056","-28.637222","49º29'53''W","28º38'14''S",NA,NA,"CRI001874","CRI001874","Fazenda Vale do Paraíso - Rio Cedro Alto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:22-03","UNESC","CRI","1639","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gigantea","Vriesea gigantea","Gaudich.","J. L. Waechter","1993","07","26","Vanilde Citadini-Zanette; C. M. Martinello","1993","02","18","Brasil","Santa Catarina","Orleans","-49.288056","-28.358611","49º17'17''W","28º21'31''S",NA,NA,"CRI010181",NA,"Rio Novo","1526","Escapo floral de 2m de comprimento Habito: Epífita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:06-03","UNESC","CRI","8566","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gigantea","Vriesea gigantea","Gaudich.","Vanilde Citadini-Zanette","2006",NA,NA,"Vanilde Citadini-Zanette; Alecsandro Shardosim Klein","2006",NA,NA,"Brasil","Santa Catarina","Urussanga","-49.3175","-28.522778","49º19'3''W","28º31'22''S","300","300","CRI012884",NA,"Rio Carvão Alto",NA,"Trabalho realizado pelo mestrando Alecsandro Shardosim Klein - Mestrado em Ciências Ambientais (UNESC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","722","S","Plantae","Bromeliaceae","Vriesea","gigantea","Vriesea gigantea","Gaudich.","Elton. C. M. Leme","2011","08",NA,"Elton M. C. Leme; Ludovic Kollmann; A. P. Fontana; C. Esgario","2009","04","21","Brasil","Bahia","Guaratinga","-39.7827987670898","-16.5839004516602","39°58'59,5''","16°41'46,2''",NA,NA,NA,NA,"São João do Sul. Fazenda Estrela do Sul. Mata Atlântica no topo da Pedra do Régis",NA,"254","Magnoliophyta","Poales","55290","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","400469","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gigantea","Vriesea gigantea","Gaudich.",NA,NA,NA,NA,"P. K. H. Dusén","1911","04","05","Brazil","Paraná","Jaguariaíva","-49.7056","-24.2511",NA,NA,NA,NA,"NY00400469","NY00400469_01","Jacarehý","11763","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244270' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","400443","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gigantea","Vriesea gigantea","Gaudich.",NA,NA,NA,NA,"J. E. Leite","1942","02",NA,"Brazil","Rio Grande do Sul","Sao Leopoldo","-51.143791","-29.75136",NA,NA,NA,NA,"NY00400443","NY00400443_01","Sao Leopoldo","2235","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244272' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","400441","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gigantea","Vriesea gigantea","Gaudich.","L. B. Smith",NA,NA,NA,"L. B. Smith","1952","04","10","Brazil","Rio de Janeiro","Petrópolis","-43.1783","-22.505",NA,NA,"500","700","NY00400441","NY00400441_01","Old road up the Serra to Petropolis","6499","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244269' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","645849","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gigantea","Vriesea gigantea","Gaudich.","R. C. Tardivo",NA,NA,NA,"G. Gatti","1999","01","21","Brazil","Paraná","Guaraqueçaba","-48.28","-25.15",NA,NA,NA,NA,"NY00645849","NY00645849_01","Reserva Natural Salto Morato, Quiosques","316","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244268' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","400442","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","gigantea","Vriesea gigantea","Gaudich.",NA,NA,NA,NA,"E. Pereira","1968","01","28","Brazil","Rio de Janeiro","Petrópolis","-43.1783","-22.505",NA,NA,NA,NA,"NY00400442","NY00400442_01","Serra da Estrela","10675","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244271' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
