"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relationshipType","relatedCatalogItem","infraspecificEpithet","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1013857","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","D. F. Austin","H. S. Irwin","34195","1972","01","15","South America","Brazil","Goiás","Pirenópolis","Serra dos Pirineus, ca. 10 km E. of Pirenópolis","-48.85664","-15.85","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104211' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013857","NY01013857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","486275","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","D. F. Austin","P. K. H. Dusén","16383","1915","01","14","South America","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486275","NY00486275_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1013851","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","D. F. Austin","E. P. Heringer","7978","1961","02","21","South America","Brazil","Distrito Federal","Brasília","Fundação Zoobotânica.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104204' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013851","NY01013851_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01081048","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","J. R. I. Wood","H. S. Irwin","14408","1966","04","05","South America","Brazil","Goiás","Posse","Serra Geral de Goiás, Rio da Prata, ca. 6 km S. of Posse","-46.37","-14.13","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1214756' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081048","NY01081048_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1013863","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","C. A. O'Donell","A. F. M. Glaziou","21785","1895","02","11","South America","Brazil","Goiás",NA,"Entre Regadinha and Paranaúa.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104225' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013863","NY01013863_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01081046","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","J. R. I. Wood","H. S. Irwin","14439","1966","04","06","South America","Brazil","Goiás","Posse","Serra Geral de Goiás, Rio da Prata, ca. 6 km S. of Posse","-46.37","-14.13","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1214753' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081046","NY01081046_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01090735","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","B. Santos Lorenzo","H. S. Irwin","26214","1970","02","06","South America","Brazil","Minas Gerais","Paracatú","Serra da Anta, summit of chapada, ca. 5 km S.E. of Paracatú","-46.8727778","-17.22555","675","675","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1225114' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090735","NY01090735_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1013860","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","D. F. Austin","H. S. Irwin","25462","1970","01","28","South America","Brazil","Minas Gerais","Patrocínio","Morro da Pedras, ca. 25 km N.E. of Patrocínio","-46.9925","-18.9439","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104215' target='other'> <mi>dwc_moreinfo</mi></a>","NY01013860","NY01013860_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","319143","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","C. A. O'Donell","R. Spruce","3605","1854","06",NA,"South America","Venezuela",NA,NA,"Prope Maypures, ad flumen Orinoco",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293531' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319143","NY00319143_01","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00749151","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","argentea","Ipomoea argentea","Meisn.","R. Simão-Bianchini","H. S. Irwin","11562","1966","01","11","South America","Brazil","Distrito Federal","Brasília","Córrego Cavanças, near Chapada da Contagem, ca. 22 km N. E. of Brasília","-47.77152","-15.64272","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=888835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749151","NY00749151_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
