"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","occurrenceRemarks","barcode","imagecode","fieldNumber","locality","preparationType","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","continentOcean","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","order","relatedCatalogItem","typeStatus","previousCatalogNumber"
"1","2021-01-14 15:26:56-03","MN","R","8201","PreservedSpecimen","Plantae","Celastraceae","Tontelea","lanceolata","Tontelea lanceolata","(Miers) A.C. Sm.","Lombardi, J.A.","1999","10","Glaziou, A.F.M.","6119","1872","11","03","Brasil","Rio de Janeiro","Plantas do Brasil Central","R000008201","R000008201_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-05 09:27:13-03","MNHN","RECOLNAT_MNHN_P","P05616159","PreservedSpecimen",NA,"Celastraceae","Salacia","lanceolata","Salacia lanceolata","(Miers) Miers ex Glaz.",NA,NA,NA,"Glaziou, A.",NA,"1872","11","3","Brasil","Rio de Janeiro","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05616159' target='other'> <mi>dwc_moreinfo</mi></a>","P05616159","P05616159_01","6119","Corcovado.","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-11-14 16:01:21-02","MNHN","RECOLNAT_MNHN_P","P05616160","PreservedSpecimen",NA,"Celastraceae","Salacia","lanceolata","Salacia lanceolata","(Miers) Miers ex Glaz.",NA,NA,NA,"Glaziou",NA,"1877","1","20","Brasil","Rio de Janeiro","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05616160' target='other'> <mi>dwc_moreinfo</mi></a>","P05616160","P05616160_01","8577","Corcovado.","hb","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-05 09:14:57-03","MNHN","RECOLNAT_MNHN_P","P00140109","PreservedSpecimen",NA,"Celastraceae","Tontelea","lanceolata","Tontelea lanceolata","(Miers) A.C.Sm.","Lombardi",NA,NA,"Riedel, L.",NA,NA,NA,NA,"Brésil",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00140109' target='other'> <mi>dwc_moreinfo</mi></a>","P00140109","P00140109_01","1174",NA,"hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:34:32-03","UFMG","BHCB","34472","PreservedSpecimen","Plantae","Celastraceae","Tontelea","lanceolata","Tontelea lanceolata","(Miers) A.C.Sm.",NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:34:32-03","UFMG","BHCB","34472","PreservedSpecimen","Plantae","Celastraceae","Tontelea","lanceolata","Tontelea lanceolata","(Miers) A.C.Sm.",NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2014-01-14 09:31:00-02","MO","MOBOT","2984737","PreservedSpecimen","Plantae","Celastraceae","Tontelea","lanceolata","Tontelea lanceolata","(Miers) A.C. Sm.","J. A. Lombardt, July/",NA,NA,"* ANTENOR","ANTENOR 266","1927","11","16","Brazil","Rio de Janeiro",NA,NA,NA,NA,"Estado do Rio de Janeiro. Mata do Horto Florestal.",NA,NA,NA,NA,NA,NA,NA,"South America","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2018-09-12 14:48:06-03","UNIOESTE","UNOP","7076","S","Plantae","Celastraceae","Tontelea","lanceolata","Tontelea lanceolata","(Miers) A.C.Sm.","Lombardi, J.A.","2011","07","Lombardi, J.A.; Saka, M.N.; Temponi, L.G.; Cardozo, A.P.; Saka, M.N.; Temponi, L.G.; Cardozo, A.P.","8555","2011","07","12","Brasil","Rio de Janeiro","Amostra em sílica. Mata atlântica. Liana, folhas coriáceas, frutos imaturos verdes.",NA,NA,NA,"Parque Nacional da Serra dos Órgãos, estrada da Barragem e pela Trilha suspensa até a barragem.",NA,"Teresópolis","-42.989583","-22.449306",NA,NA,NA,NA,NA,"-42.989583","-22.449306","951","951",NA,NA,NA,NA,NA
"9","2020-06-15 15:29:58-03","UNESP-RC","HRCB","55516","PreservedSpecimen","Plantae","Celastraceae","Tontelea","lanceolata","Tontelea lanceolata","(Miers) A.C.Sm.","Lombardi, J.A.","2011","07","Lombardi","8555","2011","07","12","Brasil","Rio de Janeiro","Liana, folhas coriáceas, frutos imaturos verdes",NA,NA,NA,"Estrada da Barragem e pela Trilha suspensa até a barragem",NA,"Parque Nacional da Serra dos Órgãos","-42.989583","-22.449306",NA,NA,NA,NA,NA,"42º59'22.5W","22º26'57,5S","951","951",NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2270783","PreservedSpecimen","Plantae","Hippocrateaceae","Tontelea","lanceolata","Tontelea lanceolata","(Miers) A.C. Sm.",NA,NA,NA,"L. Emygdio de Mello Filho","1190","1957","1","19","Brazil","Rio de Janeiro",NA,"US01868730","US01868730_01 US01868730_02",NA,"Madalena",NA,NA,NA,NA,NA,NA,NA,"South America - Neotropics","1",NA,NA,NA,NA,"Dicotyledonae","Celastrales",NA,NA,NA
"11","2019-11-13 11:17:46-03","USP","SPF","185962","PreservedSpecimen","Plantae","Celastraceae","Tontelea","lanceolata","Tontelea lanceolata","(Miers) A.C.Sm.","Lombardi, JA","2014","09","Lima, HC","5514","1997","12","13","Brasil","Rio de Janeiro",NA,"SPF00185962",NA,NA,"Reserva Ecológica Municipal de Macaé de Cima",NA,"Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto",NA,NA,NA,NA,NA,"1250","1300",NA,NA,NA,NA,NA
"12","2019-09-04 19:23:55-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Celastraceae","Tontelea","lanceolata","Tontelea lanceolata",NA,NA,NA,NA,"L. Riedel","1174",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Spermatophyta","South America",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"13","2018-04-04 16:24:53-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Celastraceae","Tontelea","lanceolata","Tontelea lanceolata",NA,"RRC ID Flag",NA,NA,"L. Riedel","1174",NA,NA,NA,"Brazil",NA,NA,NA,NA,"1174",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Spermatophyta","South America",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"14","2015-03-13 19:25:02-03","F","FMNH-SEEDPLANTS","V0277694F","PreservedSpecimen","Plantae","Celastraceae","Tontelea","lanceolata","Tontelea lanceolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,"V0277694F","V0277694F_01",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Spermatophyta","South America",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"15","2020-07-23 12:08:51-03","CEPLAC","CEPEC","61464","PreservedSpecimen","Plantae","Hippocrateaceae","Tontelea","lanceolata","Tontelea lanceolata",NA,"J. A. Lombardi",NA,NA,"S. V. A. Pessoa","451","1986","09","01","Brasil","Rio de Janeiro",NA,NA,NA,NA,"Reserva Ecológica Municipal de Macaé de Cima. Sitio Sophronites.",NA,"nova friburgo","-4.033333","-22",NA,NA,NA,NA,NA,"4W2'","22S0'",NA,NA,NA,NA,"30/12/2011",NA,NA
"16","2016-08-23 10:59:04-03","NHMLondon","NHM-LONDON-BOT","BM000080414","S","Plantae","Celastraceae","Tontelea","lanceolata","Tontelea lanceolata","(Miers) A.C.Sm.",NA,"1998",NA,"Gardner","5388","1837","08",NA,"Brasil","Rio de Janeiro","<a href=http://www.nhm.ac.uk/services/media-store/asset/7ec5d7582c3a73688930969759afde465f8f289f/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"-42.64735","-22.531489",NA,NA,NA,NA,NA,"-42.64735","-22.531489",NA,NA,NA,NA,NA,"Isotype","NHMUK:ecatalogue:464666"
"17","2016-08-23 10:59:04-03","NHMLondon","NHM-LONDON-BOT","BM000574305","S","Plantae","Celastraceae","Tontelea","lanceolata","Tontelea lanceolata","(Miers) A.C.Sm.",NA,NA,NA,"George Gardner; b.1812; d.1849; Gardner","5388",NA,NA,NA,"Brasil","Rio de Janeiro","<a href=http://www.nhm.ac.uk/services/media-store/asset/8e8ff3168b9da19f5fae92aa84d5d62b815e2318/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"-42.64735","-22.531489",NA,NA,NA,NA,NA,"-42.64735","-22.531489",NA,NA,NA,NA,NA,"Isotype","NHMUK:ecatalogue:4980558"
