"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","relatedCatalogItem","recordNumber","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","fieldNumber","preparationType","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"1","2020-02-08 08:46:37-03","NBC","NL-BOTANY","L.1531888","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Fiebrig K","1903","03","01","Southern America","Paraguay","Cordillera de Altos.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1531888 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1531888","NL-L1531888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:46:37-03","NBC","NL-BOTANY","U.1458900","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Simonis JE; Pérez de Molas LF; Hahn WJ; Duré R","1983","03","16","Southern America","Paraguay",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1458900 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1458900","NL-U1458900","Westra LYT","1983","11","01","Caaguazú","U 0141815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:41:09-03","MN","R","44780","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb. f.","Hoehne, F.C.","1911","02",NA,NA,"Brasil",NA,"Comissão Rondon",NA,NA,"Hoehne, F.C.",NA,NA,NA,"Mato Grosso do Sul",NA,"4954","Corumbá","-57.6533012390137","-19.0091991424561","295160","auto",NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:41:09-03","MN","R","3234","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb. f.","Hoehne, F.C.","1911","09","02",NA,"Brasil",NA,NA,NA,NA,"Hoehne, F.C.",NA,NA,NA,"Mato Grosso do Sul",NA,"4149","Corumbá","-57.6533012390137","-19.0091991424561","295160","auto",NA,NA,NA,NA,NA,NA
"5","2016-07-05 11:14:19-03","FFCLRP","LBMBP","1094","S","Plantae",NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:01:02-03","UNICAMP","UEC","143116","S","Plantae",NA,NA,"Orchidaceae","Trichocentrum","jonesianum","Trichocentrum jonesianum","(Rchb.f.) M.W.Chase & N.H.Williams","Silva, RR; Velásquez, JS","2003","12","18",NA,"Brazil","Topo da Serra Grande, Planatalto Residual do Urucum. Interior de Floresta Estacional Semidecidual.","Erva epífita. Flores verdes com mancha vináceas; labelo alvo.","UEC027372","UEC027372","Meneguzzo, TEC","2015",NA,NA,"Mato Grosso do Sul",NA,"689","Corumbá","-57.6533012390137","-19.0091991424561","295160","auto","Liliopsida",NA,NA,NA,NA,NA
"7","2015-09-16 05:21:09-03","MNHN","RECOLNAT_MNHN_P","P00437316","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Hassler, E.",NA,"12",NA,NA,"Paraguay","Paraguay : in silvis ad ripam lagunae Ypacaray","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00437316' target='other'> <mi>dwc_moreinfo</mi></a>","P00437316","P00437316_01 P00437316_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"709","hb",NA,NA,NA
"8","2015-09-16 05:21:11-03","MNHN","RECOLNAT_MNHN_P","P00437317","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Oncidium","jonesianum","Oncidium jonesianum","Rchb.f.","Hassler, E.",NA,"12",NA,NA,"Paraguay","Paraguay : in silvis ad ripam lagunae Ypacaray","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00437317' target='other'> <mi>dwc_moreinfo</mi></a>","P00437317","P00437317_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"709","hb",NA,NA,NA
"9","2020-10-01 14:26:14-03","JBB","HEPH","23190","S","Plantae",NA,"Asparagales","Orchidaceae","Trichocentrum","jonesianum","Trichocentrum jonesianum","(Rchb.f.) M.W.Chase & N.H.Williams","Salles, AEH","2006","12","17","Southern America","Brasil","Fazenda Ubatan",NA,NA,NA,"Meneguzzo, TEC","2014",NA,NA,"Minas Gerais",NA,"4302","Buritis de Minas",NA,NA,NA,NA,"Monocotyledon",NA,NA,NA,NA,NA
"10","2020-10-01 14:26:14-03","JBB","HEPH","7301","S","Plantae",NA,"Asparagales","Orchidaceae","Trichocentrum","jonesianum","Trichocentrum jonesianum","(Rchb.f.) M.W.Chase & N.H.Williams","Lima, IV","1991","02","18","Southern America","Brasil",NA,"Floração: Janeiro/Fevereiro&nf;Viveiro BAG",NA,NA,"Meneguzzo, TEC","2014",NA,NA,"Amazonas",NA,"13",NA,NA,NA,NA,NA,"Monocotyledon",NA,NA,NA,NA,NA
