"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","individualCount","typeStatus","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","777725","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B.Sm. & Downs","O. A. Guimarães","V. A. de O. Dittrich","239","1996","12","18","South America","Brazil","Paraná","Curitiba","Parque Barigui","-49.35","-25.43","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=55417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777725","NY00777725_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","503284","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B.Sm. & Downs",NA,"G. G. Hatschbach","9707","1963","02","03","South America","Brazil","Paraná","Curitiba","Rod. do Café, Rio Iguaçú","-49.2731","-25.4281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=55418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503284","NY00503284_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-10-14 10:07:08-03","FURB","FURB","24848","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B.Sm. & Downs","Mota, NFO","Verdi, M.; Souza, N.L. de & Klemz, G.","3836","2010","03","09",NA,"Brasil","Santa Catarina","Rio Fortuna","Canyon Espraiado / Campo dos Padres.","-49.3205556","-27.9905555",NA,"Florística IFFSC 193","FURB04007","FURB04007","1450","1450","2012","05","-49.3205556","-27.9905555",NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:47:51-03","MBM","MBM","30340","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs","Smith, L.B.","Hatschbach, G.","33447","1973","11","30","Southern America","Brazil","Paraná","Curitiba","Jardim Natália","-49.2731018066406","-25.4277992248535",NA,NA,"MBM030340","MBM030340",NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA
"5","2020-12-21 16:47:51-03","MBM","MBM","20428","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs","Smith, L.B.","Hatschbach, G.","28304","1971","12","06","Southern America","Brazil","Paraná","Palmas","Santo Agostinho","-51.9906005859375","-26.4841995239258",NA,NA,"MBM020428","MBM020428",NA,NA,NA,NA,NA,NA,"46666","auto",NA,NA,NA,NA
"6","2020-12-21 16:47:51-03","MBM","MBM","30333","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs","Hatschbach, G.","Hatschbach, G.","33392","1973","11","18","Southern America","Brazil","Paraná","Quatro Barras","Rio Taquari","-49.0769004821777","-25.3656005859375",NA,NA,"MBM030333","MBM030333",NA,NA,NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA
"7","2020-12-21 16:47:51-03","MBM","MBM","35979","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs","Smith, L.B.","Hatschbach, G.","9707","1963","02","03","Southern America","Brazil","Paraná","Curitiba","Rodovia do Café, Rio Iguaçu","-49.2731018066406","-25.4277992248535",NA,NA,"MBM035979","MBM035979",NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA
"8","2020-12-21 16:47:51-03","MBM","MBM","76157","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs","Kral, R.","Kummrow, R.","1623","1981","12","22","Southern America","Brazil","Paraná","Piraquara","Purgatório","-49.0633010864258","-25.4416999816895",NA,NA,"MBM076157","MBM076157",NA,NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA
"9","2020-12-21 16:47:51-03","MBM","MBM","111527","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs","Kral, R.","Silva, J.M.; Cordeiro, J.; Cordeiro, J.","258","1986","12","09","Southern America","Brazil","Paraná","Piraquara","São Roque","-49.0633010864258","-25.4416999816895",NA,NA,"MBM111527","MBM111527",NA,NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA
"10","2020-12-21 16:47:51-03","MBM","MBM","57737","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","reitzii","Xyris reitzii","L.B. Sm. & Downs","Kral, R.","Hatschbach, G.","40463","1977","10","21","Southern America","Brazil","Paraná","Tijucas do Sul","Rincão","-49.1988983154297","-25.9281005859375",NA,NA,"MBM057737","MBM057737",NA,NA,NA,NA,NA,NA,"25228","auto",NA,NA,NA,NA
