"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","typeStatus","continentOcean","preparationType","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-04-05 14:33:47-03","UNESC","CRI","3016","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","reitzii","Myrcia reitzii","(D.Legrand) Mazine","Marcos Sobral","Raquel Rejane Bonatto Negrelle","8","1992","03","10","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","Habitat: mata Atlântica (formação terras baixas) Habito: árvore","CRI005244","CRI005244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","3014","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","reitzii","Myrcia reitzii","(D.Legrand) Mazine","Marcos Sobral","Raquel Rejane Bonatto Negrelle; C. Londero","542","1992","11","06","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","Habitat: mata Atlântica (formação terras baixas) Habito: árvore","CRI005246","CRI005246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:47-03","UNESC","CRI","3017","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","reitzii","Myrcia reitzii","(D.Legrand) Mazine","Marcos Sobral","Raquel Rejane Bonatto Negrelle","591","1992","11","16","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","Habitat: mata Atlântica (formação terras baixas) Habito: árvore","CRI005243","CRI005243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:47-03","UNESC","CRI","3018","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","reitzii","Myrcia reitzii","(D.Legrand) Mazine","Marcos Sobral","Raquel Rejane Bonatto Negrelle","412","1992","10","10","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","Habitat: mata Atlântica (formação terras baixas) Habito: árvore","CRI005242","CRI005242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:47-03","UNESC","CRI","3015","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","reitzii","Myrcia reitzii","(D.Legrand) Mazine","Marcos Sobral","Raquel Rejane Bonatto Negrelle","42","1992","01","11","Brasil","Santa Catarina","Itapoá","Mata Atlântica (formação terras baixas).","-48.65","-26.15","48º39'W","26º9'S","5","5","Habitat: mata Atlântica (formação terras baixas) Habito: árvore","CRI005245","CRI005245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:47-03","UNESC","CRI","2993","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","reitzii","Myrcia reitzii","(D.Legrand) Mazine","Marcos Sobral","Raquel Rejane Bonatto Negrelle; C. Londero","695","1993","02","15","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","Habitat: mata Atlântica (formação terras baixas) Habito: árvore","CRI005247","CRI005247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","615518","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","reitzii","Marlierea reitzii","D.Legrand","C. M. D. E. Legrand","R. Reitz","8786","1959","04","02","Brazil","Santa Catarina","Lauro Muller","Vargem Grande","-49.3967","-28.3931",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615518","NY00615518_01","Magnoliophyta","Myrtales","paratype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","405299","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","reitzii","Marlierea reitzii","D.Legrand",NA,"R. Reitz","8095","1958","12","17","Brazil","Santa Catarina",NA,"Vargem Grande; Lauro Müller",NA,NA,NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405299","NY00405299_01","Magnoliophyta","Myrtales","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","615515","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","reitzii","Marlierea reitzii","D.Legrand","M. L. Kawasaki","G. G. Hatschbach","12384","1965","02","23","Brazil","Paraná","Morretes","Estr. da Graciosa, Rio Mae Catira","-48.8342","-25.4769",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615515","NY00615515_01","Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","615509","PreservedSpecimen","Plantae","Myrtaceae","Marlierea","reitzii","Marlierea reitzii","D.Legrand","M. Sobral","J. M. Silva","2249","1997","11","17","Brazil","Paraná","Piraquara","Estrada Piraquara a Roça Nova, km. 4","-49.0631","-25.4419",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615509","NY00615509_01","Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
