"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","typeStatus","class","infraspecificEpithet","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:58-03","UNESC","CRI","9353","PreservedSpecimen","Plantae","Rubiaceae","Alseis","floribunda","Alseis floribunda","Schott","M. Sobral","2010","11","23","M. Verdi; D.h. klettenberg e G. Klemz","3733","2010","02","22","Brasil","Santa Catarina","Orleans","Barra do Rio Novo.","-49.319167","-28.348056","49º19'9''W","28º20'53''S","206","206","Floresta Ombrófila Densa","CRI009090","CRI009090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:58-03","UNESC","CRI","12271","PreservedSpecimen","Plantae","Rubiaceae","Alseis","floribunda","Alseis floribunda","Schott","Seubert, RC","2015","04","22","Seubert, RC; Adenesky-Filho, E.: Hofschneider. E.: J.A. & Gebien, W.","135","2015","04","22","Brasil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí","-49.199444","-27.106667","49º11'58''W","27º6'24''S","653","653","Doação Herbário FURB (47227) Habito: Arvoreta","CRI010453","CRI010453",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","396601","PreservedSpecimen","Plantae","Rubiaceae","Alseis","floribunda","Alseis floribunda","Schott",NA,NA,NA,NA,"S. G. Silva","678","1940","10","05","Brazil","Rio de Janeiro","Rio de Janeiro","Vista Chineza","-43.249313","-22.973268",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=234828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396601","NY00396601_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1550375","PreservedSpecimen","Plantae","Rubiaceae","Alseis","floribunda","Alseis floribunda","Schott",NA,NA,NA,NA,"R. Reitz","2622","1956","02","04","Brazil","Santa Catarina","Ibirama","Horto Floresta I. N. P., Ibirama","-49.5178","-27.0569",NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1816489' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550375","NY01550375_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1550348","PreservedSpecimen","Plantae","Rubiaceae","Alseis","floribunda","Alseis floribunda","Schott",NA,NA,NA,NA,"A. Löfgren","11448","1898","11","11","Brazil","São Paulo","Praia Grande",NA,"-46.4000015258789","-24",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1816429' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550348","NY01550348_01","Magnoliophyta","Gentianales","South America","sheet","22363","auto",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","593259","PreservedSpecimen","Plantae","Rubiaceae","Alseis","floribunda","Alseis floribunda","Schott","E. S. Silva",NA,NA,NA,"L. M. Nascimento","286","1999","11","23","Brazil","Pernambuco","Sao Lourenço da Mata","Estaçao Ecológica do Tapacurá","-34.95027778","-8.0127778",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=234808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593259","NY00593259_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","396599","PreservedSpecimen","Plantae","Rubiaceae","Alseis","floribunda","Alseis floribunda","Schott","A. C. Brade",NA,NA,NA,"Altamiro","137","1945","10","06","Brazil","Rio de Janeiro","Itatiaia","Estrada Maromba","-44.5631","-22.4961",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=234811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396599","NY00396599_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","799034","PreservedSpecimen","Plantae","Rubiaceae","Alseis","floribunda","Alseis floribunda","Schott","L. B. Smith",NA,NA,NA,"A. Bresolin","873","1973","10","17","Brazil","Santa Catarina","Paulo Lopes","Bom Retiro, Paulo Lopez","-48.6833","-27.9619",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=234816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799034","NY00799034_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","632444","PreservedSpecimen","Plantae","Rubiaceae","Alseis","floribunda","Alseis floribunda","Schott","M. R. C. Paiva",NA,NA,NA,"J. A. Ferreira",NA,"2001","04","17","Brazil","Paraná","Rancho Alegre","Rancho Alegre. Fazenda Congonhas","-50.9131","-23.07",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=234815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632444","NY00632444_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","949009","PreservedSpecimen","Plantae","Rubiaceae","Alseis","floribunda","Alseis floribunda","Schott","E. Tameirão Neto",NA,NA,NA,"E. T. Neto","2352","1997","01","29","Brazil","Minas Gerais","Aimorés","Aimorés. Margem direita do rio Manhuaçu.","-41.0639","-19.4958",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022858' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949009","NY00949009_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1550372","PreservedSpecimen","Plantae","Rubiaceae","Alseis","floribunda","Alseis floribunda","Schott",NA,NA,NA,NA,"R. Reitz","4329","1957","06","15","Brazil","Santa Catarina","Vidal Ramos","Sabiá, Vidal Ramos","-49.3556","-27.3919",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1816485' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550372","NY01550372_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
