"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","class","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber"
"1","2020-09-23 10:35:52-03","E","E","394845","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","reineckii","Alternanthera reineckii","isotype","Reineck, M. & Czermak, J.","46","1905","03","11","E. Tropical South America","BR","Palo Alegre:","herbarium specimen of unspecif","BGBASE:443363","<a href=http://data.rbge.org.uk/herb/E00394845 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00394845",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","823448","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","reineckii","Alternanthera reineckii",NA,"L. B. Smith","15726","1971","12","08","South America","Brazil","6 km east of Pôrto União","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823448","Magnoliophyta","Caryophyllales","Briq.","L. B. Smith","Santa Catarina","Pôrto Uniao","-51.0781","-26.2383","NY00823448_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","823447","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","reineckii","Alternanthera reineckii",NA,"L. B. Smith","8368","1956","12","06","South America","Brazil","North of Curitibanos on the Estrada de Rodagem Federal. 32 km N of C (ERF 252).","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823447","Magnoliophyta","Caryophyllales","Briq.","L. B. Smith","Santa Catarina","Curitibanos","-50.5842","-27.2831","NY00823447_01","850","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:18:43-03","UFRJ","RFA","9592","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","reineckii","Alternanthera reineckii",NA,"G.G. Hatschbach","21958","1969","07","17",NA,"Brasil","Fazenda Santa Cruz",NA,NA,"Reptante, radicante do pantanal.","RFA28141",NA,NA,"Briq.","C.M. Pedersen","Mato Grosso do Sul","Aquidauana","-55.7872009277344","-20.4710998535156",NA,NA,NA,"1970","212961","auto",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:33:11-03","EAO","IAN","17961","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","reineckii","Alternanthera reineckii",NA,"Pires, JM; Black, GA","977","1945","10","25","Southern America","Brasil","Terra úmida.",NA,NA,NA,"IAN017961","Dicotiledônea",NA,"Briq.","Mears, JA","Amazonas","Benjamin Constant","-70.0310974121094","-4.38305997848511","IAN017961",NA,NA,"1980","293020","auto","11",NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:54:12-03","NBC","NL-BOTANY","L.1683707","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","reineckii","Alternanthera reineckii",NA,"Pedersen TM",NA,"1969","03","19","Southern America","Argentina","Plantae Argentinae. Bare, damp clay. Paso Pacú. Prov. Corrrientes, Dep. Concepcion.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1683707 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1683707",NA,"Caryophyllales","Briq.",NA,NA,NA,NA,NA,"NL-L1683707",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"7","2020-02-08 08:54:12-03","NBC","NL-BOTANY","L.1683708","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","reineckii","Alternanthera reineckii","isotype","Reineck EM; Czermak J",NA,"1898","11","01","Southern America","Brazil","Plantae Brasilae meridonalis. Prov. Rio Grande Do Sul: Vato Alegre: Waldschlaye maih.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1683708 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1683708",NA,"Caryophyllales","Briq.",NA,NA,NA,NA,NA,"NL-L1683708",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"8","2020-02-08 08:54:12-03","NBC","NL-BOTANY","L.3709958","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","reineckii","Alternanthera reineckii",NA,"Pedersen TM",NA,"1983","12","20","Southern America","Argentina","Plantae Argentinae. On the muddy, wooded shores of a large reed-swamp, in some shade. Carambola. Dep. Concepción. Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3709958 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3709958",NA,"Caryophyllales","Briq.",NA,NA,NA,NA,NA,"NL-L3709958",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"9","2020-02-08 08:54:12-03","NBC","NL-BOTANY","U.1052865","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","reineckii","Alternanthera reineckii",NA,"Lindeman JC",NA,"1981","01","06","Southern America","Brazil","Flora Brasiliensis. Rio Grande do Sul, Embrapa - UEPAE, former Faz. 5 Cruzes, 10 km SE of Bagé grazed natural campo, in wet valley.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1052865 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1052865",NA,"Caryophyllales","Briq.",NA,NA,NA,NA,NA,"NL-U1052865",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"10","2020-02-08 08:54:12-03","NBC","NL-BOTANY","U.1054590","PreservedSpecimen","Plantae","Amaranthaceae","Alternanthera","reineckii","Alternanthera reineckii",NA,"Petersen TM",NA,"1951","12","06","Southern America","Argentina","Estancia,,Santa Teresa'. Dep. Mburucuyá. Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1054590 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1054590",NA,"Caryophyllales","Briq.",NA,NA,NA,NA,NA,"NL-U1054590",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
