"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","minimumElevationInMeters","individualCount","maximumElevationInMeters","class","typeStatus","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","441535","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Scrophulariaceae","Buddleja","oblonga","Buddleja oblonga","Benth.","G. G. Hatschbach","G. G. Hatschbach","37055","1975","09","18","South America","Brazil","Paraná","Piraí do Sul","Jararaca","-49.9483","-24.5261","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=735760' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441535","NY00441535_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:33:34-03","MN","R","11692","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Buddleja","oblonga","Buddleja oblonga","Benth.","Norman, E.M.","Glaziou, A.F.M.","5971 a","1872","07","11",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,"Plantas do Brasil Central","R000011692","R000011692_001","1969","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:41:14-03","UNICAMP","UEC","20820","S","Plantae","Magnoliopsida",NA,"Scrophulariaceae","Buddleja","oblonga","Buddleja oblonga","Benth.","Coelho, GP","Hatschbach, G","37055","1975","09","18",NA,"Brazil","Paraná","Piraí do Sul",NA,"-49.948600769043","-24.5261001586914",NA,"Arbusto 1m 20; flor alva, margem corrêgo.","UEC065041","UEC065041","2016","37171","auto","08","17",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:31:45-03","MBM","MBM","25969","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Buddleja","oblonga","Buddleja oblonga","Benth.","Smith, L.B.","Hatschbach, G.","30742",NA,NA,NA,"Southern America","Brazil","Paraná","Palmas","Morro da Baliza, Lajeadinho","-51.9906005859375","-26.4841995239258",NA,NA,"MBM025969","MBM025969",NA,"46666","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:31:45-03","MBM","MBM","36009","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Buddleja","oblonga","Buddleja oblonga","Benth.","Ferreira, H.D.","Hatschbach, G.","3430",NA,NA,NA,"Southern America","Brazil","Paraná","Palmas","Rio Lajeado Bonito","-51.9906005859375","-26.4841995239258",NA,NA,"MBM036009","MBM036009",NA,"46666","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:31:45-03","MBM","MBM","65802","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Buddleja","oblonga","Buddleja oblonga","Benth.","Hatschbach, G.","Hatschbach, G.","37055",NA,NA,NA,"Southern America","Brazil","Paraná","Piraí do Sul","Jararaca","-49.948600769043","-24.5261001586914",NA,NA,"MBM065802","MBM065802",NA,"37171","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-25 12:15:41-03","MNHN","RECOLNAT_MNHN_P","P00641166","PreservedSpecimen",NA,NA,NA,"Scrophulariaceae","Buddleja","oblonga","Buddleja oblonga","Benth.","Norman","Glaziou, A.",NA,"1872","7","11",NA,"Brésil",NA,NA,"Rio Janeiro, Itatiaia",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00641166' target='other'> <mi>dwc_moreinfo</mi></a>","P00641166","P00641166_01",NA,NA,NA,NA,NA,"5971 a",NA,NA,NA,NA,NA,NA,NA
"8","2015-09-04 15:57:42-03","MNHN","RECOLNAT_MNHN_P","P04525583","PreservedSpecimen",NA,NA,NA,"Scrophulariaceae","Buddleja","oblonga","Buddleja oblonga","Benth.",NA,"Hatschbach, G.",NA,"1972","11","20",NA,"Brasil","Paraná","Palmas","Morro da Baliza, Lageadinho.","-51.9906005859375","-26.4841995239258","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04525583' target='other'> <mi>dwc_moreinfo</mi></a>","P04525583","P04525583_01",NA,"46666","auto",NA,NA,"30742",NA,NA,NA,NA,NA,NA,NA
"9","2009-07-09 17:05:00-03","MO","MOBOT","2455138","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Buddleja","oblonga","Buddleja oblonga","Benth.",NA,"Gert G. Hatschbach","Hatschbach 30742",NA,NA,NA,"South America","Brazil","Paraná",NA,"Palmas. Rio Lageado Bonito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2013-02-06 15:58:00-02","MO","MOBOT","3394768","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Buddleja","oblonga","Buddleja oblonga","Benth.","E.Norman","Gert G. Hatschbach","Hatschbach 30742","1972",NA,NA,"South America","Brazil","Paraná",NA,"Morro da Baliza, lageadinho mun. parmas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1100.00000000","1",NA,NA,NA,NA,NA
"11","2013-02-05 09:41:00-02","MO","MOBOT","3394826","PreservedSpecimen","Plantae",NA,NA,"Scrophulariaceae","Buddleja","oblonga","Buddleja oblonga","Benth.","E.Norman","Gert G. Hatschbach","Hatschbach 37055","1975",NA,NA,"South America","Brazil","Paraná",NA,"Jararaca. Mun. pirai do Sul.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"12","2020-08-31 08:59:20-03","INPA","INPA","97035","S","Plantae","Dicotyledon Asterids","Lamiales","Scrophulariaceae","Buddleja","oblonga","Buddleja oblonga","Benth.","Smith, LB","Hatschbach, GG","30742","1972","11","20","Southern America","Brasil","Paraná","Palmas","Morro da Baliza, Lageadinho","-51.9906005859375","-26.4841995239258",NA,NA,"INPA0097035",NA,"1974","46666","auto",NA,NA,NA,"1100",NA,"1100",NA,NA,NA,NA
