"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","phylum","order","infraspecificEpithet","continentOcean","preparationType","class","typeStatus","relatedCatalogItem","relationshipType","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:33:42-03","UNESC","CRI","1469","PreservedSpecimen","Plantae","Meliaceae","Cabralea","canjerana","Cabralea canjerana","(Vell.) Mart.","L. C. Schimmelpfeng","R. R. B. Negrelle; C. Londero","1992","11","07","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: arbórea","CRI004590","CRI004590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:42-03","UNESC","CRI","3945","PreservedSpecimen","Plantae","Meliaceae","Cabralea","canjerana","Cabralea canjerana","(Vell.) Mart.","J. A. Jarenkow","J. A. Jarenkow; J. L. Waechter","1990","10","18","Brasil","Rio Grande do Sul","Torres","Morro Azul.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","36","36","Habitat: mata Habito: arbórea","CRI004599","CRI004599","1737",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:42-03","UNESC","CRI","5064","PreservedSpecimen","Plantae","Meliaceae","Cabralea","canjerana","Cabralea canjerana","(Vell.) Mart.","Vanilde Citadini-Zanette","Vanilde Citadini-Zanette","1996","11","04","Brasil","Santa Catarina","Lauro Muller",NA,"-49.395833","-28.391667","49º23'45''W","28º23'30''S",NA,NA,NA,"CRI004582","CRI004582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:42-03","UNESC","CRI","4987","PreservedSpecimen","Plantae","Meliaceae","Cabralea","canjerana","Cabralea canjerana","(Vell.) Mart.","Denise de Bem Bez","Denise de Bem Bez","1996","10","13","Brasil","Santa Catarina","Santa Rosa do Sul",NA,"-49.715","-29.138333","49º42'54''W","29º8'18''S","19","19","Habito: arbórea","CRI004575","CRI004575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:42-03","UNESC","CRI","4567","PreservedSpecimen","Plantae","Meliaceae","Cabralea","canjerana","Cabralea canjerana","(Vell.) Mart.",NA,"Zenaide P. Topanotti",NA,NA,NA,"Brasil","Santa Catarina","Criciúma",NA,"-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,NA,"Habito: arbórea","CRI004589","CRI004589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:34-03","UNESC","CRI","3608","PreservedSpecimen","Plantae","Meliaceae","Cabralea","canjerana","Cabralea canjerana","(Vell.) Mart.","V. C. Zanette","V. Citadini-Zanette; et al.","1995","01","16","Brasil","Santa Catarina","Morro Grande","Pingador, Três Barras.","-49.721111","-28.801111","49º43'16''W","28º48'4''S",NA,NA,"Habitat: mata","CRI004597","CRI004597","2006","1995","06","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:34-03","UNESC","CRI","15217","PreservedSpecimen","Plantae","Meliaceae","Cabralea","canjerana","Cabralea canjerana","(Vell.) Mart.","Aline Votri Guislon & Renato Colares","Aline V. Guislon; Amanda Matiola; Josue C. Nicolau & Renato Colares","2018","10","09","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves Área L6 Bairro Dagostim","-49.359722","-28.765833","49º21'35''W","28º45'57''S","40","40","Habito: Arbóreo","CRI014632","CRI014632",NA,"2018","10","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:33-03","UNESC","CRI","1057","PreservedSpecimen","Plantae","Meliaceae","Cabralea","canjerana","Cabralea canjerana","(Vell.) Mart.","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1991","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI004571","CRI004571","1335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:34-03","UNESC","CRI","6635","PreservedSpecimen","Plantae","Meliaceae","Cabralea","canjerana","Cabralea canjerana","(Vell.) Mart.","R. M. Klein","V. Mahl","1979","10","10","Brasil","Rio Grande do Sul","Tenente Portela","Parque de Turvo.","-53.758611","-27.371667","53º45'31''W","27º22'18''S",NA,NA,"Habito: arbórea","CRI004576","CRI004576","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:34-03","UNESC","CRI","3585","PreservedSpecimen","Plantae","Meliaceae","Cabralea","canjerana","Cabralea canjerana","(Vell.) Mart.","V. C. Zanette","V. Citadini-Zanette; et al.","1995","01","16","Brasil","Santa Catarina","Morro Grande","Três Barras, Pingador.","-49.721111","-28.801111","49º43'16''W","28º48'4''S",NA,NA,"Habitat: Floresta Ombrófila Densa Montana","CRI004577","CRI004577","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
