"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber","typeStatus","class","infraspecificEpithet"
"1","2016-09-30 17:18:00-03","NY","NYBG","02056273","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Bignonia","longiflora","Bignonia longiflora","A. R. Zuntini","L. J. Dorr","6502","1989","07","06","South America","Ecuador","Loja","Valley of the Río Puyanga, ca. 25 km SE of Balsas (El Oro).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2419956' target='other'> <mi>dwc_moreinfo</mi></a>","NY02056273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","402898","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","vellosoi","Handroanthus vellosoi",NA,"E. de Souza Ferreira da Rocha","672","1981","10","08","South America","Brazil","Rio de Janeiro","Rio de Janeiro, Alto da Boa Vista, Estrada da Vista Chinesa, Km 2, Horto do CBRJ.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=216974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402898","(Toledo) Mattos","Rio de Janeiro","-43.272486","-22.971682","NY00402898_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","402770","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Handroanthus","vellosoi","Handroanthus vellosoi",NA,"P. K. H. Dusén","15440","1914","08","26","South America","Brazil","Paraná","Curityba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=216973' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402770","(Toledo) Mattos","Curitiba","-49.2731","-25.4281","NY00402770_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-28 13:11:07-03","MCN-PUC-MINAS","HPUC-MG","ANG1013","S","Plantae",NA,NA,"Bignoniaceae","Handroanthus","vellosoi","Handroanthus vellosoi","MFV Starling","Sr. Arlindo Rodrigues Fernandes responsável SERTA PUC",NA,"2012","09","21",NA,"Brasil","Minas Gerais","Mata da PUCMinas",NA,"Flores amarelas.",NA,NA,"Belo Horizonte","-43.937801361084","-19.9207992553711",NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:28:58-03","UNESP-IBB","BOTU","12500","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Handroanthus","vellosoi","Handroanthus vellosoi",NA,"Gemtchújnicov, I.D.","1508","1967","08","17",NA,"Brasil","São Paulo","Aproximadamente a 1 km a sudeste da estação de estrada de ferro SorocaBahiana, Rubião Júnior",NA,"Espontânea na época de floração não há folhas","BOTU012500","(Toledo) Mattos","Botucatu",NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:19:10-03","UFRJ","RFA","15477","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","vellosoi","Tabebuia vellosoi","P. Occhioni","P. Occhioni","6265","1974","09","19",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia",NA,"Árvore variando de 8 a 10 metros de altura,caducifolia,flor amarelo vivo-brilhante","RFA13451","Toledo","Itatiaia","-44.5633010864258","-22.4960994720459",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:19:11-03","UFRJ","RFA","9692","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tecoma","longiflora","Tecoma longiflora",NA,"E.M. Occhioni",NA,"1970","10","00",NA,"Brasil",NA,"Cult. no Jardim Botânico",NA,"Árvore de 6-8 m., caducifolia, flor amarelo ouro.","RFA28437","(Vell.) Bureau & K.Schum.","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:19:11-03","UFRJ","RFA","14978","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tecoma","longiflora","Tecoma longiflora",NA,"A.P. Duarte","11059","1968","08","26",NA,"Brasil","Minas Gerais","Sete Lagoas.",NA,"Árvore de porte médio.","RFA13131","(Vell.) Bureau & K.Schum.","Paraopeba","-44.4042015075684","-19.2744007110596",NA,"26090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-10-18 16:24:00-02","UNEMAT","TANG","1583","S","Plantae",NA,NA,"Bignoniaceae","Handroanthus","vellosoi","Handroanthus vellosoi",NA,"Silva, CA","465","2011","09","30",NA,"Brasil","Mato Grosso","Estrada Tangará da Serra- Reserva do Cabaçal ( cerrado).",NA,"Porte arbóreo, flores amarelas, frutos deiscentes.","TANG000001583","(Toledo) Mattos","Tangará da Serra","-57.4858016967773","-14.6194000244141",NA,"175746","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-10-27 11:21:59-03","PUCPR","HUCP","16953","S","Plantae","Eudicotiledonea",NA,"Bignoniaceae","Tabebuia","vellosoi","Tabebuia vellosoi","Selusniaki, M","Selusniaki, M","564","2005","09",NA,NA,"Brasil","Paraná","Água Verde",NA,NA,"HUCP00009412","Toledo","Curitiba","-49.2731018066406","-25.4277992248535","HUCP00009412","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-10-27 11:21:59-03","PUCPR","HUCP","3540","S","Plantae","Eudicotiledonea",NA,"Bignoniaceae","Tabebuia","vellosoi","Tabebuia vellosoi","Silva, SM","Britez, RM","1120",NA,NA,NA,NA,"Brasil","Paraná","Ilha do Mel, Morro do Meio.",NA,NA,"HUCP00009395","Toledo","Paranaguá","-48.5092010498047","-25.5200004577637","HUCP00009395","24916","auto",NA,NA,"1986","11","21",NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:03:16-03","ESALQ","ESA","17287","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Handroanthus","vellosoi","Handroanthus vellosoi","Rodrigues, M.C.","Faganello, C.R.F.","1.0","1994","09","02",NA,"Brasil","São Paulo",NA,NA,NA,"ESA017287",NA,"Piracicaba","-47.6399993896484","-22.7199993133545",NA,"44778","auto",NA,NA,"2014","09","03",NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:03:16-03","ESALQ","ESA","17305","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Handroanthus","vellosoi","Handroanthus vellosoi","Rodrigues, M.C.","Vale, G.E.","1.0","1994","09","15",NA,"Brasil","São Paulo",NA,NA,NA,"ESA017305",NA,"Piracicaba","-47.6399993896484","-22.7199993133545","ESA017305","44778","auto",NA,NA,"2014","09","03",NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:03:16-03","ESALQ","ESA","11575","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Handroanthus","vellosoi","Handroanthus vellosoi","Rodrigues, M.C.","Souza, V.C. ; Sakuragui, C.M.","3449.0","1993","05","02",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,"ESA011575",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328",NA,"26557","auto",NA,NA,"2014","09","03",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:03:16-03","ESALQ","ESA","11577","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bignoniaceae","Handroanthus","vellosoi","Handroanthus vellosoi","Rodrigues, M.C.","Souza, V.C. ; Sakuragui, C.M.","3451.0","1993","05","02",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,NA,"ESA011577",NA,"Santana do Riacho","-43.7144012451172","-19.1688995361328",NA,"26557","auto",NA,NA,"2014","09","03",NA,NA,NA,NA,NA,NA,NA
"16","2021-01-14 15:24:42-03","MN","R","12378","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","vellosoi","Tabebuia vellosoi","Gentry, A.","Glaziou, A.F.M.","8213","1875","08","26",NA,"Brasil","Rio de Janeiro",NA,NA,"Plantas do Brasil Central","R000012378","Toledo",NA,NA,NA,"R000012378_001",NA,NA,NA,NA,"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-07-02 14:55:22-03","JBP","HPL","1870","S","Plantae",NA,NA,"Bignoniaceae","Handroanthus","vellosoi","Handroanthus vellosoi","V.C. Souza","H. Lorenzi","2883","2001","02","28",NA,"Brasil","AC","Em mata semidecídua.",NA,NA,NA,"(Toledo) Mattos","Brasiléia","-68.810972",NA,NA,NA,NA,"68° 48' 39,5 W","10° 57' 89,8 S","2013","05","14","258","258",NA,NA,NA,NA,NA
