"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","2063378","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","araucariensis","Thelypteris araucariensis","Ponce","J. B. S. Pereira","482","2009","04","09","South America","Brazil","Paraná","Campina Grande do Sul","Parque Estadual Pico Paraná. Morro Camapuã","-48.83","-25.25","1200","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2463850' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063378","NY02063378_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2063372","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","araucariensis","Thelypteris araucariensis","Ponce","J. B. S. Pereira","445","2009","02","08","South America","Brazil","Paraná","Campina Grande do Sul","Parque Estadual Pico Paraná. Morro Camapuã","-48.87","-25.25","1000","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2463810' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063372","NY02063372_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1145005","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","araucariensis","Thelypteris araucariensis","Ponce","M. J. M. Christenhusz","4754","2008","02","14","South America","Brazil","Paraná","Piraquara","Road to Mananciais da Serra (+/- 25 km from Curitíba), near Greder. (Expedicão científica CNPq Proc. EXC no. 030/07-CR.)","-49.07","-25.52","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301925' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145005","NY01145005_01","M. J. M. Christenhusz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","886510","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Thelypteridaceae","Thelypteris","araucariensis","Thelypteris araucariensis","Ponce","P. H. Labiak E.","3965","2007","06","28","South America","Brazil","Paraná","Antonina","Reserva Natural do Cachoeira - SPVS - trilha do Neno Floresta Atlântica terras baixas e mangue.","-48.6567","-25.3667","10","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886510","NY00886510_01","F. B. Matos; P. H. Labiak E.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:26:22-03","PUCPR","HUCP","17791","S","Plantae","Monilofita",NA,"Thelypteridaceae","Amauropelta","araucariensis","Amauropelta araucariensis","(Ponce.) Salino & Almeida","Farconde, J","008","2006","03","15",NA,"Brasil","Paraná","Curitiba","Parque Tanguá","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"HUCP00002281","HUCP00002281","Plombom, L","2007","07","13","25180","auto",NA,NA,NA,NA
"6","2019-12-04 15:26:22-03","PUCPR","HUCP","22055","S","Plantae","Monilofita",NA,"Thelypteridaceae","Amauropelta","araucariensis","Amauropelta araucariensis","(Ponce.) Salino & Almeida","Canestraro, BK","164",NA,NA,NA,NA,"Brasil","Paraná","Fazenda Rio Grande","Fazenda Experimental Gralha Azul","-49.3081016540527","-25.6574993133545",NA,NA,NA,NA,"HUCP00002331","HUCP00002331","Kersten, RA; Canestraro, BK",NA,NA,NA,"12596","auto",NA,NA,NA,NA
"7","2019-12-04 15:26:22-03","PUCPR","HUCP","22743","S","Plantae","Monilofita",NA,"Thelypteridaceae","Amauropelta","araucariensis","Amauropelta araucariensis","(Ponce.) Salino & Almeida","Canestraro, BK","164","2011","09",NA,NA,"Brasil","Paraná","Fazenda Rio Grande","Fazenda Experimental Gralha Azul","-49.3081016540527","-25.6574993133545",NA,NA,NA,NA,"HUCP00002383","HUCP00002383","Kersten, RA; Canestraro, BK",NA,NA,NA,"12596","auto",NA,NA,NA,NA
"8","2019-12-04 15:26:22-03","PUCPR","HUCP","22802","S","Plantae","Monilofita",NA,"Thelypteridaceae","Amauropelta","araucariensis","Amauropelta araucariensis","(Ponce.) Salino & Almeida","Canestraro, BK","164",NA,NA,NA,NA,"Brasil","Paraná","Fazenda Rio Grande","Fazenda Experimental Gralha Azul","-49.3081016540527","-25.6574993133545",NA,NA,NA,NA,"HUCP00002366","HUCP00002366","Kersten, RA; Canestraro, BK",NA,NA,NA,"12596","auto",NA,NA,NA,NA
"9","2019-12-04 15:26:22-03","PUCPR","HUCP","21815","S","Plantae","Monilofita",NA,"Thelypteridaceae","Amauropelta","araucariensis","Amauropelta araucariensis","(Ponce.) Salino & Almeida","Felitto, G; Menom, L; Souza, F","042","2011","06","04",NA,"Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"HUCP00002241","HUCP00002241","Michelon, C",NA,NA,NA,"12577","auto",NA,NA,NA,NA
"10","2019-12-04 15:26:22-03","PUCPR","HUCP","24170","S","Plantae","Monilofita",NA,"Thelypteridaceae","Amauropelta","araucariensis","Amauropelta araucariensis","(Ponce.) Salino & Almeida","Michelon, C","892","2010","07","14",NA,"Brasil","Paraná","Tibagi",NA,"-50.4136009216309","-24.5093994140625",NA,NA,NA,NA,"HUCP00002219","HUCP00002219","Michelon, C",NA,NA,NA,"56988","auto",NA,NA,NA,NA
