"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","barcode","typeStatus","year","month","occurrenceRemarks","day","order","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","class"
"1","2021-03-30 12:47:33-03","EAO","IAN","101780","PreservedSpecimen","Plantae","Dicotiledônea","Rubiaceae","Amaioua","monteiroi","Amaioua monteiroi","Standl.","Pires, JM","7419","Southern America","Brasil","Pará","FAO. Árvore nº 165 UU TT; 188 UU TT.","IAN101780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:47:33-03","EAO","IAN","48799","PreservedSpecimen","Plantae","Dicotiledônea","Rubiaceae","Amaioua","monteiroi","Amaioua monteiroi","Standl.","Costa, M","290","Southern America","Brasil",NA,"Region Aramanahy.&nf;Highland forest.","IAN048799","isotipo","1932","01","Tree.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:47:33-03","EAO","IAN","XILO3874","PreservedSpecimen","Plantae","Dicotiledônea","Rubiaceae","Amaioua","monteiroi","Amaioua monteiroi","Standl.","Pires, JM","7419","Southern America","Brasil","Pará","FAO. Árvore nº 165 UU TT; 188 UU TT.","IANXILO3874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:47:33-03","EAO","IAN","XILO5300","PreservedSpecimen","Plantae","Dicotiledônea","Rubiaceae","Amaioua","monteiroi","Amaioua monteiroi","Standl.","Capucho, P","586","Southern America","Brasil",NA,"Region Boa Vista.&nf;Terra firme.","IANXILO5300",NA,"1933","05",NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-02-20 13:41:45-03","INPA","INPA-CARPOTECA","18384","Carpo","Plantae","Dicotyledon Asterids","Rubiaceae","Amaioua","monteiroi","Amaioua monteiroi","Standl.","Prance, GT","2852","Southern America","Brasil","Acre","Cruzeiro do Sul - Japiim, Km 18, road Cruzeiro do Sul to Japiim. Forest on terra firme.","INPA0018384",NA,"1966","10",NA,"26","Gentianales",", E de A.","2014","03","28","Cruzeiro do Sul","-72.6699981689453","-7.63111019134521","123037","INPA0018384 INPA0018384_e1","auto",NA,NA,NA
"6","2021-01-10 20:43:46-03","INPA","INPA","18384","S","Plantae","Dicotyledon Asterids","Rubiaceae","Amaioua","monteiroi","Amaioua monteiroi","Standl.","Prance, GT","2852","Southern America","Brasil","Acre","Cruzeiro do Sul - Japiim, Km 18, road Cruzeiro do Sul to Japiim. Forest on terra firme.","INPA0018384",NA,"1966","10",NA,"26","Gentianales",", E de A.","2014","03","28","Cruzeiro do Sul","-72.848905","-7.625147",NA,"INPA0018384 INPA0018384_e1",NA,"-72.848905","-7.625147",NA
"7","2021-01-10 20:43:46-03","INPA","INPA","18384","Carpo","Plantae","Dicotyledon Asterids","Rubiaceae","Amaioua","monteiroi","Amaioua monteiroi","Standl.","Prance, GT","2852","Southern America","Brasil","Acre","Cruzeiro do Sul - Japiim, Km 18, road Cruzeiro do Sul to Japiim. Forest on terra firme.","INPA0018384",NA,"1966","10",NA,"26","Gentianales",", E de A.","2014","03","28","Cruzeiro do Sul","-72.848905","-7.625147",NA,"INPA0018384 INPA0018384_e1",NA,"-72.848905","-7.625147",NA
"8","2019-09-04 19:03:43-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Amaioua","monteiroi","Amaioua monteiroi",NA,"R. C. Monteiro da Costa","290","South America","Brazil",NA,NA,NA,"Type [status unknown]","1932","1",NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Dicotyledoneae"
"9","2015-03-06 22:14:02-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Amaioua","monteiroi","Amaioua monteiroi",NA,"da Costa","586","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Dicotyledoneae"
"10","2019-09-04 19:46:36-03","F","FMNH-SEEDPLANTS","V0068417F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Amaioua","monteiroi","Amaioua monteiroi",NA,"R. C. Monteiro da Costa","290","South America","Brazil",NA,NA,"V0068417F","Holotype","1932","1",NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,"V0068417F_01",NA,NA,NA,"Dicotyledoneae"
