"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","county","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01047754","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","E. Hágsater","F. C. Hoehne","24110","1929","06","17","South America","Brazil","São Paulo","Cabeceira do rio Cotia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1183033' target='other'> <mi>dwc_moreinfo</mi></a>","NY01047754","NY01047754_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","418184","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.",NA,"L. Krieger","134","1942","06","01","South America","Brazil","São Paulo","Santo Amaro, Sao Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=574745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418184","NY00418184_01","-46.7","-23.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:36-03","PUCPR","HUCP","24827","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb. Rodr.","Kersten, RA","Kersten, RA","1689","2017","05","05",NA,"Brasil","Paraná","Rio Guaraguaçu",NA,"Floresta de restinga próxima ao rio Guaraguaçu, sencundária alterada. Epífita, flore com labelo creme claro telapas roxas.","HUCP00024827","HUCP00024827","-48.511100769043","-25.6735992431641","2017","05","05","Pontal do Paraná","19508","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:03:30-03","JBP","HPL","5866","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb. Rodr.","W. Forster","H. Lorenzi","2362","2000","08","29",NA,"Brasil","SP","Coleção do Mauro Peixoto.",NA,NA,NA,NA,"-46.1883","-23.5228","2008","04","01","Mogi das Cruzes","28666","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:26:34-03","IAP","PACA-AGP","103266","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb. Rodr.","Waechter","J. Brustulin","26","2007","05","06",NA,"Brasil","RS","Parque Municipal da Ronda.",NA,"Hábito: epífita","PACA103266",NA,"-50.594722","-29.450833","2008","04","02","São Francisco de Paula",NA,NA,"Liliatae","50°35'41W","29°27'03S",NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:26:34-03","IAP","PACA-AGP","30089","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Epidendrum","hatschbachii","Epidendrum hatschbachii","Schltr.","Emrich-Rambo-Pabst","P. Buck SJ",NA,"1935","01","15",NA,"Brasil","RS","Faz. Englert",NA,"Habitat: In araucarieto Fenofase: flor Hábito: epífito","PACA030089",NA,"-50.5835990905762","-29.4480991363525","1954","09","03","São Francisco de Paula","76715","auto","Liliatae",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:26:34-03","IAP","PACA-AGP","1871","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Epidendrum","hatschbachii","Epidendrum hatschbachii","Schltr.","J. Dutra, Pabst","P. Buck SJ",NA,"1935","01","15",NA,"Brasil","RS","Fazenda Englert",NA,"Habitat: In araucarieto, epiphytica Fenofase: flor","PACA001871",NA,"-50.5835990905762","-29.4480991363525","1954","10","09","São Francisco de Paula","76715","auto","Liliatae",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-10-14 10:04:03-03","FURB","FURB","32084","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","Mancinelli, WS; Engels, ME; Smidt, EC","Korte, A.; Kniess, A.","4620","2010","10","20",NA,"Brasil","Santa Catarina","Rio da Nova Descoberta.",NA,"Florística IFFSC 255 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita;","FURB04702","FURB04702","-48.7808334","-27.81","2012","04",NA,"Santo Amaro da Imperatriz",NA,NA,NA,"-48.7808334","-27.8100000","558","558",NA,NA,NA,NA
"9","2019-08-16 08:40:23-03","UTFPR","HCF","25304","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Barb.Rodr.","M.G. Caxambu","M.G. Caxambu","8107","2018","04","12",NA,"Brasil","PR","Estação Ecológica Municipal Francisco",NA,"erva epífita, heliófita. Flores verde-vináceas. Forófito: Araucaria angustifolia (Bertol.) O. Kuntze (Araucariaceae).",NA,NA,"-51.858917","-25.924167","2018","05","15","Reserva do Iguaçu",NA,NA,NA,"51°51'32,1 W","25°55'27 S","1154","1154",NA,NA,NA,NA
"10","2020-12-21 16:38:23-03","MBM","MBM","390796","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","caldense","Epidendrum caldense","Rodr.","Ariati, V.","Ariati, V.; Felitto, G.; Bianchin, J.E.; Czelusniak, B.H.; Dutra, M.M.; Felitto, G.; Bianchin, J.E.; Czelusniak, B.H.; Dutra, M.M.","985","2014","03","15","Southern America","Brazil","Santa Catarina",NA,NA,"Epífita, flor de cor salmão, labelo amarelo-alvo. Cultivada até florir.; Floresta Ombrófila Mista.","MBM390796","MBM390796","-49.9317016601562","-28.2938995361328","2014","05",NA,"São Joaquim","48290","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
