"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","recordNumber","imagecode","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","dayIdentified","individualCount","eventTime","fieldNumber","sex"
"1","2020-09-23 10:37:50-03","E","E","40791","PreservedSpecimen","Plantae","Compositae","Lychnophora","ericoides","Lychnophora ericoides","Bridgewater, S. & García, A. Ibáñez","1996","10","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:49259","<a href=http://data.rbge.org.uk/herb/E00040791 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00040791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1186005","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","cinerea","Lychnophora cinerea","G. Gardner","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1437210' target='other'> <mi>dwc_moreinfo</mi></a>","NY01186005","Magnoliophyta","Asterales","Sch.Bip.","isolectotype","4833","NY01186005_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1843322","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","ericoides","Lychnophora ericoides","B. Maguire","1963","10","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049970' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843322","Magnoliophyta","Asterales","Mart.",NA,"57094","NY01843322_01","J. Semir","Goiás","Luziânia","Along road to Rio Corumba, 30 km from Gama.","-47.9503","-16.2528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1843342","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","ericoides","Lychnophora ericoides","L. Riedel","1824","08",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049998' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843342","Magnoliophyta","Asterales","Mart.",NA,"442","NY01843342_01","J. Semir",NA,NA,"Itacolumi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","894809","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","ericoides","Lychnophora ericoides","E. Pereira","1955","05","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966002' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894809","Magnoliophyta","Asterales","Mart.",NA,"1403","NY00894809_01",NA,"Minas Gerais","Diamantina","Água Limpa.","-43.6003","-18.2494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1843285","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","ericoides","Lychnophora ericoides","B. Maguire","1963","10","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049893' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843285","Magnoliophyta","Asterales","Mart.",NA,"57094","NY01843285_01","J. Semir","Goiás","Luziânia","Along road to Rio Corumba, 30 km from Gama.","-47.9503","-16.2528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1239473","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","ericoides","Lychnophora ericoides leucopholis","A. F. M. Glaziou",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1470407' target='other'> <mi>dwc_moreinfo</mi></a>","NY01239473","Magnoliophyta","Asterales","Glaz.","isotype","21654","NY01239473_01",NA,"Goiás",NA,"[From protologue: Cabecairas do Rio Gama, au Colomisto]",NA,NA,"leucopholis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1843273","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","ericoides","Lychnophora ericoides","A. F. M. Glaziou","1892",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049876' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843273","Magnoliophyta","Asterales","Mart.",NA,"19477","NY01843273_01","J. Semir","Minas Gerais",NA,"Entre Biribiry et Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1843388","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","ericoides","Lychnophora ericoides","H. S. Irwin","1972","01","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050230' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843388","Magnoliophyta","Asterales","Mart.",NA,"34160A","NY01843388_01","J. Semir","Goiás","Pirenópolis","Serra dos Pirineus, ca. 10 km E. of Pirenópolis","-48.85664","-15.85",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1843291","PreservedSpecimen","Plantae","Asteraceae","Lychnophora","ericoides","Lychnophora ericoides","H. S. Irwin","1965","11","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2049903' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843291","Magnoliophyta","Asterales","Mart.",NA,"9868","NY01843291_01","J. Semir","Goiás","Cristalina","Serra dos Cristais. 12 km S. of Cristalina","-47.6","-16.85843",NA,"1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
