"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","scientificNameAuthorship","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","verbatimLongitude","verbatimLatitude"
"1","2016-09-29 20:10:00-03","NY","NYBG","687544","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Bromidium","ramboi","Bromidium ramboi","Z. E. Rúgolo de Agrasar","L. B. Smith","10174","1957","01","16","South America","Brazil","Santa Catarina","Sao Joaquim","Banks of Rio Capiveras, 3-7 km west of the Serra do Oratório","-49.9317","-28.2942","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=877666' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687544","NY00687544_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:15:52-03","NBC","NL-BOTANY","WAG.1828190","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Agrostis","ramboi","Agrostis ramboi",NA,"Rambo B",NA,"1957","01","22","Southern America","Brazil",NA,NA,"Brasiliae australis. Sta Catarina, Campo dos Padres p. Bom Retiro, ad rupes in rivulo.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1828190 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1828190","NL-WAG1828190","Magnoliopsidae","Parodi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:16:33-03","NBC","NL-BOTANY","L.1224405","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Bromidium","ramboi","Bromidium ramboi ramboi",NA,"Klein RM",NA,"1962","12","09","Southern America","Brazil",NA,NA,"Santa Catarina, Matos Costa.Na água.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1224405 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1224405","NL-L1224405","Magnoliopsidae",NA,"ramboi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:16:33-03","NBC","NL-BOTANY","L.1224406","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Bromidium","ramboi","Bromidium ramboi ramboi",NA,"Reitz R; Klein RM",NA,"1958","12","09","Southern America","Brazil",NA,NA,"Santa Catarina, Serra do Oratório, Bom Jardim, S. Joaquim. beira dágua, campo.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1224406 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1224406","NL-L1224406","Magnoliopsidae",NA,"ramboi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:25:41-03","IAP","PACA-AGP","54717","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Agrostis","ramboi","Agrostis ramboi","B. Rambo","Rambo, B.",NA,"1954","01","01",NA,"Brasil","RS","Sao Francisco de Paula p. Cambara","Faz. Englert",NA,NA,NA,NA,NA,"conf. Swallen Habitat: in rivu ad rupes Fenofase: fruto","PACA054717",NA,"Liliatae","Parodi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:25:41-03","IAP","PACA-AGP","60074.1","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Agrostis","ramboi","Agrostis ramboi","Emrich-Rambo","Rambo, B.",NA,"1957","01","22",NA,"Brasil","SC",NA,"Campo dos Padres",NA,NA,NA,NA,NA,"fr. Habitat: ad rupes in flumine","PACA060074-1",NA,"Liliatae","Parodi",NA,"1957","05","01",NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:25:41-03","IAP","PACA-AGP","45458","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Agrostis","ramboi","Agrostis ramboi","L. Parodi","Rambo, B.",NA,"1950","01","18",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"SEM MATERIAL Habitat: ad rivum in rupestribus Fenofase: fruto","PACA045458",NA,"Liliatae","Parodi",NA,NA,NA,NA,"55856","auto",NA,NA,NA,NA
"8","2019-08-27 13:25:41-03","IAP","PACA-AGP","44633","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Agrostis","ramboi","Agrostis ramboi","L. Parodi","Rambo, B.",NA,"1949","12","03",NA,"Brasil","RS","Caxias do Sul","Vila Oliva","-51.1794013977051","-29.1681003570557",NA,NA,NA,"Habitat: ad rivum in rupestribus Fenofase: fruto","PACA044633",NA,"Liliatae","Parodi",NA,NA,NA,NA,"49662","auto",NA,NA,NA,NA
"9","2019-08-27 13:25:41-03","IAP","PACA-AGP","36444.1","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Agrostis","ramboi","Agrostis ramboi","J. R. Swallen","Rambo, B.",NA,"1948","02",NA,NA,"Brasil","RS","São Francisco de Paula","Cambará","-50.5835990905762","-29.4480991363525",NA,NA,NA,"Habitat: in rivo ad rupes","PACA036444-1",NA,"Liliatae","Parodi",NA,NA,NA,NA,"76715","auto",NA,NA,NA,NA
"10","2019-08-27 13:25:41-03","IAP","PACA-AGP","56403","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Agrostis","ramboi","Agrostis ramboi","Emrich-Rambo","Rambo, B.",NA,"1955","01","02",NA,"Brasil","RS","São Francisco de Paula","Faz. Englert","-50.5835990905762","-29.4480991363525",NA,NA,NA,"Habitat: ad rupes in rivulo","PACA056403",NA,"Liliatae","Parodi",NA,"1955","04","04","76715","auto",NA,NA,NA,NA
"11","2019-08-27 13:25:41-03","IAP","PACA-AGP","35146","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Agrostis","ramboi","Agrostis ramboi","L. Parodi","Rambo, B.",NA,"1947","01","15",NA,"Brasil","RS","Vacaria","Faz. da Ronda","-50.9338989257812","-28.5121994018555",NA,NA,NA,"fl. Habitat: ad rivu ad rupes","PACA035146",NA,"Liliatae","Parodi",NA,NA,NA,NA,"63451","auto",NA,NA,NA,NA
"12","2019-08-27 13:25:41-03","IAP","PACA-AGP","60074","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Agrostis","ramboi","Agrostis ramboi","Emrich-Rambo","Rambo, B.",NA,"1957","01","22",NA,"Brasil","SC","Bom Retiro","Campo dos Padres","-49.489200592041","-27.7971992492676",NA,NA,NA,"Habitat: ad rupe in flumine Fenofase: fruto","PACA060074",NA,"Liliatae","Parodi",NA,"1957","05","01","35974","auto",NA,NA,NA,NA
"13","2019-08-27 13:25:41-03","IAP","PACA-AGP","48371","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Agrostis","ramboi","Agrostis ramboi","J. R. Swallen","Reitz, R.","3416","1948","12","17",NA,"Brasil","SC","Bom Retiro","Campo dos Padres","-49.489200592041","-27.7971992492676",NA,NA,NA,"Habitat: in humidis alte graminosis Fenofase: fruto","PACA048371",NA,"Liliatae","Parodi",NA,NA,NA,NA,"35974","auto",NA,NA,NA,NA
"14","2019-08-27 13:25:41-03","IAP","PACA-AGP","66202","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Agrostis","ramboi","Agrostis ramboi","J. R. Swallen","Reitz & Klein","8183","1959","01","13",NA,"Brasil","SC","São Joaquim","Bom Jardim - Faz. da Laranja","-49.9317016601562","-28.2938995361328",NA,NA,NA,"Habitat: banhado do campo Hábito: erva","PACA066202",NA,"Liliatae","Parodi",NA,"1961",NA,NA,"48290","auto",NA,NA,NA,NA
"15","2019-08-27 13:25:48-03","IAP","PACA-AGP","9068","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Bromidium","ramboi","Bromidium ramboi var. ramboi",NA,"Rambo, B.",NA,"1942","01","16",NA,"Brasil","RS","Bom Jesus",NA,"-50.4166984558105","-28.6678009033203",NA,NA,NA,"conforme Datwiniana , 1982, t. 24, No 14, p. 208 Habitat: ad rivum in rupestribus Fenofase: fruto","PACA009068","PACA009068","Liliatae","Rúgolo","var. ramboi",NA,NA,NA,"55856","auto","Isotipo",NA,NA,NA
"16","2021-02-03 11:08:10-03","UFSM","SMDB","17513","S","Plantae",NA,NA,"Poaceae","Bromidium","ramboi","Bromidium ramboi","Longhi-Wagner, HM","Longhi-Wagner, HM; Garcia, R","7283","2001","01","19",NA,"Brasil","Santa Catarina","Timbé do Sul","Serra da Rocinha","-49.8471984863281","-28.8302993774414",NA,NA,NA,"ICN 134049","SMDB017513",NA,NA,"(Parodi) Rúgolo",NA,"2015","02","10","15081","auto",NA,NA,NA,NA
"17","2020-12-21 16:39:57-03","MBM","MBM","25303","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Agrostis","ramboi","Agrostis ramboi","Swallen, J.R.","Reitz, R.; Klein, R.M.; Klein, R.M.","7805",NA,NA,NA,"Southern America","Brazil","Santa Catarina","São Joaquim","Curral Falso, Bom Jardim","-49.9317016601562","-28.2938995361328",NA,NA,NA,NA,"MBM025303","MBM025303",NA,"Parodi",NA,NA,NA,NA,"48290","auto",NA,NA,NA,NA
"18","2020-12-21 16:39:57-03","MBM","MBM","2841","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Agrostis","ramboi","Agrostis ramboi","Swallen, J.R.","Reitz, R.; Klein, R.M.; Klein, R.M.","8183",NA,NA,NA,"Southern America","Brazil","Santa Catarina","São Joaquim","Fazenda da Laranja, Bom Jardim","-49.9317016601562","-28.2938995361328",NA,NA,NA,NA,"MBM002841","MBM002841",NA,"Parodi",NA,NA,NA,NA,"48290","auto",NA,NA,NA,NA
"19","2020-12-21 16:39:57-03","MBM","MBM","2805","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Agrostis","ramboi","Agrostis ramboi","Swallen, J.R.","Reitz, R.; Klein, R.M.; Klein, R.M.","14563",NA,NA,NA,"Southern America","Brazil","Santa Catarina","São Joaquim","Urupema","-49.9317016601562","-28.2938995361328",NA,NA,NA,NA,"MBM002805","MBM002805",NA,"Parodi",NA,NA,NA,NA,"48290","auto",NA,NA,NA,NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","224600","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Agrostis","ramboi","Agrostis ramboi",NA,"Lyman B. Smith|Roberto M. Klein","Smith 15597","1971","12","2","South America","Brazil","Santa Catarina",NA,"Mpio. Agua doce, Horizonte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parodi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2011-10-17 18:06:00-02","MO","MOBOT","2818323","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Agrostis","ramboi","Agrostis ramboi",NA,"Zulma E. Rúgolo de Agrasar|Hilda M. Longhi-Wagner|S. Boechat|Ana María Molina","Rúgolo de Agrasar 1486","1992",NA,NA,"South America","Brazil","Santa Catarina",NA,"Mun. Lauro Muller, a 25 km pasando la Serra do Río do Rastro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parodi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2011-03-01 10:05:00-03","MO","MOBOT","2818504","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Agrostis","ramboi","Agrostis ramboi","Swallen","Balduino Rambo","Rambo 30745","1946",NA,NA,"South America","Brazil",NA,NA,"S. Fco .de Paula Villa Oliva.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parodi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2012-02-06 06:08:00-02","MO","MOBOT","230118","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Bromidium","ramboi","Bromidium ramboi","Z. Rúgolo, Oct. 1999 (SI)","Hilda M. Longhi-Wagner","Longhi-Wagner 2494","1991","11","22","South America","Brazil","Rio Grande do Sul",NA,"S. Francisco de Paula.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Parodi) Rúgolo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2014-02-14 13:45:00-02","MO","MOBOT","2567125","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Bromidium","ramboi","Bromidium ramboi","J. Schneider","Jason R. Swallen","Swallen 7507","1945","11","29","South America","Brazil","Rio Grande do Sul",NA,"Fazenda Experimental de Criacão Bagé",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Parodi) Rúgolo",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"25","2014-02-14 13:44:00-02","MO","MOBOT","2567126","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Bromidium","ramboi","Bromidium ramboi","J. Schneider","Tito S. Ibarrola","Ibarrola 3452","1945","10","8","South America","Argentina","Corrientes","General Paz","Lomas Vallejos",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Parodi) Rúgolo",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"26","2012-04-05 14:29:00-03","MO","MOBOT","2481698","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Bromidium","ramboi","Bromidium ramboi pubescens",NA,"José F.M. Valls","Valls 3152b",NA,NA,NA,"South America","Brazil","Santa Catarina",NA,"São Joaquim",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Kämpf) Rúgolo","pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA
