"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","519498","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Gomesa","barbata","Gomesa barbata","(Lindl.) M.W.Chase & N.H.Williams","A. M. V. de Carvalho","4334","1993","10","05","South America","Brazil","Sergipe","Santa Luzia do Itanhi","Crast. Ca. 2 km na estrada Crasto para Sta. Luzia do Itanhi","-37.4481","-11.3508","fluid-preserved","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=746555' target='other'> <mi>dwc_moreinfo</mi></a>","NY00519498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1032256","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Gomesa","barbata","Gomesa barbata","(Lindl.) M.W.Chase & N.H.Williams","L. P. de Queiroz","1768","1987","07","21","South America","Brazil","Bahia","Feira de Santana","11 km NW de Jaguara. Fazenda Monte Verde. Floresta estacional.","-39.1847","-12.0828","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192359' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032256","320","320","NY01032256_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","519461","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Gomesa","barbata","Gomesa barbata","(Lindl.) M.W.Chase & N.H.Williams","A. M. V. de Carvalho","4334","1993","10","05","South America","Brazil","Sergipe","Santa Luzia do Itanhi","Crast. Ca. 2 km na estrada Crasto para Sta. Luzia do Itanhi","-37.4481","-11.3508","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=746554' target='other'> <mi>dwc_moreinfo</mi></a>","NY00519461",NA,NA,"NY00519461_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","505081","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Oncidium","suscephalum","Oncidium suscephalum","Barb.Rodr.","E. H. G. Ule","9009",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=468867' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505081",NA,NA,NA,"photo of type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:45:20-03","EAO","IAN","19580","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Oncidium","suscephalum","Oncidium suscephalum","Barb.Rodr.","Ule, EHG","9009",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN019580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:28:41-03","UFBA","ALCB","07284","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Gomesa","barbata","Gomesa barbata","(Lindl.) M.W.Chase & N.H.Williams","Queiroz, LP de","034","1980","08","08","Southern America","Brasil","Bahia","Conceição de Feira","Paraguaçu","-38.983333","-12.5",NA,"epífita. Flores marrons pintalgadas e labelo amarelo brilhante.","ALCB007666",NA,NA,"ALCB007666",NA,"Queiroz, LP de","1983","11","-38.983333","-12.5",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:28:41-03","UFBA","ALCB","09971","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Gomesa","barbata","Gomesa barbata","(Lindl.) M.W.Chase & N.H.Williams","Grupo Pedra do Cavalo","845","1980","10",NA,"Southern America","Brasil","Bahia","Cachoeira","Recôncavo Sul, Mata a NE da B. Bananeiras","-39.083333","-12.533333",NA,"epífita. Folhas estreitas e alongadas. Flores amarelas, em panículas de escapo longo.","ALCB007665","100","100","ALCB007665",NA,"Queiroz, LP de","1983","11","-39.083333","-12.533333",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:28:41-03","UFBA","ALCB","023404","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Gomesa","barbata","Gomesa barbata","(Lindl.) M.W.Chase & N.H.Williams","Guedes, ML","s/n","1983","06","09","Southern America","Brasil","Bahia","Canudos","Nordeste, Raso da Catarina. Mata da Pororoca","-39.133333","-9.9",NA,"epífita, com pseudobulbos rígidos. Folhas discolores, unicelular, semisuculentas. Flores com sépalas e pétalas amarronzadas. Com pintas amarelas, labelo amarelo.","ALCB007668",NA,NA,"ALCB007668",NA,"Queiroz, LP de","1983","09","-39.133333","-9.9",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:28:41-03","UFBA","ALCB","023405","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Gomesa","barbata","Gomesa barbata","(Lindl.) M.W.Chase & N.H.Williams","Queiroz, LP de","747","1983","07","07","Southern America","Brasil","Bahia","Paulo Afonso","Nordeste, Raso da Catarina, Mata das Pororocas","-38.216667","-9.4",NA,"epífita. Flor marrom com labelo amarelo.","ALCB007667",NA,NA,"ALCB007667",NA,"Queiroz, LP de","1983","09","-38.216667","-9.4",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:46:37-03","NBC","NL-BOTANY","L.1531910","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Oncidium","barbatum","Oncidium barbatum","Lindl.","Hatschbach GG",NA,"1953","02","01","Southern America","Brazil",NA,NA,"Est. do Parana, Mun.: Paranagua, Rio Pereque.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1531910 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1531910",NA,NA,"NL-L1531910",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-31 13:41:09-03","MN","R","36651","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","barbatum","Oncidium barbatum","Lindl.","Vidal, J.",NA,"1939","01",NA,NA,"Brasil","Rio Grande do Sul","Torres",NA,"-49.7268981933594","-29.3353004455566",NA,"Herbarium Bradeanum",NA,NA,NA,NA,NA,"Pabst, G.F.J.","1958","02",NA,NA,NA,"11","20837","auto",NA,NA,NA,NA
"12","2016-02-02 14:38:42-02","BGBM","B","B -W 16869 -01 0","S","Plantae",NA,NA,"Orchidaceae","Oncidium","barbatum","Oncidium barbatum",NA,NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/BW16869010 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","BW16869010",NA,NA,"BW16869010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-06-28 12:17:08-03","IPA","IPA","14190","S","Plantae","Plantae",NA,"Orchidaceae","Gomesa","barbata","Gomesa barbata","(Lindl.) M.W.Chase & N.H.Williams","Pontual, I.","66-272","1966","11","06","Southern America","Brasil","Alagoas","União dos Palmares","Fazenda Santo Antonio, mata próxima á casa grande, na descida da mata.","-36.0318984985352","-9.16277980804443",NA,"Planta vivendo presa as árvores, com flor castanho-claro e labelo amarelo.","IPA0014190",NA,NA,NA,NA,"Moreira, L.H.L.","2019","06",NA,NA,NA,"05","22346","auto",NA,NA,NA,NA
