"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","day","coordinatePrecision","geoFlag","yearIdentified","infraspecificEpithet","typeStatus","fieldNumber","monthIdentified","class","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","02086553","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Abutilon","venosum","Abutilon venosum","Lem.","Collector unspecified","s.n.","1865","05","South America","Brazil","sheet","HB Basil <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2238375' target='other'> <mi>dwc_moreinfo</mi></a>","NY02086553","NY02086553_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","393932","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Abutilon","venosum","Abutilon venosum","Lem.","H. Luederwaldt","18899","1908","04","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441081' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393932","NY00393932_01","E. G. Baker","São Paulo","Sao Paulo","Ypiranga","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:43:43-03","EAO","IAN","35990","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Abutilon","venosum","Abutilon venosum","Lem.","Krug, HP","4213","1938","12","Southern America","Brasil",NA,"Herbáceo.","IAN035990","IAN035990 IAN035990_e","Krug, HP","São Paulo","Campinas",NA,"-47.060001373291","-22.8999996185303","27","23900","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:12:49-03","ESALQ","ESA","2613","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Abutilon","venosum","Abutilon venosum",NA,"Leitão Filho, H.F.",NA,"1967","05",NA,"Brasil",NA,NA,"ESA002613","ESA002613","Esteves, G.L.","São Paulo","Campinas",NA,"-47.060001373291","-22.8999996185303","27","23900","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:38:48-03","UFJF","CESJ","238","PreservedSpecimen","Plantae","Angiosperma",NA,"Malvaceae","Abutilon","venosum","Abutilon venosum","Lem.","?","s.n.","1942","06","América do Sul","Brasil",NA,NA,"CESJ000238",NA,NA,"São Paulo",NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:38:48-03","UFJF","CESJ","22560","PreservedSpecimen","Plantae","Angiosperma",NA,"Malvaceae","Abutilon","venosum","Abutilon venosum","Lem.","L. Krieger","CESJs.n.","1988","09","América do Sul","Brasil",NA,"Arbusto de 2 a 3m, na capoeira da encosta. Flores amarelas, pétalas com veios vermelhos.","CESJ022560","CESJ022560","L. Krieger","Minas Gerais",NA,"Parque Nacional do Caparaó",NA,NA,"18",NA,NA,"1988",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:38:48-03","UFJF","CESJ","22750","PreservedSpecimen","Plantae","Angiosperma",NA,"Malvaceae","Abutilon","venosum","Abutilon venosum","Lem.","B.B.S. Coelho","s.n.","1986","11","América do Sul","Brasil",NA,"Arbusto cultivado, de até 5m de altura. Folhas palmatilobdas. Flores pendentes, como sinetas.","CESJ022750",NA,"B.B.S. Coelho","Minas Gerais","Juiz de Fora","Museu Mariano Procópio","-43.3502998352051","-21.7642002105713","07","36144","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:33:01-03","MBM","MBM","154573","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","venosum","Abutilon venosum brevicalyx","K. Schum.","Krapovickas, A.; et al.; et al.","43976",NA,NA,"Southern America","Brazil",NA,NA,"MBM154573","MBM154573",NA,"Santa Catarina","Fraiburgo","Hotel Renar","-50.9213981628418","-27.0261001586914",NA,"24284","auto",NA,"brevicalyx",NA,NA,NA,NA,NA,NA,NA
"9","2015-03-13 13:42:29-03","MNHN","RECOLNAT_MNHN_P","P02285615","PreservedSpecimen",NA,NA,NA,"Malvaceae","Abutilon","venosum","Abutilon venosum","Lem.","Sello, F.",NA,NA,NA,NA,"Brésil","hb",". <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02285615' target='other'> <mi>dwc_moreinfo</mi></a>","P02285615","P02285615_01",NA,NA,NA,"s.l.",NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA
"10","2015-09-04 18:37:58-03","MNHN","RECOLNAT_MNHN_P","P05351004","PreservedSpecimen",NA,NA,NA,"Malvaceae","Abutilon","venosum","Abutilon venosum","Lem.","Löfgre, A.",NA,"1887","8",NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05351004' target='other'> <mi>dwc_moreinfo</mi></a>","P05351004","P05351004_01",NA,"São Paulo",NA,"Capão do rio Tatuhy.",NA,NA,"19",NA,NA,NA,NA,NA,"82",NA,NA,NA,NA,NA
"11","2015-09-04 18:37:58-03","MNHN","RECOLNAT_MNHN_P","P05351003","PreservedSpecimen",NA,NA,NA,"Malvaceae","Abutilon","venosum","Abutilon venosum","Lem.","Glaziou, A.",NA,"1876","7",NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05351003' target='other'> <mi>dwc_moreinfo</mi></a>","P05351003","P05351003_01",NA,"Rio de Janeiro","Rio de Janeiro","Quinta de São Cristovão.","-43.2075004577637","-22.9027996063232","15","57442","auto",NA,NA,NA,"10308",NA,NA,NA,NA,NA
"12","2015-09-04 18:37:58-03","MNHN","RECOLNAT_MNHN_P","P05351002","PreservedSpecimen",NA,NA,NA,"Malvaceae","Abutilon","venosum","Abutilon venosum","Lem.","Glaziou, A.",NA,"1885","3",NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05351002' target='other'> <mi>dwc_moreinfo</mi></a>","P05351002","P05351002_01",NA,"Rio de Janeiro","Rio de Janeiro","São Cristovão, Quinta.","-43.2075004577637","-22.9027996063232","16","57442","auto",NA,NA,NA,"14504",NA,NA,NA,NA,NA
"13","2015-09-04 18:37:58-03","MNHN","RECOLNAT_MNHN_P","P05351001","PreservedSpecimen",NA,NA,NA,"Malvaceae","Abutilon","venosum","Abutilon venosum","Lem.","Glaziou, A.",NA,"1885","3",NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05351001' target='other'> <mi>dwc_moreinfo</mi></a>","P05351001","P05351001_01",NA,"Rio de Janeiro","Rio de Janeiro","São Cristovão, Quinta.","-43.2075004577637","-22.9027996063232","16","57442","auto",NA,NA,NA,"14504",NA,NA,NA,NA,NA
"14","2019-11-13 11:24:42-03","USP","SPF","166836","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","venosum","Abutilon venosum","Lem.","Bittar, M","60","1984","02",NA,"Brasil",NA,NA,"SPF00166836","SPF00166836","Roedel, C","São Paulo","São Paulo","Viveiro Manequinho Lopes. - Ripado da entrada.","-46.6300010681152","-23.5400009155273","15","53584","auto","1984",NA,NA,NA,"04",NA,NA,NA,NA
