"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","individualCount","dayIdentified","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","561299","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","G. O. A. Malme","P. K. H. Dusén","14623","1914","03","23","South America","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257749' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561299","NY00561299_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","561305","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek",NA,"L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257750' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561305","NY00561305_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","561304","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","L. B. Smith","R. Reitz","955a","1953","09","24","South America","Brazil","Santa Catarina","Palhoça","Palhoça.","-48.6678","-27.6456","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561304","NY00561304_01","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 09:51:00-03","NY","NYBG","561303","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Scutia","arenicola","Scutia arenicola",NA,"J. R. Pirani","J. R. Pirani","2891","1993","05","16","South America","Brazil","Rio de Janeiro","Arraial do Cabo","Praia de Maçambaba, a 17 km do trevo do cabo Frio, entre Monte Alto e Figueira.","-42.0278","-22.9661","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257746' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561303","NY00561303_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 22:01:00-03","NY","NYBG","885920","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Scutia","arenicola","Scutia arenicola",NA,"E. F. Guimarães","R. C. C. Reis","230","2002","01","08","South America","Brazil","Rio de Janeiro",NA,"Municipio de Búzois, Bairro da Rasa, Sítio Tauá. C.a 5 km da faixa da praia.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885920","NY00885920_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","561300","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","L. B. Smith","G. G. Hatschbach","24743","1970","09","23","South America","Brazil","Paraná","Antonina","Ponta da Pita","-48.7117","-25.4286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561300","NY00561300_01","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","561302","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","L. de F. de Carvalho","B. D. Sucre","2045","1967","12","25","South America","Brazil","Rio de Janeiro",NA,"Ilha Siri Pestana, Bahia de Sepetiba.","-43.916455","-22.978385","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257744' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561302","NY00561302_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","561301","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Scutia","arenicola","Scutia arenicola","(Casar.) Reissek","L. de F. de Carvalho","B. D. Sucre","2610","1968","03","31","South America","Brazil","Rio de Janeiro",NA,"Ilha Siri Pestana, Bahia de Sepetiba.","-43.916455","-22.978385","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561301","NY00561301_01","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:47:27-03","EAO","IAN","7139","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola","Reissek",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN007139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:23:17-03","UFBA","ALCB","45894","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rhamnaceae","Scutia","arenicola","Scutia arenicola",NA,"Lima, R","Queiroz, LP de","2577","1991","09","23","Southern America","Brasil","São Paulo",NA,"município de São Sebastião, cidade de São sebastião",NA,NA,NA,"1,5- 2,0 m. Folhas coriáceas, suculentas. Flores cremes. Frutos imaturos verdes.; acima do costão rochoso.","ALCB034683","ALCB034683",NA,NA,"1998","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
