"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","infraspecificEpithet","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","382242","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","leiocarpa","Esenbeckia leiocarpa","Engl.","S. A. Mori","10764","1978","10","17","South America","Brazil","Bahia","Santa Cruz Cabrália","Torre da EMBRATEL. Ramal com entrada no km 26 da Rodovia BR 367 (Eunápolis/Porto Seguro).","-39.0244","-16.2783","220","220","sheet","Flores e frutos em álcool; foto da inflorescência e do fruto. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=575568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382242","NY00382242_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","382239","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","leiocarpa","Esenbeckia leiocarpa","Engl.","W. W. Thomas","10781","1995","01","15","South America","Brazil","Bahia","Ilhéus","2 km NNE of Banco da Vitoria (5.7 km west of bridge over the Rio Fundão on road to Itabuna) on road leading to west edge of the Mata da Esperança","-39.0911","-14.7772",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=575559' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382239","NY00382239_01","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","823341","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","leiocarpa","Esenbeckia leiocarpa","Engl.","J. L. Paixão","336","2003","11","13","South America","Brazil","Bahia","Cairu","Rod. para Cairu, ca. 15.5 km da BA-001.","-39.03","-13.5633",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=940924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823341","NY00823341_01","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02692470","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","leiocarpa","Esenbeckia leiocarpa","Engl.","R. C. Forzza","7817","2014","02","15","South America","Brazil","Espírito Santo","Nova Venécia","Estrada Vila Pavão - Cristalina. Floresta alterada próxima de curso d´água na base de inselbergue.","-40.595278","-18.740555",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2987609' target='other'> <mi>dwc_moreinfo</mi></a>","NY02692470","NY02692470_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02637337","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","leiocarpa","Esenbeckia leiocarpa","Engl.","R. S. Moreira","363","2014","08","14","South America","Brazil","Bahia","Nova Ibiá",NA,"-39.564667","-13.7455","276","276","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2656429' target='other'> <mi>dwc_moreinfo</mi></a>","NY02637337","NY02637337_01","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","51870","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","leiocarpa","Esenbeckia leiocarpa","Engl.","Helmreichen","29",NA,NA,NA,"South America","Brazil",NA,NA,"(Brasilia is hand-written on the sheet)",NA,NA,NA,NA,"sheet","Hrb. Musei Palat. Vindob. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=575549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00051870","NY00051870_01","R. C. Kaastra","isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","382251","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","leiocarpa","Esenbeckia leiocarpa","Engl.","A. Gehrt","29999",NA,NA,NA,"South America","Brazil","São Paulo","Sao Paulo","Sao Paulo.","-46.63","-23.5403",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=575566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382251","NY00382251_01","R. C. Kaastra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1017228","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","leiocarpa","Esenbeckia leiocarpa","Engl.","A. J. B. Chevalier","s.n.","1828","09","14","South America","Brazil",NA,NA,"Bresil Sud-est: Sao Paulo, Paraná, Rio. Guaratan. Forêt voyage du Campo Alto.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1201108' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017228","NY01017228_01","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","382244","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","leiocarpa","Esenbeckia leiocarpa","Engl.","A. M. Amorim","916","1992","12","14","South America","Brazil","Bahia","Itacaré","Estrada de Itacaré/Taboquinhas, Ca. 6 Km de Itacaré. Loteamento da Marambaia.","-39.026455","-14.310972",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=575557' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382244","NY00382244_01","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","382248","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","leiocarpa","Esenbeckia leiocarpa","Engl.","A. H. Gentry","49170","1985","01","04","South America","Brazil","São Paulo",NA,"Santa Genebra, UNICAMP Forest Reserve, near Campinas, Betel. Transect 1.","-47.13","-22.83","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=575565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382248","NY00382248_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
