"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","locality","verbatimLongitude","verbatimLatitude","barcode","preparationType","imagecode","continentOcean","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3749","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Cattleya","tenebrosa","Cattleya tenebrosa","(Rolfe) A.A.Chadwick.","Maria Guadalupe","2016","05","30","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:41:04-03","MN","R","35643","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Laelia","tenebrosa","Laelia tenebrosa","(Rolfe) Rolfe",NA,NA,NA,NA,NA,NA,"Vidal, J.","59","1924","12","16","Brasil","Espírito Santo","Alfredo Chaves","-40.749698638916","-20.6350002288818","32447","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:41:04-03","MN","R","35633","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Laelia","tenebrosa","Laelia tenebrosa","(Rolfe) Rolfe",NA,NA,NA,NA,NA,NA,"Sampaio, A.J.","8707","1939","12",NA,"Brasil","Rio de Janeiro","Campos dos Goytacazes","-41.3244018554688","-21.7541999816895","62761","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-07-05 11:14:18-03","FFCLRP","LBMBP","48","S","Plantae",NA,NA,NA,"Orchidaceae","Hadrolaelia","tenebrosa","Hadrolaelia tenebrosa","(Rolfe) Chiron & V.P.Castro","E.R. Pansarin",NA,NA,NA,NA,NA,"E.R. Pansarin",NA,NA,NA,NA,"Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-24 17:09:42-03","UFES","SAMES","4440","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Laelia","tenebrosa","Laelia tenebrosa","(Rolfe) Rolfe",NA,NA,NA,NA,NA,"Flores vistosas, sépalas e pétalas de cor ferrugem, nervuras roxas e com margens, ápice e base esverdeadas, labelo colorido no interior roxo e com margens lilás. Planta cultivada. Habito: Erva epífita","Zampirollo,J.B.","10","2013","12","17","Brasil","Espírito Santo","São Mateus","-39.8588981628418","-18.716100692749","56510","auto","Bairro Litorâneo. Orquidário Campus do CEUNES/UFES.","-398616667.0","-186752778.0","SAMES04440",NA,NA,NA,NA,NA
"6","2019-11-06 09:56:52-03","UFOP","OUPR","14200","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Laelia","tenebrosa","Laelia tenebrosa","(Rolfe) Rolfe","Toffolo, D.","1943",NA,NA,NA,"Cultivada. Erva. Flores vermelhas","s.col.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-27 10:26:06-03","UFES","VIES","29820","S","Plantae",NA,NA,NA,"Orchidaceae","Laelia","tenebrosa","Laelia tenebrosa","(Rolfe) Rolfe",NA,NA,NA,NA,NA,NA,"Zampirollo, J.B.","10","2013","12","17","Brasil","Espírito Santo","São Mateus","-39.8588981628418","-18.716100692749","56510","auto","Litorâneo.",NA,NA,"VIES029820",NA,NA,NA,NA,NA
"8","2015-09-16 21:46:07-03","MNHN","RECOLNAT_MNHN_P","P00480192","PreservedSpecimen",NA,NA,NA,NA,"Orchidaceae","Cattleya","tenebrosa","Cattleya tenebrosa","(Rolfe) A.A.Chadwick","Batista",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00480192' target='other'> <mi>dwc_moreinfo</mi></a>","Barnsby, D.",NA,"1913","6",NA,"Brésil",NA,NA,NA,NA,NA,NA,"Brésil",NA,NA,"P00480192","hb","P00480192_01",NA,NA,NA
"9","2020-12-11 11:44:24-03","UFMG","BHCB","3450","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Cattleya","tenebrosa","Cattleya tenebrosa","Rolfe",NA,NA,NA,NA,NA,"cultivado. Herbaceo. Flor tijolo forte com o labelo roxo.","Grandi, TSM","807","1981","12","16","Brasil","Minas Gerais","Belo Horizonte","-43.937801361084","-19.9207992553711","17082","auto","Carlos Prates",NA,NA,NA,NA,NA,"Southern America",NA,NA
"10","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","40658",NA,"Plantae",NA,NA,NA,"Orchidaceae","Cattleya","tenebrosa","Cattleya tenebrosa","(Rolfe) A.A.Chadwick","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita, caída na mata. Pseudobulbos mortos","A. P. Fontana; M. Simonelli, J.L.C. Barbosa & P.R.M. Fitaroni","2267","2006","07","21","Brasil","Espírito Santo","Divino de São Lourenço","-41.6857986450195","-20.6200008392334","16004","auto","Parque Nacional do Caparaó. Limo Verde, fazenda Limo Verde, Carvieira - trutas, trilha para Pedra Menina. 24K 0211228 UTM 7723823. Floresta Ombrófila Densa",NA,NA,"MBML040658",NA,"MBML040658",NA,"1086","1086"
