"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","individualCount","fieldNumber","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1104871","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","adnata","Ditassa adnata","E.Fourn.","isotype","J. B. E. Pohl","3286","South America","Brazil","Rio de Janeiro","Rio do Frade","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1298038' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104871","NY01104871_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","309775","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Macroditassa","adnata","Macroditassa adnata","(E.Fourn.) Malme",NA,"M. H. Nee","49400","South America","Bolivia","Santa Cruz","10.5 km by road to the antennas of Cerro Sillar, from turnoff at Bermejo of Santa Cruz-Samaipata highway.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=333959' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309775","NY00309775_01","W. D. Stevens","1998","05","17","Florida","-63.58","-18.13","1450","1525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00836424","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Macroditassa","adnata","Macroditassa adnata","(E.Fourn.) Malme",NA,"W. W. Thomas","12465","South America","Brazil","Bahia","Fazenda Alta Mira, 8.4 km E of Boa Nova on road to Dario Meira, then 3.3 km N on fazenda road","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=333878' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836424","NY00836424_01","W. D. Stevens","2001","05","18","Boa Nova","-40.114633","-14.4247","805","805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1183980","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Macroditassa","adnata","Macroditassa adnata","(E.Fourn.) Malme",NA,"R. C. Forzza","4806","South America","Brazil","São Paulo","Próximo à saída do Balneário Gaivota beirando a SP 055.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459487' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183980","NY01183980_01","T. U. P. Konno","2007","10","24","Itanhaém","-46.9086","-24.2386","27","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","572268","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Macroditassa","adnata","Macroditassa adnata","(E.Fourn.) Malme",NA,"W. Ganev","457","South America","Brazil","Bahia","Bem Querer - próxima casa de Zé de Benedita","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=116696' target='other'> <mi>dwc_moreinfo</mi></a>","NY00572268","NY00572268_01","A. Rapini","1992","06","09","Abaíra","-41.66","-13.25","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","971775","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Macroditassa","adnata","Macroditassa adnata","(E.Fourn.) Malme",NA,"H. S. Irwin","15448","South America","Brazil","Goiás","Fazenda J. Teles, ca. 10 km N.W. of Formosa, Goiás, near source of Rio Paraná.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092543' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971775","NY00971775_01","U. Meve","1966","04","29","Formosa","-47.43","-15.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","309520","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Macroditassa","adnata","Macroditassa adnata","(E.Fourn.) Malme",NA,"M. H. Nee","49148","South America","Bolivia","Santa Cruz","Along road to Bella Vista, 2.1 km SE from Santa Cruz-Samaipata highway turnoff vic. Cuevas. Slopes along road through bottom of valley of Quebrada Guapurucillo, steep slopes, between mountains of massive red sandstone of Serranía de la Cruz to the NE and Cerro Guapurucillo to the south.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=333958' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309520","NY00309520_01","D. J. Goyder","1998","04","27","Florida","-63.7","-18.2","1335","1335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","04193835","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Macroditassa","adnata","Macroditassa adnata","(E.Fourn.) Malme",NA,"J. A. Steyermark","107771","South America","Venezuela","Sucre","Sanbana pedregosa, La Lomita entre La Sabana y Zurita","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4515855' target='other'> <mi>dwc_moreinfo</mi></a>","NY04193835",NA,NA,"1973","08","18","Sucre",NA,NA,"500","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1015276","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Macroditassa","adnata","Macroditassa adnata","(E.Fourn.) Malme",NA,"A. M. V. de Carvalho","4408","South America","Brazil","Bahia","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.",NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227975' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015276","NY01015276_01","A. Rapini","1994","02","28","Uruçuca","-39.0617","-14.4231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","971776","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Macroditassa","adnata","Macroditassa adnata","(E.Fourn.) Malme",NA,"E. P. Heringer","1534","South America","Brazil","Distrito Federal","Estrada para Planaltina, ponte sobre o Rio São Bartolomeu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971776","NY00971776_01","A. Rapini","1979","06","12","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","971773","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Macroditassa","adnata","Macroditassa adnata","(E.Fourn.) Malme",NA,"A. Macedo","2382","South America","Brazil","Minas Gerais","Aroeira.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092541' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971773","NY00971773_01","A. Macedo; R. E. Woodson Jr.","1950","05","10","Ituiutaba","-49.465","-18.9692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","971774","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Macroditassa","adnata","Macroditassa adnata","(E.Fourn.) Malme",NA,"G. O. Andersson","3392","South America","Brazil","Mato Grosso","Santa Anna da Chapada.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1092542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971774","NY00971774_01",NA,"1903","05","20","Chapada dos Guimarães","-55.7494","-15.4608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:34:22-03","EAO","IAN","119297","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Aristolochiaceae","Macroditassa","adnata","Macroditassa adnata","(Decne.) R.O.Fourn.",NA,"Sucre, D","703","Southern America","Brasil","Distrito Federal","Distrito Federal. Mata ciliar do Country Club.",NA,NA,"IAN119297",NA,"Filella, H","1965","07","08","Brasília","-47.9296989440918","-15.7797002792358",NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:19:46-03","NBC","NL-BOTANY","U.1102012","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Ditassa","adnata","Ditassa adnata","E.Fourn.",NA,"Irwin HS; Souza R; Grear JW; Santos RR dos",NA,"Southern America","Brazil",NA,"Plants of the Planalto do Brasil. Estado de Goiás, Cerrado, Fazenda, J. Teles, ca. 10 km N.W. of Formosa, Goias, near source of Rio Parana.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1102012 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1102012","NL-U1102012",NA,"1966","04","29",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 10:59:44-03","ESALQ","ESA","46718","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Macroditassa","adnata","Macroditassa adnata","(E.Fourn.) Malme",NA,"Souza, V.C.; Souza, J.P.; Scalon, V.R.; Duarte, A.R.","16918.0",NA,"Brasil","Mato Grosso","Fazenda Camargo. Ca. 8km NW (em linha reta) de Diamantino. Contato Savana - Floresta Estacional.",NA,"Escandente; flores creme.","ESA046718","ESA046718","Farinaccio, M.A.","1997","05","22","Diamantino","-56.3","-14.16",NA,NA,NA,NA,NA,"-56.3","-14.16",NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 10:59:44-03","ESALQ","ESA","32041","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Apocynaceae","Macroditassa","adnata","Macroditassa adnata","(E.Fourn.) Malme",NA,"Souza, V.C. ; Souza, J.P.","11289.0",NA,"Brasil","São Paulo","Cerca de 5 Km da cidadeem direção a Agudos. Cerradão com abundância de Copaifera.",NA,"Escandente, latescente; flores creme-esverdeadas.","ESA032041","ESA032041","Farinaccio, M.A.","1996","06","06","Bauru","-490.125","-222.313","520","520",NA,NA,NA,"-490,125","-222,313",NA,NA,NA,NA,NA,NA,NA
"17","2021-01-14 15:21:15-03","MN","R","217956","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Macroditassa","adnata","Macroditassa adnata","(E. Fourn.) Malme",NA,"Hoehne, F.C.","20478",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,"1927","05","23","Mogi-Mirim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
