"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","fieldNumber","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00980601","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","glaziovii","Diplusodon glaziovii","Koehne","T. B. Cavalcanti","T. B. Cavalcanti","2305","1997","04","27","South America","Brazil","Minas Gerais","Diamantina","Estrada BR-259- Conselheiro Mata, km 26","-43.8789","-18.3","1325","1325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980601","NY00980601_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:43:20-03","EAO","IAN","18929","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lythraceae","Diplusodon","glaziovii","Diplusodon glaziovii","Koehne",NA,"Glaziou, AFM","19174",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN018929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-05 05:44:31-03","MNHN","RECOLNAT_MNHN_P","P04713350","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","glaziovii","Diplusodon glaziovii","Koehne",NA,"Alves, R.J.V.|Kolbek, J.",NA,"1989","9","24",NA,"Brasil","Minas Gerais",NA,"The Serra de São José mountain range",NA,NA,NA,"1250","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04713350' target='other'> <mi>dwc_moreinfo</mi></a>","P04713350","P04713350_01","945",NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-11-07 05:06:38-02","MNHN","RECOLNAT_MNHN_P","P01901903","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","glaziovii","Diplusodon glaziovii subspathulatus","Koehne",NA,"Glaziou, A.",NA,"1892","3","24",NA,"Brésil",NA,NA,"Biribiry, près Diamantina (Minas)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901903' target='other'> <mi>dwc_moreinfo</mi></a>","P01901903","P01901903_01","19174","subspathulatus","isotype",NA,NA,NA,NA,NA,NA
"5","2015-02-11 15:29:30-02","MNHN","RECOLNAT_MNHN_P","P01901904","PreservedSpecimen",NA,NA,NA,"Lythraceae","Diplusodon","glaziovii","Diplusodon glaziovii subspathulatus","Koehne",NA,"Glaziou, A.",NA,"1892","3","24",NA,"Brésil",NA,NA,"Biribiry, près Diamantina (Minas)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901904' target='other'> <mi>dwc_moreinfo</mi></a>","P01901904","P01901904_01","19174","subspathulatus","lectotype",NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:37:21-03","UFMG","BHCB","6033","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lythraceae","Diplusodon","glaziovii","Diplusodon glaziovii ovalifolius","Koehne",NA,"Schwacke, CAW","8266","1904",NA,NA,"Southern America","Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,NA,"Herbáceo.; Campo rupestre","BHCB000198","BHCB000198",NA,"ovalifolius","Isotypus","1993",NA,NA,NA,NA,NA
"7","2013-08-23 04:12:00-03","MO","MOBOT","3257988","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glaziovii","Diplusodon glaziovii","Koehne","T.B. Cavalcanti","Taciana B. Cavalcanti","Cavalcanti 2305","1997","4","27","South America","Brazil","Minas Gerais",NA,"Ambiente Geral Campo rupestre. Relevo Montanhoso. Mun: Diamantina. Estrada BR-259 - Conselheiro Mata, km 26. Solo pedregoso.","-43.86666","-18.3","1325.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-02 16:31:34-03","Cenargen","CEN","96703","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glaziovii","Diplusodon glaziovii","Koehne","T. B. Cavalcanti","Jair Eustáquio Quintino de Faria Jr.","5661","2016","04","15",NA,"Brasil","MG","GOUVEIA","Estrada entrando paralela aos moinhos de vento do Camilinho, sítio do Mulato, área de extração do Aliance.","-43.895833","-18.530555",NA,NA,"Exsicatas","Doação do Herbário HDJF-3612.","CEN00096703","CEN00096703",NA,NA,NA,"2017","03","-43.895833","-18.530555","1",NA
"9","2020-09-02 16:31:34-03","Cenargen","CEN","27058","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","glaziovii","Diplusodon glaziovii","Koehne","T. B. Cavalcanti","Taciana Barbosa Cavalcanti","2305","1997","04","27",NA,"Brasil","MG","DIAMANTINA","Estrada BR-259 - Conselheiro Mata, km 26.",NA,"-18.323888","1325","1325","Exsicatas","Subarbusto 1,0-1,5 m alt. Folhas glaucas, côncavas. Flores rosa-choque, tubo floral verde, sépalas vináceas. Apêndices eretos.","CEN00027058","CEN00027058 CEN00027058_1",NA,NA,NA,"2004","04","-4387889.0","-18.323888","6",NA
"10","2019-09-04 18:51:22-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lythraceae","Diplusodon","glaziovii","Diplusodon glaziovii",NA,NA,"A. Glaziou","19174","1891",NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,"Dicotyledoneae"
