"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","typeStatus","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","infraspecificEpithet","fieldNumber","individualCount","class","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","580037","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","oblongata","Eugenia oblongata","O.Berg","G. M. Barroso; E. F. Guimarães","Pessoal do Horto Florestal","790","1927","03","31","South America","Brazil","Rio de Janeiro","Matta do Pae Ricardo, proximo ao Horto Florestal, Rio.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707636' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580037","NY00580037_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-01-12 10:56:00-02","NY","NYBG","580023","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","oblongata","Eugenia oblongata",NA,"F. F. Mazine","B. D. Sucre","9598","1972","09","05","South America","Brazil","Rio de Janeiro","Estado de Guanabara, Jacarepaguá, Morro na Via9.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249197' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580023","NY00580023_01","15","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-01-12 10:56:00-02","NY","NYBG","580018","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","oblongata","Eugenia oblongata",NA,"F. F. Mazine","B. D. Sucre","6594","1970","04","09","South America","Brazil","Rio de Janeiro","Estado da Guanabara, Serra de Mendanha.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249191' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580018","NY00580018_01","600","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2017-01-12 10:50:00-02","NY","NYBG","557930","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","oblongata","Eugenia oblongata",NA,"F. F. Mazine","J. Y. Tamashiro","198","1979","10","16","South America","Brazil","São Paulo","Estaçao Experimental de Ubatuba (IAC)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557930","NY00557930_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","03075382","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","oblongata","Eugenia oblongata","O.Berg",NA,"R. D. Ribeiro","307","2004","07","03","South America","Brazil","Rio de Janeiro","Parque ecológico da Prainha, entre Grumari e Recreio.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3300207' target='other'> <mi>dwc_moreinfo</mi></a>","NY03075382","NY03075382_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1183854","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","oblongata","Eugenia oblongata","O.Berg",NA,"S. de V. A. Pessôa","967","1999","04","28","South America","Brazil","Rio de Janeiro","Reserva Biológica Poço das Antas. Fragmento E, próximo à barragem de Juturnaiba. FE-240.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1457515' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183854","NY01183854_01",NA,NA,"Silva Jardim","-42.3917","-22.6508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-01-12 10:56:00-02","NY","NYBG","580020","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","oblongata","Eugenia oblongata",NA,"F. F. Mazine","B. D. Sucre","7394","1971","02","03","South America","Brazil","Rio de Janeiro","Estado de Guanabara, matas da subida do Pico da Tijuca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249196' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580020","NY00580020_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01806178","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","oblongata","Eugenia oblongata","O.Berg","M. Sobral","J. L. Hage","350","1979","10","23","South America","Brazil","Bahia","Área da CEPEC (Centro de Pesq. do Cacau), Km 22 rodovia Ilhéus/ Itabuna - BR 415.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2139826' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806178","NY01806178_01","50.00","50.00","Ilhéus","-39.2273659","-14.771874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00907503","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","oblongata","Eugenia oblongata","Mattos & D.Legrand","M. Sobral","M. de F. Agra","1999","1993","04","16","South America","Brazil","Paraíba","Serra de Teixeira, Pico do Jabre","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907503","NY00907503_01","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00906503","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","oblongata","Eugenia oblongata","O.Berg","F. F. Mazine","A. M. Amorim","5584","2006","02","08","South America","Brazil","Minas Gerais","Divisa entre Bahia e Minas Gerais. Fazenda Duas Barras. Reserva do Alto Cariri. Trilha da caixa d'agua","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981636' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906503","NY00906503_01","950","950","Santa Maria do Salto","-40.0544","-16.4064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
